player1,player2,winner,date,tournament,t_round,p1odds,p2odds,p1spw,p2spw,p1_spwcount,p2_spwcount
Kevin Anderson,Fernando Verdasco,Kevin Anderson,Jan 14 2013,Australian Open Slam,Round of 32,$1.812,$2.167,1.39E-17,-0.72,18,17
Jeremy Chardy,Andreas Seppi,Jeremy Chardy,Jan 14 2013,Australian Open Slam,Round of 16,$2.590,$1.585,0.44,-2.09,5,11
Jeremy Chardy,Juan Martin del Potro,Jeremy Chardy,Jan 14 2013,Australian Open Slam,Round of 32,$16.225,$1.045,-0.04,-0.82,11,10
Marin Cilic,Andreas Seppi,Andreas Seppi,Jan 14 2013,Australian Open Slam,Round of 32,$1.437,$3.114,-0.51,0.27,7,12
Roger Federer,Jo-Wilfried Tsonga,Roger Federer,Jan 14 2013,Australian Open Slam,Quarter Final,$1.200,$5.448,-0.58,0.44,11,15
Roger Federer,Milos Raonic,Roger Federer,Jan 14 2013,Australian Open Slam,Round of 16,$1.139,$7.186,2.95,-1.39,22,14
Richard Gasquet,Jo-Wilfried Tsonga,Jo-Wilfried Tsonga,Jan 14 2013,Australian Open Slam,Round of 16,$2.837,$1.515,-1.17,0.41,11,16
Milos Raonic,Roger Federer,Roger Federer,Jan 14 2013,Australian Open Slam,Round of 16,$7.186,$1.139,-1.39,2.95,14,22
Andreas Seppi,Marin Cilic,Andreas Seppi,Jan 14 2013,Australian Open Slam,Round of 32,$3.114,$1.437,0.27,-0.51,12,7
Jo-Wilfried Tsonga,Roger Federer,Roger Federer,Jan 14 2013,Australian Open Slam,Quarter Final,$5.448,$1.200,0.44,-0.58,15,11
Jo-Wilfried Tsonga,Richard Gasquet,Jo-Wilfried Tsonga,Jan 14 2013,Australian Open Slam,Round of 16,$1.515,$2.837,0.41,-1.17,16,11
Marin Cilic,Mikhail Youzhny,Marin Cilic,Feb 4 2013,Zagreb,S,$1.609,$2.528,1.06,-0.16,10,11
Richard Gasquet,Gael Monfils,Richard Gasquet,Feb 4 2013,Montpellier,R16,$1.630,$2.472,1.61,-0.91,22,14
Andreas Seppi,Jeremy Chardy,Jeremy Chardy,Feb 4 2013,Australian Open Slam,Round of 16,$1.585,$2.590,-2.09,0.44,11,5
Mikhail Youzhny,Marin Cilic,Marin Cilic,Feb 4 2013,Zagreb,S,$2.528,$1.609,-0.16,1.06,11,10
Juan Martin Del Potro,Grigor Dimitrov,Juan Martin Del Potro,Feb 11 2013,Rotterdam,S,$1.248,$4.632,0.41,0.21,6,17
Juan Martin Del Potro,Gael Monfils,Juan Martin Del Potro,Feb 11 2013,Rotterdam,R32,$1.263,$2.593,0.59,0,9,0
Juan Martin Del Potro,Gael Monfils,Juan Martin Del Potro,Feb 11 2013,Rotterdam,R32,$1.263,$4.446,0.59,-0.8,9,13
Juan Martin del Potro,Jeremy Chardy,Jeremy Chardy,Feb 11 2013,Australian Open Slam,Round of 32,$1.045,$16.225,-0.82,-0.04,10,11
Grigor Dimitrov,Juan Martin Del Potro,Juan Martin Del Potro,Feb 11 2013,Rotterdam,S,$4.632,$1.248,0.21,0.41,17,6
Tommy Haas,Milos Raonic,Milos Raonic,Feb 11 2013,San Jose,F,$2.710,$1.543,-1.91,1.75,12,9
Tommy Haas,John Isner,Tommy Haas,Feb 11 2013,San Jose,S,$1.773,$2.207,1.73,-0.6,11,8
John Isner,Tommy Haas,Tommy Haas,Feb 11 2013,San Jose,S,$2.207,$1.773,-0.6,1.73,8,11
Gael Monfils,Richard Gasquet,Richard Gasquet,Feb 11 2013,Montpellier,R16,$2.472,$1.630,-0.91,1.61,14,22
Milos Raonic,Tommy Haas,Milos Raonic,Feb 11 2013,San Jose,F,$1.543,$2.710,1.75,-1.91,9,12
Nicolas Almagro,Stan Wawrinka,Stan Wawrinka,Feb 18 2013,Buenos Aires,S,$1.755,$2.236,-0.06,1.78,11,14
Marin Cilic,Kei Nishikori,Kei Nishikori,Feb 18 2013,Memphis,Q,$1.799,$2.169,-0.4,2.78,6,14
Gael Monfils,Juan Martin Del Potro,Juan Martin Del Potro,Feb 18 2013,Rotterdam,R32,$4.446,$1.263,-0.8,0.59,13,9
Gael Monfils,Juan Martin Del Potro,Juan Martin Del Potro,Feb 18 2013,Rotterdam,R32,$4.446,$1.584,-0.8,0.02,13,1
Kei Nishikori,Marin Cilic,Kei Nishikori,Feb 18 2013,Memphis,Q,$2.169,$1.799,2.78,-0.4,14,6
Fernando Verdasco,Kevin Anderson,Kevin Anderson,Feb 18 2013,Australian Open Slam,Round of 32,$2.167,$1.812,-0.72,1.39E-17,17,18
Stan Wawrinka,Nicolas Almagro,Stan Wawrinka,Feb 18 2013,Buenos Aires,S,$2.236,$1.755,1.78,-0.06,14,11
Nicolas Almagro,Tommy Robredo,Nicolas Almagro,Feb 25 2013,Acapulco,R16,$1.160,$6.453,1.78,-1.23,19,13
Kevin Anderson,Tomas Berdych,Tomas Berdych,Feb 25 2013,Australian Open Slam,Round of 16,$4.837,$1.109,-2,2.48,10,12
Ernests Gulbis,Tommy Haas,Ernests Gulbis,Feb 25 2013,Delray Beach,S,$1.967,$1.967,1.75,1.08,26,24
