date,odds,matchStatsUrl,opponent
Feb 24 2014,$1.073,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=495&y=2014&r=3&p=D616,Somdev Devvarman
Feb 10 2014,$1.376,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=407&y=2014&r=5&p=G858,Ernests Gulbis
Feb 10 2014,$1.078,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=407&y=2014&r=4&p=D683,Paul-Henri Mathieu
Feb 10 2014,$1.584,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=407&y=2014&r=3&p=D683,Gael Monfils
Jan 13 2014,$1.064,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704208,Roberto Bautista Agut
Jan 13 2014,$1.014,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704116,Rhyne Williams
Jan 6 2014,$1.300,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=338&y=2014&r=7&p=D683,Bernard Tomic
Jun 10 2013,$1.431,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=311&y=2013&r=5&p=H432,Lleyton Hewitt
Jun 10 2013,$1.107,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=311&y=2013&r=4&p=D683,Daniel Evans
Jun 10 2013,$1.329,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=311&y=2013&r=3&p=D683,Xavier Malisse
Jan 6 2014,$1.194,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=338&y=2014&r=6&p=D683,Dmitry Tursunov
May 21 2013,$1.180,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2013&r=4&p=PD31,Benoit Paire
May 21 2013,$1.190,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2013&r=3&p=D683,Andrey Kuznetsov
May 21 2013,$1.177,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2013&r=4&p=N289,Jarkko Nieminen
Jan 6 2014,$1.318,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=338&y=2014&r=5&p=D683,Radek Stepanek
Jan 6 2014,$1.126,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=338&y=2014&r=4&p=D683,Nicolas Mahut
Nov 4 2013,$1.860,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=605&y=2013&r=-2&p=F324,Roger Federer
Nov 4 2013,$3.948,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=605&y=2013&r=-4&p=D643,Novak Djokovic
Apr 15 2013,$1.205,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2013&r=3&p=D683,Alexandr Dolgopolov
Nov 4 2013,$1.287,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=605&y=2013&r=-7&p=D683,Richard Gasquet
Oct 28 2013,$1.985,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2013&r=5&p=F324,Roger Federer
Oct 28 2013,$1.362,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2013&r=4&p=D683,Grigor Dimitrov
Apr 15 2013,$1.046,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2013&r=2&p=K839,Tobias Kamke
Mar 18 2013,$2.834,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2013&r=7&p=N409,Rafael Nadal
Oct 28 2013,$1.324,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2013&r=3&p=D683,Marin Cilic
Oct 21 2013,$1.773,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=328&y=2013&r=7&p=D683,Roger Federer
Mar 6 2013,$5.821,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2013&r=6&p=D683,Novak Djokovic
Mar 6 2013,$2.710,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2013&r=5&p=D683,Andy Murray
Oct 21 2013,$1.076,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=328&y=2013&r=6&p=D683,Edouard Roger-Vasselin
Oct 21 2013,$1.052,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=328&y=2013&r=5&p=D683,Paul-Henri Mathieu
Mar 6 2013,$1.272,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2013&r=4&p=D683,Tommy Haas
Mar 6 2013,$1.033,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2013&r=3&p=D683,Bjorn Phau
Mar 6 2013,$1.305,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2013&r=2&p=D683,Nikolay Davydenko
Oct 21 2013,$1.205,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=328&y=2013&r=4&p=D683,Marcos Baghdatis
Mar 6 2013,$7.226,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=495&y=2013&r=6&p=D643,Novak Djokovic
Oct 21 2013,$1.026,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=328&y=2013&r=3&p=D683,Henri Laaksonen
Oct 6 2013,$3.431,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=7&p=D643,Novak Djokovic
Feb 25 2013,$1.164,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=495&y=2013&r=5&p=D683,Daniel Brands
Feb 25 2013,$1.073,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=495&y=2013&r=4&p=D683,Somdev Devvarman
Oct 6 2013,$3.814,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=6&p=D683,Rafael Nadal
Oct 6 2013,$1.459,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=5&p=D683,Nicolas Almagro
Oct 6 2013,$1.435,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=4&p=D683,Tommy Haas
Feb 25 2013,$1.207,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=495&y=2013&r=3&p=D683,Marcos Baghdatis
Feb 25 2013,$1.319,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=496&y=2013&r=5&p=SD32,Gilles Simon
Feb 18 2013,$1.351,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=496&y=2013&r=4&p=D683,Michael Llodra
Oct 6 2013,$1.259,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=3&p=D683,Philipp Kohlschreiber
Sep 30 2013,$1.724,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=329&y=2013&r=7&p=D683,Milos Raonic
Feb 18 2013,$1.283,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=407&y=2013&r=7&p=D683,Julien Benneteau
Feb 11 2013,$1.248,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=407&y=2013&r=6&p=D683,Grigor Dimitrov
Feb 11 2013,$1.155,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=407&y=2013&r=5&p=D683,Jarkko Nieminen
Sep 30 2013,$1.300,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=329&y=2013&r=6&p=D683,Nicolas Almagro
Sep 30 2013,$1.231,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=329&y=2013&r=5&p=D683,Alexandr Dolgopolov
Sep 30 2013,$1.130,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=329&y=2013&r=4&p=D683,Carlos Berlocq
Feb 11 2013,$1.256,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=407&y=2013&r=4&p=D683,Ernests Gulbis
Feb 11 2013,$1.263,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=407&y=2013&r=3&p=D683,Gael Monfils
Sep 30 2013,$1.295,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=329&y=2013&r=3&p=D683,Marcos Baghdatis
Aug 26 2013,$1.114,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634208,Lleyton Hewitt
Feb 11 2013,$1.045,http://www.tennisinsight.com/match_stats_popup.php?matchID=177954309,Jeremy Chardy
Jan 14 2013,$1.027,http://www.tennisinsight.com/match_stats_popup.php?matchID=177954217,Benjamin Becker
Aug 26 2013,$1.037,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634116,Guillermo Garcia-Lopez
Aug 12 2013,$1.472,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=422&y=2013&r=6&p=I186,John Isner
Aug 12 2013,$1.228,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=422&y=2013&r=5&p=D683,Dmitry Tursunov
Jan 14 2013,$1.068,http://www.tennisinsight.com/match_stats_popup.php?matchID=177954133,Adrian Mannarino
Jan 9 2013,$4.898,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=605&y=2012&r=6&p=D643,Novak Djokovic
Aug 12 2013,$1.231,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=422&y=2013&r=4&p=D683,Feliciano Lopez
Nov 5 2012,$3.010,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=605&y=2012&r=-2&p=D683,Roger Federer
Nov 5 2012,$1.245,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=605&y=2012&r=-4&p=D683,Janko Tipsarevic
Aug 12 2013,$1.171,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=422&y=2013&r=3&p=D683,Nikolay Davydenko
Aug 5 2013,$1.657,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=421&y=2013&r=4&p=R975,Milos Raonic
Aug 5 2013,$1.169,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=421&y=2013&r=3&p=D683,Ivan Dodig
Nov 5 2012,$1.681,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=605&y=2012&r=-6&p=F401,David Ferrer
Nov 5 2012,$1.236,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2012&r=4&p=L428,Michael Llodra
Jul 29 2013,$1.307,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=418&y=2013&r=7&p=D683,John Isner
Jul 29 2013,$1.279,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=418&y=2013&r=6&p=D683,Tommy Haas
Oct 29 2012,$1.178,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2012&r=3&p=D683,Alejandro Falla
Oct 29 2012,$3.964,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=328&y=2012&r=7&p=D683,Roger Federer
Oct 22 2012,$1.513,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=328&y=2012&r=6&p=D683,Richard Gasquet
Jul 29 2013,$1.315,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=418&y=2013&r=5&p=D683,Kevin Anderson
Jul 29 2013,$1.203,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=418&y=2013&r=4&p=D683,Bernard Tomic
Oct 22 2012,$1.171,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=328&y=2012&r=5&p=D683,Kevin Anderson
Jul 29 2013,$1.178,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=418&y=2013&r=3&p=D683,Ryan Harrison
Jun 24 2013,$6.625,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604601,Novak Djokovic
Oct 22 2012,$1.099,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=328&y=2012&r=4&p=D683,Brian Baker
Oct 22 2012,$1.056,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=328&y=2012&r=3&p=D683,Alejandro Falla
Oct 22 2012,$1.099,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=337&y=2012&r=7&p=D683,Grega Zemlja
Jun 24 2013,$2.135,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604502,David Ferrer
Jun 24 2013,$1.283,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604404,Andreas Seppi
Oct 15 2012,$1.110,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=337&y=2012&r=6&p=D683,Gilles Muller
Oct 15 2012,$1.100,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=337&y=2012&r=5&p=D683,Marinko Matosevic
Jun 24 2013,$1.093,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604308,Grega Zemlja
Jun 24 2013,$1.057,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604216,Jesse Levine
Jun 24 2013,$1.046,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604132,Albert Ramos
Oct 15 2012,$1.068,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=337&y=2012&r=4&p=D683,Daniel Brands
Sep 14 2012,$6.177,http://www.tennisinsight.com/match_stats_popup.php?matchID=176114504,Novak Djokovic
Aug 27 2012,$1.299,http://www.tennisinsight.com/match_stats_popup.php?matchID=176114407,Andy Roddick
Aug 27 2012,$1.047,http://www.tennisinsight.com/match_stats_popup.php?matchID=176114313,Leonardo Mayer
