date,odds,matchStatsUrl,opponent
May 21 2014,$1.024,http://www.tennisinsight.com/match_stats_popup.php?matchID=185934133,Peter Polansky
May 12 2014,$1.661,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=4&p=D875,Grigor Dimitrov
May 12 2014,$1.110,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=3&p=BA47,Dmitry Tursunov
May 5 2014,$6.296,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=5&p=N409,Rafael Nadal
May 5 2014,$1.713,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=4&p=BA47,Grigor Dimitrov
May 5 2014,$1.199,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=3&p=BA47,Kevin Anderson
Apr 28 2014,$1.248,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=468&y=2014&r=7&p=B884,Carlos Berlocq
Apr 28 2014,$1.177,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=468&y=2014&r=6&p=BA47,Victor Hanescu
Apr 28 2014,$1.167,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=468&y=2014&r=5&p=BA47,Leonardo Mayer
Apr 28 2014,$1.046,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=468&y=2014&r=4&p=BA47,Somdev Devvarman
Apr 13 2014,$1.258,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=4&p=G476,Guillermo Garcia-Lopez
Apr 13 2014,$1.096,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=3&p=BA47,Dmitry Tursunov
Mar 17 2014,$4.263,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=6&p=N409,Rafael Nadal
Mar 17 2014,$1.376,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=5&p=BA47,Alexandr Dolgopolov
Mar 17 2014,$1.412,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=4&p=BA47,John Isner
Mar 17 2014,$1.082,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=3&p=BA47,Joao Sousa
Mar 17 2014,$1.065,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=2&p=BA47,Stephane Robert
Mar 3 2014,$1.147,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=2&p=BD06,Roberto Bautista Agut
Feb 24 2014,$2.298,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=495&y=2014&r=7&p=F324,Roger Federer
Feb 24 2014,$1.152,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=495&y=2014&r=6&p=BA47,Philipp Kohlschreiber
Feb 24 2014,$1.384,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=495&y=2014&r=5&p=BA47,Jo-Wilfried Tsonga
Feb 24 2014,$1.082,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=495&y=2014&r=4&p=BA47,Sergiy Stakhovsky
Feb 24 2014,$1.041,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=495&y=2014&r=3&p=BA47,Marius Copil
Feb 10 2014,$1.472,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=407&y=2014&r=7&p=BA47,Marin Cilic
Feb 10 2014,$1.574,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=407&y=2014&r=6&p=BA47,Ernests Gulbis
Feb 10 2014,$1.366,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=407&y=2014&r=5&p=BA47,Jerzy Janowicz
Feb 10 2014,$1.105,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=407&y=2014&r=4&p=BA47,Nicolas Mahut
Feb 10 2014,$1.132,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=407&y=2014&r=3&p=BA47,Andreas Seppi
Jan 13 2014,$1.554,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704602,Stan Wawrinka
Jan 13 2014,$1.109,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704503,David Ferrer
Jan 13 2014,$1.033,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704405,Kevin Anderson
Jan 13 2014,$1.036,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704309,Damir Dzumhur
Jan 13 2014,$1.024,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704217,Kenny De Schepper
Jan 7 2014,$1.441,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704133,Aleksandr Nedovyesov
Nov 15 2013,$10.342,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=451&y=2014&r=3&p=K336,Ivo Karlovic
Nov 15 2013,$1.028,http://www.tennisinsight.com/match_stats_popup.php?matchID=183343103,Novak Djokovic
Nov 4 2013,$4.330,http://www.tennisinsight.com/match_stats_popup.php?matchID=183343102,Dusan Lajovic
Nov 4 2013,$2.086,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=605&y=2013&r=-3&p=N409,Rafael Nadal
Nov 4 2013,$1.752,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=605&y=2013&r=-5&p=BA47,David Ferrer
Oct 28 2013,$1.958,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=605&y=2013&r=-7&p=W367,Stan Wawrinka
Oct 28 2013,$2.087,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2013&r=5&p=F401,David Ferrer
Oct 28 2013,$1.057,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2013&r=4&p=BA47,Milos Raonic
Oct 21 2013,$1.249,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2013&r=3&p=BA47,Pablo Andujar
May 21 2014,$1.047,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=328&y=2013&r=3&p=K336,Ivo Karlovic
Oct 6 2013,$1.395,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=4&p=A479,Nicolas Almagro
Oct 6 2013,$1.491,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=3&p=BA47,Feliciano Lopez
Sep 30 2013,$4.415,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=747&y=2013&r=6&p=N409,Rafael Nadal
