date,odds,matchStatsUrl,opponent
May 21 2014,$1.077,http://www.tennisinsight.com/match_stats_popup.php?matchID=185934109,Ivo Karlovic
May 12 2014,$4.632,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=6&p=N409,Rafael Nadal
May 12 2014,$1.467,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=5&p=D875,Tommy Haas
May 12 2014,$2.409,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=4&p=D875,Tomas Berdych
May 12 2014,$1.124,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=3&p=D875,Ivo Karlovic
May 12 2014,$1.190,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=2&p=D875,Edouard Roger-Vasselin
May 5 2014,$2.308,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=4&p=BA47,Tomas Berdych
May 5 2014,$1.077,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=3&p=D875,Marius Copil
May 5 2014,$1.238,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=2&p=D875,Pablo Carreno Busta
Apr 21 2014,$1.333,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=773&y=2014&r=7&p=D875,Lukas Rosol
Apr 21 2014,$1.676,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=773&y=2014&r=6&p=D875,Gael Monfils
Apr 21 2014,$1.144,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=773&y=2014&r=5&p=D875,Sergiy Stakhovsky
Apr 21 2014,$1.327,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=773&y=2014&r=4&p=D875,Jiri Vesely
