date,odds,matchStatsUrl,opponent
May 21 2014,$1.030,http://www.tennisinsight.com/match_stats_popup.php?matchID=185934116,Igor Sijsling
May 12 2014,$3.486,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=5&p=D643,Novak Djokovic
May 12 2014,$1.387,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=4&p=F401,Ernests Gulbis
May 12 2014,$1.057,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=3&p=F401,Mikhail Kukushkin
May 5 2014,$1.605,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=6&p=N552,Kei Nishikori
May 5 2014,$1.428,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=5&p=F401,Ernests Gulbis
May 5 2014,$1.319,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=4&p=F401,John Isner
May 5 2014,$1.124,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=3&p=F401,Albert Ramos
Oct 21 2013,$1.366,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=573&y=2013&r=6&p=F401,Nicolas Almagro
Oct 21 2013,$1.287,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=573&y=2013&r=5&p=F401,Jerzy Janowicz
Apr 21 2014,$1.046,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2014&r=3&p=G681,Teymuraz Gabashvili
Apr 13 2014,$1.692,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=6&p=W367,Stan Wawrinka
Oct 21 2013,$1.321,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=573&y=2013&r=4&p=F401,Julien Benneteau
Oct 21 2013,$1.541,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=573&y=2013&r=3&p=F401,Gael Monfils
Oct 14 2013,$1.629,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=429&y=2013&r=7&p=D875,Grigor Dimitrov
Apr 13 2014,$8.885,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=5&p=F401,Rafael Nadal
Apr 13 2014,$1.387,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=4&p=F401,Grigor Dimitrov
Apr 13 2014,$1.110,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=3&p=F401,Jeremy Chardy
Mar 17 2014,$1.592,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=4&p=N552,Kei Nishikori
Oct 14 2013,$1.958,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=429&y=2013&r=6&p=F401,Ernests Gulbis
Oct 14 2013,$1.735,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=429&y=2013&r=5&p=F401,Fernando Verdasco
Oct 14 2013,$1.268,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=429&y=2013&r=4&p=F401,Jack Sock
Oct 6 2013,$1.393,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=4&p=MB02,Florian Mayer
Mar 17 2014,$1.135,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=3&p=F401,Andreas Seppi
Mar 17 2014,$1.142,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=2&p=F401,Teymuraz Gabashvili
Feb 24 2014,$1.359,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=807&y=2014&r=5&p=A678,Kevin Anderson
Oct 6 2013,$1.185,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=3&p=F401,Lukas Rosol
Sep 30 2013,$1.976,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=747&y=2013&r=5&p=G628,Richard Gasquet
Sep 30 2013,$1.314,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=747&y=2013&r=4&p=F401,Marinko Matosevic
Sep 30 2013,$1.240,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=747&y=2013&r=3&p=F401,Vasek Pospisil
Feb 24 2014,$1.314,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=807&y=2014&r=4&p=F401,Feliciano Lopez
Feb 24 2014,$1.156,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=807&y=2014&r=3&p=F401,Mikhail Kukushkin
Sep 23 2013,$1.116,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6003&y=2013&r=5&p=SH90,Joao Sousa
Sep 23 2013,$1.096,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6003&y=2013&r=4&p=F401,Matteo Viola
Aug 26 2013,$1.421,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634503,Richard Gasquet
Aug 26 2013,$1.287,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634406,Janko Tipsarevic
Feb 17 2014,$1.237,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6932&y=2014&r=6&p=D801,Alexandr Dolgopolov
Aug 26 2013,$1.089,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634312,Mikhail Kukushkin
Aug 26 2013,$1.177,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634224,Roberto Bautista Agut
Aug 26 2013,$1.082,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634148,Nick Kyrgios
Feb 17 2014,$1.162,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6932&y=2014&r=5&p=F401,Thomaz Bellucci
Feb 17 2014,$1.089,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6932&y=2014&r=4&p=F401,Federico Delbonis
Feb 17 2014,$1.145,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6932&y=2014&r=3&p=F401,Jeremy Chardy
Feb 10 2014,$1.402,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=506&y=2014&r=7&p=F401,Fabio Fognini
