date,odds,matchStatsUrl,opponent
May 21 2014,$1.939,http://www.tennisinsight.com/match_stats_popup.php?matchID=185934306,Gael Monfils
May 21 2014,$1.228,http://www.tennisinsight.com/match_stats_popup.php?matchID=185934212,Thomaz Bellucci
May 21 2014,$1.138,http://www.tennisinsight.com/match_stats_popup.php?matchID=185934124,Andreas Beck
May 12 2014,$1.200,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=2&p=R685,Lukas Rosol
May 5 2014,$2.187,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=2&p=D801,Alexandr Dolgopolov
Apr 28 2014,$1.325,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=308&y=2014&r=7&p=K966,Martin Klizan
Apr 28 2014,$1.258,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=308&y=2014&r=6&p=F510,Jan-Lennard Struff
Apr 28 2014,$1.437,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=308&y=2014&r=5&p=F510,Thomaz Bellucci
Apr 28 2014,$1.365,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=308&y=2014&r=4&p=F510,Dustin Brown
Apr 21 2014,$1.356,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2014&r=3&p=G725,Santiago Giraldo
Apr 13 2014,$1.735,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=4&p=T786,Jo-Wilfried Tsonga
Apr 13 2014,$1.482,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=3&p=F510,Roberto Bautista Agut
Apr 13 2014,$1.158,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=2&p=F510,Joao Sousa
Apr 4 2014,$3.212,http://www.tennisinsight.com/match_stats_popup.php?matchID=184963103,Andy Murray
Apr 4 2014,$1.051,http://www.tennisinsight.com/match_stats_popup.php?matchID=184963101,James Ward
Mar 17 2014,$13.446,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=4&p=N409,Rafael Nadal
Mar 17 2014,$2.270,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=3&p=F510,Roberto Bautista Agut
Mar 17 2014,$1.424,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=2&p=F510,Lukas Lacko
Mar 3 2014,$2.752,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=4&p=D801,Alexandr Dolgopolov
Mar 3 2014,$3.204,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=3&p=F510,Gael Monfils
Mar 3 2014,$1.521,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=2&p=F510,Ryan Harrison
Feb 17 2014,$1.559,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6932&y=2014&r=5&p=D801,Alexandr Dolgopolov
Feb 17 2014,$1.265,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6932&y=2014&r=4&p=F510,Pablo Cuevas
Feb 17 2014,$1.273,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6932&y=2014&r=3&p=F510,Aljaz Bedene
Feb 10 2014,$3.292,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=506&y=2014&r=7&p=F401,David Ferrer
Feb 10 2014,$1.724,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=506&y=2014&r=6&p=F510,Tommy Robredo
Feb 10 2014,$1.296,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=506&y=2014&r=5&p=F510,Pablo Andujar
Feb 10 2014,$1.268,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=506&y=2014&r=4&p=F510,Leonardo Mayer
Feb 10 2014,$1.150,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=506&y=2014&r=3&p=F510,Julian Reister
Feb 3 2014,$1.298,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=505&y=2014&r=7&p=F510,Leonardo Mayer
Feb 3 2014,$1.806,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=505&y=2014&r=6&p=F510,Nicolas Almagro
Feb 3 2014,$1.423,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=505&y=2014&r=5&p=F510,Jeremy Chardy
Feb 3 2014,$1.228,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=505&y=2014&r=4&p=F510,Aljaz Bedene
Jan 13 2014,$15.802,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704408,Novak Djokovic
Jan 13 2014,$2.755,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704315,Sam Querrey
Jan 13 2014,$1.868,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704229,Jarkko Nieminen
Jan 13 2014,$1.759,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704157,Alex Bogomolov Jr.
Dec 30 2013,$1.724,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=891&y=2014&r=4&p=BF55,Yuki Bhambri
Oct 28 2013,$3.375,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2013&r=3&p=D875,Grigor Dimitrov
Oct 21 2013,$3.075,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=573&y=2013&r=5&p=A479,Nicolas Almagro
Oct 21 2013,$2.067,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=573&y=2013&r=4&p=F510,Marcel Granollers
Oct 21 2013,$1.304,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=573&y=2013&r=3&p=F510,Martin Klizan
Oct 14 2013,$1.661,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=337&y=2013&r=5&p=H756,Robin Haase
Oct 14 2013,$1.464,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=337&y=2013&r=4&p=F510,Lukasz Kubot
Oct 6 2013,$10.460,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=4&p=D643,Novak Djokovic
Oct 6 2013,$2.350,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=3&p=F510,Tommy Robredo
Oct 6 2013,$1.340,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=2&p=F510,Paolo Lorenzi
Sep 30 2013,$12.872,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=747&y=2013&r=5&p=N409,Rafael Nadal
Sep 30 2013,$2.880,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=747&y=2013&r=4&p=F510,Lleyton Hewitt
Sep 30 2013,$2.983,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=747&y=2013&r=3&p=F510,Tommy Robredo
Sep 16 2013,$1.345,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=568&y=2013&r=4&p=P701,Michal Przysiezny
Sep 16 2013,$1.219,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=568&y=2013&r=3&p=F510,Dominic Inglot
Aug 26 2013,$1.178,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634108,Rajeev Ram
Aug 12 2013,$2.178,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=422&y=2013&r=2&p=S694,Radek Stepanek
Aug 5 2013,$2.523,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=421&y=2013&r=3&p=G858,Ernests Gulbis
Aug 5 2013,$2.307,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=421&y=2013&r=2&p=F510,Marcos Baghdatis
Jul 22 2013,$1.559,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=439&y=2013&r=7&p=R419,Tommy Robredo
Jul 22 2013,$1.559,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=439&y=2013&r=6&p=F510,Gael Monfils
Jul 22 2013,$1.383,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=439&y=2013&r=5&p=F510,Martin Klizan
Jul 22 2013,$1.340,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=439&y=2013&r=4&p=F510,Thiemo de Bakker
Jul 15 2013,$1.399,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=414&y=2013&r=7&p=F510,Federico Delbonis
Jul 15 2013,$2.207,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=414&y=2013&r=6&p=F510,Nicolas Almagro
Jul 15 2013,$2.571,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=414&y=2013&r=5&p=F510,Tommy Haas
Jul 15 2013,$1.377,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=414&y=2013&r=4&p=F510,Marcel Granollers
Jul 15 2013,$1.602,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=414&y=2013&r=3&p=F510,Albert Ramos
Jul 8 2013,$2.178,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=321&y=2013&r=7&p=F510,Philipp Kohlschreiber
Jul 8 2013,$1.421,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=321&y=2013&r=6&p=F510,Roberto Bautista Agut
Jul 8 2013,$3.071,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=321&y=2013&r=5&p=F510,Tommy Haas
Jul 8 2013,$1.388,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=321&y=2013&r=4&p=F510,Leonardo Mayer
Jul 8 2013,$1.178,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=321&y=2013&r=3&p=F510,Alexander Ward
Jun 24 2013,$1.456,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604145,Jurgen Melzer
Jun 17 2013,$2.279,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=741&y=2013&r=5&p=D646,Ivan Dodig
Jun 17 2013,$1.900,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=741&y=2013&r=4&p=F510,Martin Klizan
Jun 17 2013,$1.868,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=741&y=2013&r=3&p=F510,Grega Zemlja
May 27 2013,$31.008,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224305,Rafael Nadal
May 27 2013,$1.105,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224210,Lukas Rosol
May 27 2013,$1.178,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224120,Andreas Beck
May 19 2013,$1.741,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6120&y=2013&r=4&p=MC65,Gael Monfils
May 19 2013,$1.150,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6120&y=2013&r=3&p=F510,Marco Cecchinato
May 12 2013,$26.725,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2013&r=3&p=N409,Rafael Nadal
May 12 2013,$1.868,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2013&r=2&p=F510,Andreas Seppi
May 5 2013,$1.636,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2013&r=2&p=Y061,Mikhail Youzhny
Apr 29 2013,$1.401,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=468&y=2013&r=5&p=CD85,Pablo Carreno Busta
