date,odds,matchStatsUrl,opponent
May 21 2014,$1.205,http://www.tennisinsight.com/match_stats_popup.php?matchID=185934125,Bernard Tomic
Apr 13 2014,$6.453,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=4&p=F324,Roger Federer
Apr 13 2014,$1.859,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=3&p=G628,Kevin Anderson
Apr 13 2014,$1.116,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=2&p=G628,Alejandro Gonzalez
Apr 13 2014,$1.428,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=3&p=V306,Fernando Verdasco
Mar 3 2014,$1.110,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=2&p=G628,Teymuraz Gabashvili
Mar 3 2014,$1.792,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=496&y=2014&r=6&p=G858,Ernests Gulbis
Feb 17 2014,$1.387,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=496&y=2014&r=5&p=G628,Ivan Dodig
Feb 17 2014,$1.130,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=496&y=2014&r=4&p=G628,Blaz Kavcic
Feb 17 2014,$1.827,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=407&y=2014&r=4&p=K435,Philipp Kohlschreiber
Feb 10 2014,$1.122,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=407&y=2014&r=3&p=G628,Thiemo de Bakker
Feb 10 2014,$1.852,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=375&y=2014&r=7&p=MC65,Gael Monfils
Feb 3 2014,$1.567,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=375&y=2014&r=6&p=G628,Jerzy Janowicz
Feb 3 2014,$1.102,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=375&y=2014&r=5&p=G628,Albano Olivetti
Feb 3 2014,$1.183,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=375&y=2014&r=4&p=G628,Paul-Henri Mathieu
Jan 31 2014,$1.510,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704314,Tommy Robredo
Jan 13 2014,$1.235,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704228,Nikolay Davydenko
Jan 13 2014,$1.057,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704156,David Guez
Jan 7 2014,$2.465,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=451&y=2014&r=4&p=MC65,Gael Monfils
Dec 30 2013,$1.040,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=451&y=2014&r=3&p=G628,Karim Hossam
Dec 30 2013,$11.343,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=605&y=2013&r=-2&p=D643,Novak Djokovic
Nov 4 2013,$3.654,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=605&y=2013&r=-4&p=F324,Roger Federer
Nov 4 2013,$4.170,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=605&y=2013&r=-7&p=D683,Juan Martin del Potro
Nov 4 2013,$5.407,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2013&r=5&p=N409,Rafael Nadal
Oct 28 2013,$1.479,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2013&r=4&p=G628,Kei Nishikori
Oct 28 2013,$1.345,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2013&r=3&p=G628,Fernando Verdasco
Oct 28 2013,$1.340,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=328&y=2013&r=3&p=L428,Michael Llodra
Oct 21 2013,$1.231,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=438&y=2013&r=7&p=G628,Mikhail Kukushkin
Oct 14 2013,$1.287,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=438&y=2013&r=6&p=G628,Ivo Karlovic
Oct 14 2013,$1.113,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=438&y=2013&r=5&p=G628,Teymuraz Gabashvili
Oct 14 2013,$1.256,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=438&y=2013&r=4&p=G628,Evgeny Donskoy
Oct 14 2013,$1.204,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=2&p=PD07,Vasek Pospisil
Oct 6 2013,$8.672,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=747&y=2013&r=6&p=D643,Novak Djokovic
Sep 30 2013,$1.958,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=747&y=2013&r=5&p=G628,David Ferrer
Sep 30 2013,$1.364,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=747&y=2013&r=4&p=G628,Bernard Tomic
