date,odds,matchStatsUrl,opponent
May 21 2014,$4.960,http://www.tennisinsight.com/match_stats_popup.php?matchID=185934315,Jo-Wilfried Tsonga
May 21 2014,$1.793,http://www.tennisinsight.com/match_stats_popup.php?matchID=185934230,Jarkko Nieminen
May 21 2014,$1.233,http://www.tennisinsight.com/match_stats_popup.php?matchID=185934160,Victor Estrella Burgos
May 12 2014,$2.077,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=2&p=K435,Philipp Kohlschreiber
May 5 2014,$4.118,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=2&p=G858,Ernests Gulbis
Apr 21 2014,$2.129,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2014&r=3&p=M762,Jurgen Melzer
Apr 13 2014,$1.724,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=2&p=L428,Michael Llodra
Mar 3 2014,$1.443,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=2&p=BD06,Roberto Bautista Agut
Feb 10 2014,$3.510,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=2&p=F444,Alejandro Falla
Feb 10 2014,$1.724,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=407&y=2014&r=5&p=BA47,Tomas Berdych
Feb 10 2014,$1.507,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=407&y=2014&r=4&p=J397,Tommy Haas
Feb 3 2014,$2.639,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=407&y=2014&r=3&p=J397,Julien Benneteau
Feb 3 2014,$1.735,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=375&y=2014&r=6&p=G628,Richard Gasquet
Feb 3 2014,$1.495,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=375&y=2014&r=5&p=J397,Edouard Roger-Vasselin
Jan 31 2014,$1.550,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=375&y=2014&r=4&p=J397,Adrian Mannarino
Jan 13 2014,$1.304,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704311,Florian Mayer
Jan 13 2014,$1.300,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704222,Pablo Andujar
Jan 6 2014,$2.221,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704144,Jordan Thompson
Oct 28 2013,$5.894,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=338&y=2014&r=4&p=D801,Alexandr Dolgopolov
Oct 28 2013,$1.283,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2013&r=4&p=N409,Rafael Nadal
Oct 21 2013,$4.169,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2013&r=3&p=J397,Santiago Giraldo
Oct 21 2013,$1.454,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=573&y=2013&r=5&p=F401,David Ferrer
Oct 21 2013,$1.331,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=573&y=2013&r=4&p=J397,Joao Sousa
Oct 14 2013,$2.370,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=573&y=2013&r=3&p=J397,Pablo Carreno Busta
Oct 14 2013,$1.651,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=429&y=2013&r=5&p=G858,Ernests Gulbis
Aug 26 2013,$1.084,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=429&y=2013&r=4&p=J397,Guillermo Garcia-Lopez
Aug 12 2013,$1.466,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634141,Maximo Gonzalez
Aug 5 2013,$6.134,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=422&y=2013&r=2&p=B676,James Blake
Aug 5 2013,$1.370,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=421&y=2013&r=4&p=N409,Rafael Nadal
Aug 5 2013,$1.669,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=421&y=2013&r=3&p=J397,Frank Dancevic
Jul 15 2013,$2.187,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=421&y=2013&r=2&p=J397,Julien Benneteau
Jul 15 2013,$1.397,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=414&y=2013&r=4&p=V306,Fernando Verdasco
Jun 24 2013,$5.145,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=414&y=2013&r=3&p=J397,Robin Haase
Jun 24 2013,$1.245,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604602,Andy Murray
Jun 24 2013,$1.284,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604503,Lukasz Kubot
Jun 24 2013,$1.799,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604406,Jurgen Melzer
Jun 24 2013,$1.837,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604311,Nicolas Almagro
Jun 24 2013,$1.207,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604222,Radek Stepanek
Jun 10 2013,$1.070,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604144,Kyle Edmund
May 27 2013,$3.326,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=500&y=2013&r=3&p=BE67,Mirza Basic
May 27 2013,$1.340,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224307,Stan Wawrinka
May 27 2013,$1.706,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224214,Robin Haase
May 12 2013,$5.894,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224128,Albert Ramos
May 12 2013,$3.297,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2013&r=5&p=F324,Roger Federer
May 12 2013,$3.629,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2013&r=4&p=J397,Richard Gasquet
May 21 2014,$4.960,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2013&r=3&p=J397,Jo-Wilfried Tsonga
May 12 2013,$1.845,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2013&r=2&p=J397,Santiago Giraldo
May 5 2013,$3.611,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2013&r=3&p=BA47,Tomas Berdych
May 5 2013,$1.884,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2013&r=2&p=J397,Sam Querrey
Apr 22 2013,$2.960,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2013&r=3&p=R772,Albert Ramos
Apr 15 2013,$2.240,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2013&r=2&p=A678,Kevin Anderson
Mar 6 2013,$3.608,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2013&r=2&p=BD20,Thomaz Bellucci
Mar 6 2013,$2.509,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2013&r=3&p=G628,Richard Gasquet
Feb 18 2013,$3.431,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2013&r=2&p=J397,David Nalbandian
Feb 18 2013,$2.394,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=496&y=2013&r=5&p=BA47,Tomas Berdych
Feb 18 2013,$1.478,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=496&y=2013&r=4&p=J397,Julien Benneteau
Feb 11 2013,$1.308,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=496&y=2013&r=3&p=J397,Lukas Rosol
Feb 1 2013,$1.190,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=407&y=2013&r=3&p=H528,Victor Hanescu
Jan 14 2013,$1.216,http://www.tennisinsight.com/match_stats_popup.php?matchID=177954307,Nicolas Almagro
Jan 14 2013,$1.370,http://www.tennisinsight.com/match_stats_popup.php?matchID=177954214,Somdev Devvarman
Jan 7 2013,$1.705,http://www.tennisinsight.com/match_stats_popup.php?matchID=177954128,Simone Bolelli
Oct 29 2012,$3.172,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=301&y=2013&r=3&p=BA23,Brian Baker
Oct 29 2012,$2.482,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2012&r=7&p=F401,David Ferrer
Oct 29 2012,$2.685,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2012&r=6&p=J397,Gilles Simon
Oct 29 2012,$11.658,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2012&r=5&p=J397,Janko Tipsarevic
Oct 29 2012,$3.598,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2012&r=4&p=J397,Andy Murray
Oct 29 2012,$2.421,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2012&r=3&p=J397,Marin Cilic
Oct 29 2012,$1.390,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2012&r=2&p=J397,Philipp Kohlschreiber
Oct 29 2012,$1.660,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=999&y=2012&r=-29&p=J397,Florent Serra
Oct 15 2012,$2.127,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=999&y=2012&r=-30&p=J397,Dmitry Tursunov
Oct 15 2012,$1.555,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=438&y=2012&r=5&p=BD20,Thomaz Bellucci
Oct 15 2012,$1.615,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=438&y=2012&r=4&p=J397,Carlos Berlocq
Oct 1 2012,$1.710,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=438&y=2012&r=3&p=J397,Benjamin Becker
Oct 1 2012,$1.550,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=3350&y=2012&r=5&p=K839,Tobias Kamke
Oct 1 2012,$1.600,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=3350&y=2012&r=4&p=J397,Evgeny Donskoy
Sep 17 2012,$1.330,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=3350&y=2012&r=3&p=J397,Daniel Brands
Sep 17 2012,$1.120,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=448&y=2012&r=5&p=CA33,Inigo Cervantes-Huegun
Sep 17 2012,$1.280,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=448&y=2012&r=4&p=J397,Artem Smirnov
Sep 14 2012,$1.290,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=448&y=2012&r=3&p=J397,Yannick Mertens
Aug 20 2012,$1.120,http://www.tennisinsight.com/match_stats_popup.php?matchID=176114162,Dennis Novikov
Aug 20 2012,$1.130,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6243&y=2012&r=-28&p=G858,Ernests Gulbis
Aug 13 2012,$1.513,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6243&y=2012&r=-29&p=J397,Devin Britton
Aug 13 2012,$1.770,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6243&y=2012&r=-30&p=J397,Austin Krajicek
Jul 16 2012,$1.270,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=41&y=2012&r=-29&p=ME05,Marinko Matosevic
Jul 16 2012,$1.340,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=41&y=2012&r=-30&p=J397,Steve Darcis
Jul 16 2012,$1.260,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=786&y=2012&r=7&p=J397,Jonathan Dasnieres de Veigy
Jul 16 2012,$1.130,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=786&y=2012&r=6&p=J397,Andreas Haider-Maurer
Jul 16 2012,$1.050,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=786&y=2012&r=5&p=J397,Arnau Brugues-Davi
May 12 2013,$1.845,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=786&y=2012&r=4&p=J397,Marek Michalicka
May 5 2013,$3.611,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=786&y=2012&r=3&p=J397,Piotr Gadomski
