date,odds,matchStatsUrl,opponent
May 21 2014,$3.075,http://www.tennisinsight.com/match_stats_popup.php?matchID=185934308,Andy Murray
May 21 2014,$1.340,http://www.tennisinsight.com/match_stats_popup.php?matchID=185934215,Denis Istomin
May 21 2014,$1.130,http://www.tennisinsight.com/match_stats_popup.php?matchID=185934129,Pere Riba
May 19 2014,$1.115,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=615&y=2014&r=7&p=K435,Ivo Karlovic
May 19 2014,$1.484,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=615&y=2014&r=6&p=K435,Denis Istomin
May 19 2014,$1.151,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=615&y=2014&r=5&p=K435,Mate Delic
May 19 2014,$1.384,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=615&y=2014&r=4&p=K435,Teymuraz Gabashvili
May 12 2014,$7.365,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=4&p=D643,Novak Djokovic
May 12 2014,$2.465,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=3&p=K435,Tommy Robredo
May 12 2014,$1.868,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=2&p=K435,Jerzy Janowicz
May 5 2014,$1.300,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=2&p=ME05,Marinko Matosevic
Apr 28 2014,$1.304,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=308&y=2014&r=3&p=I165,Denis Istomin
Apr 21 2014,$1.671,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2014&r=5&p=G725,Santiago Giraldo
Apr 21 2014,$1.283,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2014&r=4&p=K435,Jurgen Melzer
Apr 21 2014,$1.489,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2014&r=3&p=K435,Edouard Roger-Vasselin
Apr 13 2014,$2.628,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=3&p=T786,Jo-Wilfried Tsonga
Apr 13 2014,$1.388,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=2&p=K435,Simone Bolelli
Mar 17 2014,$1.399,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=2&p=B837,Marcos Baghdatis
Mar 3 2014,$1.345,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=2&p=L575,Yen-Hsun Lu
Feb 24 2014,$6.716,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=495&y=2014&r=6&p=BA47,Tomas Berdych
Feb 24 2014,$1.127,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=495&y=2014&r=5&p=K435,Malek Jaziri
Feb 24 2014,$1.384,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=495&y=2014&r=4&p=K435,Andreas Seppi
Feb 24 2014,$1.247,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=495&y=2014&r=3&p=K435,Thiemo de Bakker
