date,odds,matchStatsUrl,opponent
May 21 2014,$1.417,http://www.tennisinsight.com/match_stats_popup.php?matchID=185934210,Donald Young
May 21 2014,$1.527,http://www.tennisinsight.com/match_stats_popup.php?matchID=185934120,Damir Dzumhur
May 12 2014,$2.077,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=2&p=G710,Marcel Granollers
May 5 2014,$6.402,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=5&p=N552,Kei Nishikori
May 5 2014,$2.409,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=4&p=L397,Dominic Thiem
May 5 2014,$2.129,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=3&p=L397,Mikhail Youzhny
May 5 2014,$2.394,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=2&p=L397,Federico Delbonis
Apr 28 2014,$2.335,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=308&y=2014&r=3&p=SL28,Jan-Lennard Struff
Apr 21 2014,$1.685,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2014&r=3&p=D646,Ivan Dodig
Apr 7 2014,$1.472,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=717&y=2014&r=4&p=G892,Alejandro Gonzalez
Apr 7 2014,$1.380,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=717&y=2014&r=3&p=L397,Robby Ginepri
Mar 17 2014,$5.170,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=3&p=MC10,Andy Murray
Mar 17 2014,$1.598,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=2&p=L397,Jiri Vesely
Mar 3 2014,$2.571,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=4&p=B747,Julien Benneteau
Mar 3 2014,$1.609,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=3&p=L397,Mikhail Kukushkin
Mar 3 2014,$1.213,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=2&p=L397,James Ward
Mar 3 2014,$1.607,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=1&p=L397,Dudi Sela
