date,odds,matchStatsUrl,opponent
May 21 2014,$2.894,http://www.tennisinsight.com/match_stats_popup.php?matchID=185934113,Santiago Giraldo
May 19 2014,$1.806,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=615&y=2014&r=5&p=I165,Denis Istomin
May 19 2014,$1.275,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=615&y=2014&r=4&p=SA93,Adrian Mannarino
May 12 2014,$1.930,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=2&p=H355,Tommy Haas
May 5 2014,$3.151,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=2&p=V306,Fernando Verdasco
Apr 28 2014,$3.075,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=308&y=2014&r=5&p=H355,Tommy Haas
Apr 28 2014,$2.221,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=308&y=2014&r=4&p=SA93,Albert Ramos
Apr 28 2014,$1.272,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=308&y=2014&r=3&p=SA93,Michael Berrer
Apr 21 2014,$2.263,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=773&y=2014&r=3&p=B884,Carlos Berlocq
Apr 13 2014,$32.211,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=4&p=N409,Rafael Nadal
Apr 13 2014,$1.900,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=3&p=SA93,Pablo Andujar
Apr 13 2014,$1.948,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=2&p=SA93,Mikhail Youzhny
Apr 4 2014,$1.138,http://www.tennisinsight.com/match_stats_popup.php?matchID=184963104,James Ward
Apr 4 2014,$5.201,http://www.tennisinsight.com/match_stats_popup.php?matchID=184963102,Andy Murray
Mar 17 2014,$7.365,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=3&p=F401,David Ferrer
Mar 17 2014,$3.436,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=2&p=SA93,Radek Stepanek
Mar 3 2014,$7.707,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=3&p=W367,Stan Wawrinka
Mar 3 2014,$2.494,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=2&p=SA93,Sam Querrey
Feb 24 2014,$3.394,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=495&y=2014&r=4&p=K435,Philipp Kohlschreiber
Feb 24 2014,$2.684,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=495&y=2014&r=3&p=SA93,Florian Mayer
Feb 17 2014,$2.288,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=496&y=2014&r=4&p=L428,Michael Llodra
Feb 10 2014,$7.480,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=407&y=2014&r=3&p=BA47,Tomas Berdych
Jan 13 2014,$1.424,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704203,Donald Young
Jan 13 2014,$4.206,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704105,Lleyton Hewitt
Jan 6 2014,$2.187,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=338&y=2014&r=4&p=ME05,Marinko Matosevic
Nov 4 2013,$1.104,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6204&y=2013&r=7&p=SA93,Simon Greul
Nov 4 2013,$1.259,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6204&y=2013&r=6&p=SA93,Teymuraz Gabashvili
Nov 4 2013,$1.248,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6204&y=2013&r=5&p=SA93,Frank Dancevic
Nov 4 2013,$1.138,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6204&y=2013&r=4&p=SA93,Farrukh Dustov
Nov 4 2013,$1.175,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6204&y=2013&r=3&p=SA93,Thiemo de Bakker
Oct 28 2013,$2.168,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2013&r=2&p=K435,Philipp Kohlschreiber
Oct 21 2013,$1.514,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=328&y=2013&r=3&p=BC72,Daniel Brands
Oct 14 2013,$1.729,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=438&y=2013&r=6&p=K926,Mikhail Kukushkin
Oct 14 2013,$1.503,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=438&y=2013&r=5&p=SA93,Edouard Roger-Vasselin
Oct 14 2013,$1.218,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=438&y=2013&r=4&p=SA93,Paolo Lorenzi
Oct 6 2013,$5.857,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=3&p=F324,Roger Federer
Oct 6 2013,$2.465,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=2&p=SA93,Lleyton Hewitt
Sep 30 2013,$5.132,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=747&y=2013&r=3&p=W367,Stan Wawrinka
Sep 16 2013,$1.724,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=341&y=2013&r=4&p=M873,Nicolas Mahut
Aug 26 2013,$2.437,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634306,Denis Istomin
Aug 26 2013,$1.508,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634211,Somdev Devvarman
Aug 26 2013,$1.469,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634121,Xavier Malisse
Aug 18 2013,$1.799,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6242&y=2013&r=3&p=J386,Steve Johnson
Aug 12 2013,$3.219,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=422&y=2013&r=2&p=W367,Stan Wawrinka
Aug 5 2013,$2.737,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=421&y=2013&r=3&p=N552,Kei Nishikori
Aug 5 2013,$1.404,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=421&y=2013&r=2&p=SA93,Lukas Rosol
Jul 22 2013,$2.571,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=439&y=2013&r=6&p=R419,Tommy Robredo
Jul 22 2013,$1.419,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=439&y=2013&r=5&p=SA93,Horacio Zeballos
Jul 22 2013,$1.443,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=439&y=2013&r=4&p=SA93,Andreas Haider-Maurer
Jul 15 2013,$1.623,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=414&y=2013&r=3&p=G710,Marcel Granollers
Jun 24 2013,$4.205,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604404,Juan Martin del Potro
Jun 24 2013,$3.467,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604307,Kei Nishikori
Jun 24 2013,$2.504,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604214,Michael Llodra
Jun 24 2013,$1.611,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604128,Denis Istomin
Jun 17 2013,$2.317,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=741&y=2013&r=6&p=SD32,Gilles Simon
Jun 17 2013,$2.953,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=741&y=2013&r=5&p=SA93,Radek Stepanek
Jun 17 2013,$1.655,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=741&y=2013&r=4&p=SA93,Ryan Harrison
Jun 17 2013,$1.490,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=741&y=2013&r=3&p=SA93,Guillaume Rufin
May 27 2013,$5.085,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224310,Nicolas Almagro
May 27 2013,$1.376,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224219,Blaz Kavcic
May 27 2013,$1.256,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224137,Leonardo Mayer
May 19 2013,$1.125,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6120&y=2013&r=3&p=L575,Yen-Hsun Lu
May 12 2013,$2.077,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2013&r=2&p=F510,Fabio Fognini
May 5 2013,$2.566,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2013&r=2&p=H355,Tommy Haas
Apr 29 2013,$5.094,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=468&y=2013&r=6&p=F401,David Ferrer
Apr 29 2013,$2.236,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=468&y=2013&r=5&p=SA93,Tommy Robredo
Apr 29 2013,$1.416,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=468&y=2013&r=4&p=SA93,Alejandro Falla
Apr 22 2013,$1.424,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=773&y=2013&r=4&p=R685,Lukas Rosol
Apr 15 2013,$1.711,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2013&r=2&p=F510,Fabio Fognini
