date,odds,matchStatsUrl,opponent
May 21 2014,$3.024,http://www.tennisinsight.com/match_stats_popup.php?matchID=185934313,Milos Raonic
May 21 2014,$1.158,http://www.tennisinsight.com/match_stats_popup.php?matchID=185934226,Alejandro Gonzalez
May 21 2014,$1.096,http://www.tennisinsight.com/match_stats_popup.php?matchID=185934152,Ante Pavic
May 19 2014,$1.767,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6120&y=2014&r=6&p=D874,Federico Delbonis
May 19 2014,$2.096,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6120&y=2014&r=5&p=SD32,Carlos Berlocq
May 19 2014,$1.611,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6120&y=2014&r=4&p=SD32,Dominic Thiem
May 12 2014,$19.367,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=3&p=N409,Rafael Nadal
May 12 2014,$1.516,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=2&p=SD32,Filippo Volandri
May 5 2014,$1.355,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=3&p=K540,Lukasz Kubot
May 5 2014,$1.583,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=2&p=SD32,Benoit Paire
Apr 21 2014,$2.226,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=773&y=2014&r=5&p=R685,Lukas Rosol
Apr 21 2014,$1.948,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=773&y=2014&r=4&p=SD32,Victor Hanescu
Apr 13 2014,$1.538,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=2&p=G681,Teymuraz Gabashvili
Apr 7 2014,$2.273,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=360&y=2014&r=3&p=D874,Federico Delbonis
Apr 7 2014,$1.655,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=21&y=2014&r=-28&p=SD32,Andrey Kuznetsov
Apr 7 2014,$1.069,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=21&y=2014&r=-29&p=SD32,Roberto Marcora
Apr 7 2014,$1.082,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=21&y=2014&r=-30&p=SD32,Nikola Cacic
Mar 17 2014,$1.417,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=2&p=SH90,Joao Sousa
Mar 3 2014,$1.574,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=2&p=TB69,Dominic Thiem
Feb 24 2014,$6.609,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=807&y=2014&r=5&p=MC10,Andy Murray
Feb 24 2014,$1.357,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=807&y=2014&r=4&p=SD32,Donald Young
Feb 24 2014,$1.440,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=807&y=2014&r=3&p=SD32,Tim Smyczek
Feb 10 2014,$1.275,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=375&y=2014&r=4&p=G436,Marc Gicquel
Feb 10 2014,$5.478,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704307,Jo-Wilfried Tsonga
Jan 13 2014,$4.292,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704214,Marin Cilic
Jan 13 2014,$2.942,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704128,Daniel Brands
Jan 7 2014,$1.464,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=339&y=2014&r=4&p=CA99,Marius Copil
Dec 30 2013,$3.467,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2013&r=4&p=F401,David Ferrer
Oct 28 2013,$1.685,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2013&r=3&p=SD32,Nicolas Mahut
Oct 28 2013,$1.280,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=573&y=2013&r=3&p=F444,Alejandro Falla
Oct 21 2013,$1.516,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=2&p=PD31,Benoit Paire
Oct 6 2013,$3.467,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1720&y=2013&r=6&p=BA47,Tomas Berdych
Sep 30 2013,$1.359,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1720&y=2013&r=5&p=SD32,Igor Sijsling
Sep 30 2013,$1.706,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1720&y=2013&r=4&p=SD32,Bernard Tomic
