date,odds,matchStatsUrl,opponent
Sep 16 2013,$1.344,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=341&y=2013&r=4&p=T786,Edouard Roger-Vasselin
Jun 24 2013,$1.256,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604225,Ernests Gulbis
Jun 24 2013,$1.046,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604149,David Goffin
Jun 10 2013,$3.075,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=311&y=2013&r=6&p=MC10,Andy Murray
Jun 10 2013,$1.091,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=311&y=2013&r=5&p=T786,Denis Kudla
Jun 10 2013,$1.223,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=311&y=2013&r=4&p=T786,Igor Sijsling
May 21 2014,$1.176,http://www.tennisinsight.com/match_stats_popup.php?matchID=185934157,Edouard Roger-Vasselin
Jun 10 2013,$1.114,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=311&y=2013&r=3&p=T786,Edouard Roger-Vasselin
May 27 2013,$2.367,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224602,David Ferrer
May 12 2014,$1.967,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=4&p=R975,Milos Raonic
May 27 2013,$2.480,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224504,Roger Federer
May 12 2014,$1.397,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=3&p=T786,Kevin Anderson
May 27 2013,$1.097,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224407,Viktor Troicki
May 12 2014,$2.014,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=2&p=T786,Alexandr Dolgopolov
May 5 2014,$1.479,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=3&p=G725,Santiago Giraldo
May 27 2013,$1.276,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224313,Jeremy Chardy
May 27 2013,$1.130,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224225,Jarkko Nieminen
May 5 2014,$1.261,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=2&p=T786,Edouard Roger-Vasselin
Apr 13 2014,$4.118,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=5&p=F324,Roger Federer
Apr 13 2014,$2.270,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=4&p=T786,Fabio Fognini
May 27 2013,$1.087,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224149,Aljaz Bedene
May 12 2013,$1.349,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2013&r=3&p=J397,Jerzy Janowicz
Apr 13 2014,$1.571,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=3&p=T786,Philipp Kohlschreiber
Apr 4 2014,$1.176,http://www.tennisinsight.com/match_stats_popup.php?matchID=184953103,Tobias Kamke
Apr 4 2014,$1.057,http://www.tennisinsight.com/match_stats_popup.php?matchID=184953102,Peter Gojowczyk
May 5 2013,$2.428,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2013&r=5&p=W367,Stan Wawrinka
