date,odds,matchStatsUrl,opponent
May 21 2014,$1.340,http://www.tennisinsight.com/match_stats_popup.php?matchID=185934128,Michael Llodra
May 12 2014,$1.340,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=2&p=G806,Andrey Golubev
May 5 2014,$1.876,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=3&p=BD06,Roberto Bautista Agut
May 5 2014,$1.429,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=2&p=V306,Andreas Seppi
Apr 21 2014,$1.976,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2014&r=4&p=A479,Nicolas Almagro
Apr 21 2014,$1.130,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2014&r=3&p=V306,Kenny De Schepper
Apr 13 2014,$2.720,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=717&y=2014&r=7&p=V306,Nicolas Almagro
Apr 13 2014,$1.530,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=717&y=2014&r=6&p=V306,Santiago Giraldo
Apr 13 2014,$1.377,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=717&y=2014&r=5&p=V306,Donald Young
Apr 13 2014,$1.471,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=717&y=2014&r=4&p=V306,Steve Johnson
Apr 13 2014,$1.377,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=2&p=D776,Thiemo de Bakker
Mar 17 2014,$2.480,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=4&p=I186,John Isner
Mar 3 2014,$3.156,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=3&p=V306,Richard Gasquet
Mar 3 2014,$1.218,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=2&p=V306,Horacio Zeballos
Mar 3 2014,$2.095,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=407&y=2014&r=3&p=H355,Tommy Haas
Feb 10 2014,$1.152,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704215,Teymuraz Gabashvili
Jan 13 2014,$1.112,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704129,Ze Zhang
Jan 7 2014,$1.245,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=451&y=2014&r=4&p=H528,Victor Hanescu
