"p2PointWonOnServe","p2ReturnPointWonPercentage","player2","id","cluster"
69.5,34.8,"Gael Monfils",1.0,"cluster_1"
65.11,36.2,"Juan Martin Del Potro",2.0,"cluster_1"
58.4,40.34,"Kei Nishikori",3.0,"cluster_1"
64.7,39.88,"Lleyton Hewitt",4.0,"cluster_1"
64.7,42.18,"Novak Djokovic",5.0,"cluster_1"
66.0,35.18,"Novak Djokovic",6.0,"cluster_1"
72.8,40.86,"Rafael Nadal",7.0,"cluster_1"
73.0,40.1,"Rafael Nadal",8.0,"cluster_1"
55.66,29.8,"Andrey Golubev",9.0,"cluster_2"
57.8,29.26,"Paul-Henri Mathieu",10.0,"cluster_2"
61.74,29.99,"Dmitry Tursunov",11.0,"cluster_2"
52.56,24.4,"Teymuraz Gabashvili",12.0,"cluster_0"
58.55,31.32,"Tommy Haas",13.0,"cluster_2"
50.1,28.72,"Blaz Kavcic",14.0,"cluster_0"
58.16,29.88,"Denis Istomin",15.0,"cluster_2"
57.49,34.84,"Andreas Seppi",16.0,"cluster_2"
59.98,27.04,"Andy Murray",17.0,"cluster_2"
56.6,34.92,"Vasek Pospisil",18.0,"cluster_2"
58.28,29.95,"Grigor Dimitrov",19.0,"cluster_2"
51.64,26.7,"Adrian Mannarino",20.0,"cluster_0"
55.5,27.4,"Jarkko Nieminen",21.0,"cluster_2"
61.8,24.1,"Philipp Kohlschreiber",22.0,"cluster_2"
57.1,24.08,"Juan Martin Del Potro",23.0,"cluster_2"
57.98,32.84,"Kevin Anderson",24.0,"cluster_2"
42.2,27.2,"Marinko Matosevic",25.0,"cluster_0"
58.12,23.93,"Mikhail Kukushkin",26.0,"cluster_2"
54.1,24.6,"Benjamin Becker",27.0,"cluster_2"
62.8,20.17,"Jo-Wilfried Tsonga",28.0,"cluster_3"
50.78,37.12,"Radek Stepanek",29.0,"cluster_0"
63.1,31.38,"Novak Djokovic",30.0,"cluster_2"
59.64,24.02,"James Duckworth",31.0,"cluster_2"
65.5,28.08,"Jeremy Chardy",32.0,"cluster_2"
43.41,33.68,"Lukas Rosol",33.0,"cluster_0"
60.02,21.25,"Ilija Bozoljac",34.0,"cluster_3"
48.0,26.06,"Adrian Mannarino",35.0,"cluster_0"
54.6,18.4,"Kevin Anderson",36.0,"cluster_3"
55.0,16.8,"Thiemo de Bakker",37.0,"cluster_3"
54.6,35.13,"Tomas Berdych",38.0,"cluster_2"
46.34,31.0,"Lukas Rosol",39.0,"cluster_0"
56.24,35.4,"Jo-Wilfried Tsonga",40.0,"cluster_2"
48.31,23.48,"Alexandr Dolgopolov",41.0,"cluster_0"
45.8,21.9,"Richard Gasquet",42.0,"cluster_0"
60.99,25.2,"Novak Djokovic",43.0,"cluster_2"
68.04,6.5,"Ivo Karlovic",44.0,"cluster_3"
50.8,22.46,"Radek Stepanek",45.0,"cluster_0"
71.92,27.0,"Sergiy Stakhovsky",46.0,"cluster_1"
69.34,36.86,"Stanislas Wawrinka",47.0,"cluster_1"
62.1,37.4,"Tommy Robredo",48.0,"cluster_1"
