matchId,tournament,player1,player2,winner,t_round,duration,p1Aces,p1DoubleFaults,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p2Aces,p2DoubleFaults,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,urlVisited
,Beijing,Novak Djokovic,Rafael Nadal,Novak Djokovic,F,87,5,1,71,90,76,20,76,50,,,,,,,2,2,65,79,33,9,33,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=747&y=2013&r=7&p=D643
,ATP World Tour Masters 1000 Indian Wells,Novak Djokovic,Jo-Wilfried Tsonga,Novak Djokovic,Q,55,8,0,73,89,80,35,80,44,,,,,,,2,4,62,64,26,10,26,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2013&r=5&p=D643
,ATP World Tour Masters 1000 Indian Wells,Juan Martin Del Potro,Novak Djokovic,Juan Martin Del Potro,S,170,4,3,60,60,56,37,56,41,,,,,,,5,2,60,62,52,39,52,36,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2013&r=6&p=D683
,ATP World Tour Masters 1000 Miami,Novak Djokovic,Lukas Rosol,Novak Djokovic,R64,53,4,0,63,66,82,42,82,71,,,,,,,2,7,41,57,29,33,29,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2013&r=2&p=D643
,ATP World Tour Masters 1000 Miami,Novak Djokovic,Somdev Devvarman,Novak Djokovic,R32,69,4,2,58,90,45,39,45,42,,,,,,,3,1,57,60,52,9,52,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2013&r=3&p=D643
,ATP World Tour Masters 1000 Miami,Tommy Haas,Novak Djokovic,Tommy Haas,R16,80,0,0,58,76,72,47,72,44,,,,,,,2,1,64,52,54,24,54,100,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2013&r=4&p=H355
,ATP World Tour Masters 1000 Monte Carlo,Novak Djokovic,Mikhail Youzhny,Novak Djokovic,R32,135,4,3,54,70,56,37,56,50,,,,,,,3,6,54,62,42,29,42,50,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2013&r=3&p=D643
,ATP World Tour Masters 1000 Monte Carlo,Novak Djokovic,Juan Monaco,Novak Djokovic,R16,122,5,3,66,66,38,52,38,63,,,,,,,0,2,67,47,52,33,52,66,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2013&r=4&p=D643
,ATP World Tour Masters 1000 Monte Carlo,Novak Djokovic,Jarkko Nieminen,Novak Djokovic,Q,77,1,0,54,70,47,44,47,60,,,,,,,1,1,64,55,29,29,29,75,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2013&r=5&p=D643
,ATP World Tour Masters 1000 Monte Carlo,Novak Djokovic,Fabio Fognini,Novak Djokovic,S,52,3,0,70,82,75,35,75,66,,,,,,,1,4,50,65,25,17,25,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2013&r=6&p=D643
