p2ServePointsWon,p2ReturnPointsWon,player2,outlier,odds,winner,date,tournament,t_round,id,cluster
63.0,22.0,Jarkko Nieminen,false,$1.555,Kevin Anderson,Oct 7 2012,ATP World Tour Masters 1000 Shanghai,R64,86.0,cluster_1
79.0,23.0,John Isner,false,$2.614,John Isner,Oct 15 2012,ATP World Tour Masters 1000 Shanghai,R32,85.0,cluster_4
61.0,26.0,Marinko Matosevic,false,$1.376,Kevin Anderson,Oct 22 2012,Basel,R16,82.0,cluster_1
51.0,33.0,Jarkko Nieminen,false,$1.686,Kevin Anderson,Oct 22 2012,Basel,R32,83.0,cluster_3
66.0,38.0,Lleyton Hewitt,false,$1.390,Lleyton Hewitt,Oct 22 2012,Stockholm,R32,84.0,cluster_3
66.0,25.0,Richard Gasquet,false,$2.776,Kevin Anderson,Oct 29 2012,ATP World Tour Masters 1000 Paris,R32,78.0,cluster_4
45.0,28.0,Thomaz Bellucci,false,$1.686,Kevin Anderson,Oct 29 2012,ATP World Tour Masters 1000 Paris,R64,79.0,cluster_2
69.0,38.0,Juan Martin Del Potro,false,$6.197,Juan Martin Del Potro,Oct 29 2012,Basel,Q,80.0,cluster_0
65.0,35.0,Tomas Berdych,false,$4.268,Tomas Berdych,Dec 31 2012,ATP World Tour Masters 1000 Paris,R16,75.0,cluster_3
69.0,34.0,Julien Benneteau,false,$1.681,Kevin Anderson,Jan 7 2013,Sydney,S,67.0,cluster_4
53.0,34.0,Denis Istomin,false,$1.558,Kevin Anderson,Jan 7 2013,Sydney,Q,68.0,cluster_3
61.0,23.0,Feliciano Lopez,false,$1.406,Kevin Anderson,Jan 7 2013,Sydney,R16,71.0,cluster_1
68.0,22.0,Aljaz Bedene,false,$1.271,Kevin Anderson,Jan 7 2013,Sydney,R32,72.0,cluster_4
64.0,31.0,Fernando Verdasco,false,$1.812,Kevin Anderson,Jan 14 2013,Australian Open Slam,Round of 32,59.0,cluster_3
59.0,28.0,Andrey Kuznetsov,false,$1.177,Kevin Anderson,Jan 14 2013,Australian Open Slam,Round of 64,62.0,cluster_1
65.0,31.0,Paolo Lorenzi,false,$1.094,Kevin Anderson,Jan 14 2013,Australian Open Slam,Round of 128,63.0,cluster_4
71.0,26.0,Bernard Tomic,false,$2.226,Bernard Tomic,Jan 14 2013,Sydney,F,64.0,cluster_4
66.0,32.0,Yen-Hsun Lu,false,$1.535,Kevin Anderson,Feb 25 2013,Delray Beach,R16,53.0,cluster_4
55.0,35.0,Tim Smyczek,false,$1.490,Kevin Anderson,Feb 25 2013,Delray Beach,R32,57.0,cluster_3
67.0,42.0,Tomas Berdych,false,$4.837,Tomas Berdych,Feb 25 2013,Australian Open Slam,Round of 16,58.0,cluster_0
60.0,31.0,Gilles Simon,false,$1.513,Kevin Anderson,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R16,43.0,cluster_3
54.0,20.0,Jarkko Nieminen,false,$1.488,Kevin Anderson,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R32,44.0,cluster_1
59.0,38.0,David Ferrer,false,$4.328,Kevin Anderson,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R64,47.0,cluster_3
61.0,24.0,Victor Hanescu,false,$1.205,Kevin Anderson,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R128,48.0,cluster_1
76.0,39.0,John Isner,false,$1.948,John Isner,Mar 6 2013,Delray Beach,Q,52.0,cluster_0
59.0,19.0,Horacio Zeballos,false,$1.201,Kevin Anderson,Mar 18 2013,ATP World Tour Masters 1000 Miami,R64,39.0,cluster_1
69.0,37.0,Tomas Berdych,false,$4.915,Tomas Berdych,Mar 18 2013,ATP World Tour Masters 1000 Indian Wells,Q,40.0,cluster_0
56.0,36.0,Martin Klizan,false,$1.743,Kevin Anderson,Apr 8 2013,Casablanca,S,29.0,cluster_3
62.0,35.0,Grega Zemlja,false,$1.276,Kevin Anderson,Apr 8 2013,Casablanca,Q,31.0,cluster_3
52.0,23.0,Pablo Carreno Busta,false,$1.544,Kevin Anderson,Apr 8 2013,Casablanca,R16,32.0,cluster_2
63.0,42.0,Janko Tipsarevic,false,$1.883,Janko Tipsarevic,Apr 8 2013,ATP World Tour Masters 1000 Miami,R32,36.0,cluster_3
64.0,32.0,Jerzy Janowicz,false,$1.752,Kevin Anderson,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,R64,26.0,cluster_3
68.0,32.0,Tommy Robredo,false,$1.761,Tommy Robredo,Apr 15 2013,Casablanca,F,27.0,cluster_4
60.0,36.0,Juan Monaco,false,$2.760,Kevin Anderson,May 5 2013,ATP World Tour Masters 1000 Madrid,R32,19.0,cluster_3
48.0,13.0,Jesse Levine,false,$1.252,Kevin Anderson,May 5 2013,ATP World Tour Masters 1000 Madrid,R64,22.0,cluster_2
72.0,48.0,Marin Cilic,false,$3.487,Marin Cilic,May 5 2013,ATP World Tour Masters 1000 Monte Carlo,R32,25.0,cluster_0
63.0,29.0,Marin Cilic,false,$2.757,Kevin Anderson,May 12 2013,ATP World Tour Masters 1000 Rome,R32,14.0,cluster_1
43.0,28.0,Jurgen Melzer,false,$1.332,Kevin Anderson,May 12 2013,ATP World Tour Masters 1000 Rome,R64,17.0,cluster_2
63.0,39.0,Tomas Berdych,false,$3.510,Tomas Berdych,May 12 2013,ATP World Tour Masters 1000 Madrid,R16,18.0,cluster_3
73.0,52.0,David Ferrer,false,$6.153,David Ferrer,Jun 10 2013,French Open Slam,Round of 16,3.0,cluster_0
60.0,25.0,Milos Raonic,false,$2.337,Kevin Anderson,Jun 10 2013,French Open Slam,Round of 32,7.0,cluster_1
61.0,28.0,Evgeny Donskoy,false,$1.107,Kevin Anderson,Jun 10 2013,French Open Slam,Round of 64,8.0,cluster_1
