p2ServePointsWon,p2ReturnPointsWon,player2,outlier,odds,winner,date,tournament,t_round,id,cluster
66.0,36.0,Alejandro Falla,false,$1.069,Tomas Berdych,Mar 18 2013,ATP World Tour Masters 1000 Miami,R32,76.0,cluster_4
64.0,31.0,Daniel Gimeno-Traver,false,$1.042,Tomas Berdych,Mar 18 2013,ATP World Tour Masters 1000 Miami,R64,77.0,cluster_4
65.0,40.0,Rafael Nadal,false,$2.809,Rafael Nadal,Mar 18 2013,ATP World Tour Masters 1000 Indian Wells,S,78.0,cluster_4
62.0,30.0,Kevin Anderson,false,$1.229,Tomas Berdych,Mar 18 2013,ATP World Tour Masters 1000 Indian Wells,Q,79.0,cluster_4
70.0,39.0,Richard Gasquet,false,$1.446,Richard Gasquet,Apr 15 2013,ATP World Tour Masters 1000 Miami,Q,74.0,cluster_0
45.0,28.0,Sam Querrey,false,$1.335,Tomas Berdych,Apr 15 2013,ATP World Tour Masters 1000 Miami,R16,75.0,cluster_3
67.0,48.0,Fabio Fognini,false,$1.276,Fabio Fognini,Apr 22 2013,ATP World Tour Masters 1000 Monte Carlo,R16,72.0,cluster_2
54.0,39.0,Marcel Granollers,false,$1.136,Tomas Berdych,Apr 22 2013,ATP World Tour Masters 1000 Monte Carlo,R32,73.0,cluster_3
60.0,36.0,Kevin Anderson,false,$1.366,Tomas Berdych,May 5 2013,ATP World Tour Masters 1000 Madrid,R16,68.0,cluster_4
64.0,38.0,Jerzy Janowicz,false,$1.351,Tomas Berdych,May 5 2013,ATP World Tour Masters 1000 Madrid,R32,69.0,cluster_4
62.0,36.0,Tommy Robredo,false,$1.469,Tommy Robredo,May 5 2013,Barcelona,R16,70.0,cluster_4
56.0,45.0,Nikolay Davydenko,false,$1.454,Tomas Berdych,May 5 2013,Barcelona,R32,71.0,cluster_2
64.0,36.0,Novak Djokovic,false,$5.701,Tomas Berdych,May 19 2013,ATP World Tour Masters 1000 Rome,Q,63.0,cluster_4
58.0,30.0,Kevin Anderson,false,$1.325,Tomas Berdych,May 19 2013,ATP World Tour Masters 1000 Rome,R16,64.0,cluster_4
50.0,23.0,Denis Istomin,false,$1.138,Tomas Berdych,May 19 2013,ATP World Tour Masters 1000 Rome,R32,65.0,cluster_1
63.0,31.0,Stan Wawrinka,false,$1.939,Stan Wawrinka,May 19 2013,ATP World Tour Masters 1000 Madrid,S,66.0,cluster_4
58.0,37.0,Andy Murray,false,$2.058,Tomas Berdych,May 19 2013,ATP World Tour Masters 1000 Madrid,Q,67.0,cluster_4
82.0,41.0,Rafael Nadal,false,$5.777,Rafael Nadal,May 27 2013,ATP World Tour Masters 1000 Rome,S,62.0,cluster_0
57.0,21.0,Grega Zemlja,false,$1.096,Tomas Berdych,Jun 10 2013,London / Queen's Club,R16,59.0,cluster_1
