p2ServePointsWon,p2ReturnPointsWon,player2,outlier,odds,winner,date,tournament,t_round,id,cluster
76.0,32.0,Juan Monaco,false,$2.056,Juan Monaco,Oct 29 2012,ATP World Tour Masters 1000 Paris,R32,83.0,cluster_3
63.0,26.0,Jurgen Melzer,false,$1.663,Grigor Dimitrov,Oct 29 2012,ATP World Tour Masters 1000 Paris,R64,84.0,cluster_4
67.0,38.0,Andy Murray,false,$6.349,Andy Murray,Dec 31 2012,Brisbane,F,78.0,cluster_2
65.0,30.0,Marcos Baghdatis,false,$1.914,Grigor Dimitrov,Dec 31 2012,Brisbane,S,79.0,cluster_4
52.0,29.0,Jurgen Melzer,false,$1.432,Grigor Dimitrov,Dec 31 2012,Brisbane,Q,80.0,cluster_1
74.0,21.0,Milos Raonic,false,$2.868,Grigor Dimitrov,Dec 31 2012,Brisbane,R16,81.0,cluster_4
62.0,25.0,Brian Baker,false,$1.390,Grigor Dimitrov,Dec 31 2012,Brisbane,R32,82.0,cluster_4
77.0,48.0,Fabio Fognini,false,$1.288,Fabio Fognini,Jan 7 2013,Sydney,R32,77.0,cluster_2
75.0,44.0,Julien Benneteau,false,$1.611,Julien Benneteau,Jan 14 2013,Australian Open Slam,Round of 128,76.0,cluster_2
85.0,26.0,Ivo Karlovic,false,$1.389,Ivo Karlovic,Feb 4 2013,Zagreb,R32,75.0,cluster_3
73.0,35.0,Juan Martin Del Potro,false,$4.632,Juan Martin Del Potro,Feb 11 2013,Rotterdam,S,71.0,cluster_3
65.0,28.0,Marcos Baghdatis,false,$1.891,Grigor Dimitrov,Feb 11 2013,Rotterdam,Q,72.0,cluster_4
63.0,16.0,Nikolay Davydenko,false,$2.046,Grigor Dimitrov,Feb 11 2013,Rotterdam,R16,73.0,cluster_4
62.0,31.0,Bernard Tomic,false,$2.230,Grigor Dimitrov,Feb 11 2013,Rotterdam,R32,74.0,cluster_4
72.0,42.0,Novak Djokovic,false,$23.285,Novak Djokovic,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R32,69.0,cluster_2
65.0,16.0,Matthew Ebden,false,$1.279,Grigor Dimitrov,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R64,70.0,cluster_4
62.0,41.0,Andy Murray,false,$8.550,Andy Murray,Mar 18 2013,ATP World Tour Masters 1000 Miami,R32,67.0,cluster_0
68.0,34.0,Simone Bolelli,false,$1.244,Grigor Dimitrov,Mar 18 2013,ATP World Tour Masters 1000 Miami,R64,68.0,cluster_3
60.0,36.0,Rafael Nadal,false,$17.229,Rafael Nadal,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,Q,63.0,cluster_0
50.0,27.0,Florian Mayer,false,$1.357,Grigor Dimitrov,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,R16,64.0,cluster_1
52.0,24.0,Janko Tipsarevic,false,$2.105,Grigor Dimitrov,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,R32,65.0,cluster_1
50.0,37.0,Xavier Malisse,false,$1.370,Grigor Dimitrov,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,R64,66.0,cluster_0
68.0,48.0,Tommy Robredo,false,$1.611,Tommy Robredo,Apr 22 2013,Barcelona,R32,62.0,cluster_2
64.0,39.0,Stan Wawrinka,false,$2.842,Stan Wawrinka,May 5 2013,ATP World Tour Masters 1000 Madrid,R16,59.0,cluster_2
63.0,36.0,Novak Djokovic,false,$11.919,Grigor Dimitrov,May 5 2013,ATP World Tour Masters 1000 Madrid,R32,60.0,cluster_0
