p2ServePointsWon,p2ReturnPointsWon,player2,outlier,odds,winner,date,tournament,t_round,id,cluster
58.0,41.0,Novak Djokovic,false,$2.380,Novak Djokovic,Nov 5 2012,Barclays ATP World Tour Finals,F,82.0,cluster_3
60.0,25.0,Andy Murray,false,$2.340,Roger Federer,Nov 5 2012,Barclays ATP World Tour Finals,S,83.0,cluster_4
71.0,39.0,Andy Murray,false,$2.304,Andy Murray,Jan 14 2013,Australian Open Slam,Semi Final,71.0,cluster_0
66.0,31.0,Jo-Wilfried Tsonga,false,$1.200,Roger Federer,Jan 14 2013,Australian Open Slam,Quarter Final,72.0,cluster_4
64.0,15.0,Milos Raonic,false,$1.139,Roger Federer,Jan 14 2013,Australian Open Slam,Round of 16,76.0,cluster_1
60.0,25.0,Bernard Tomic,false,$1.125,Roger Federer,Jan 14 2013,Australian Open Slam,Round of 32,77.0,cluster_4
58.0,27.0,Nikolay Davydenko,false,$1.057,Roger Federer,Jan 14 2013,Australian Open Slam,Round of 64,78.0,cluster_4
52.0,25.0,Benoit Paire,false,$1.018,Roger Federer,Jan 14 2013,Australian Open Slam,Round of 128,79.0,cluster_2
63.0,47.0,Julien Benneteau,false,$1.093,Julien Benneteau,Feb 11 2013,Rotterdam,Q,66.0,cluster_0
64.0,26.0,Thiemo de Bakker,false,$1.024,Roger Federer,Feb 11 2013,Rotterdam,R16,67.0,cluster_4
51.0,25.0,Grega Zemlja,false,$1.042,Roger Federer,Feb 11 2013,Rotterdam,R32,68.0,cluster_2
67.0,35.0,Tomas Berdych,false,$1.479,Tomas Berdych,Feb 25 2013,Dubai,S,59.0,cluster_0
54.0,19.0,Nikolay Davydenko,false,$1.123,Roger Federer,Feb 25 2013,Dubai,Q,60.0,cluster_1
64.0,28.0,Marcel Granollers,false,$1.042,Roger Federer,Feb 25 2013,Dubai,R16,64.0,cluster_4
54.0,24.0,Malek Jaziri,false,$1.016,Roger Federer,Feb 25 2013,Dubai,R32,65.0,cluster_2
69.0,49.0,Rafael Nadal,false,$1.792,Rafael Nadal,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,Q,53.0,cluster_0
57.0,40.0,Stan Wawrinka,false,$1.264,Roger Federer,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R16,54.0,cluster_3
53.0,33.0,Ivan Dodig,false,$1.052,Roger Federer,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R32,55.0,cluster_3
52.0,11.0,Denis Istomin,false,$1.061,Roger Federer,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R64,56.0,cluster_1
62.0,29.0,Kei Nishikori,false,$1.265,Kei Nishikori,May 5 2013,ATP World Tour Masters 1000 Madrid,R16,47.0,cluster_4
52.0,34.0,Radek Stepanek,false,$1.081,Roger Federer,May 5 2013,ATP World Tour Masters 1000 Madrid,R32,50.0,cluster_3
71.0,54.0,Rafael Nadal,false,$4.996,Rafael Nadal,May 12 2013,ATP World Tour Masters 1000 Rome,F,38.0,cluster_0
60.0,33.0,Benoit Paire,false,$1.155,Roger Federer,May 12 2013,ATP World Tour Masters 1000 Rome,S,39.0,cluster_3
61.0,27.0,Jerzy Janowicz,false,$1.180,Roger Federer,May 12 2013,ATP World Tour Masters 1000 Rome,Q,42.0,cluster_4
45.0,22.0,Gilles Simon,false,$1.209,Roger Federer,May 12 2013,ATP World Tour Masters 1000 Rome,R16,45.0,cluster_2
46.0,17.0,Potito Starace,false,$1.061,Roger Federer,May 12 2013,ATP World Tour Masters 1000 Rome,R32,46.0,cluster_2
74.0,47.0,Jo-Wilfried Tsonga,false,$1.629,Jo-Wilfried Tsonga,May 27 2013,French Open Slam,Quarter Final,25.0,cluster_0
58.0,32.0,Gilles Simon,false,$1.055,Roger Federer,May 27 2013,French Open Slam,Round of 16,29.0,cluster_3
59.0,19.0,Julien Benneteau,false,$1.042,Roger Federer,May 27 2013,French Open Slam,Round of 32,33.0,cluster_1
47.0,26.0,Somdev Devvarman,false,$1.014,Roger Federer,May 27 2013,French Open Slam,Round of 64,34.0,cluster_2
48.0,20.0,Pablo Carreno Busta,false,$1.042,Roger Federer,May 27 2013,French Open Slam,Round of 128,37.0,cluster_2
65.0,24.0,Mikhail Youzhny,false,$1.153,Roger Federer,Jun 10 2013,Halle,F,18.0,cluster_4
63.0,28.0,Tommy Haas,false,$1.367,Roger Federer,Jun 10 2013,Halle,S,22.0,cluster_4
32.0,24.0,Mischa Zverev,false,$1.021,Roger Federer,Jun 10 2013,Halle,Q,23.0,cluster_2
50.0,35.0,Cedrik-Marcel Stebe,false,$1.024,Roger Federer,Jun 10 2013,Halle,R16,24.0,cluster_3
72.0,27.0,Sergiy Stakhovsky,false,$1.006,Sergiy Stakhovsky,Jun 24 2013,Wimbledon Slam,Round of 64,16.0,cluster_4
48.0,13.0,Victor Hanescu,false,$1.008,Roger Federer,Jun 24 2013,Wimbledon Slam,Round of 128,17.0,cluster_1
76.0,31.0,Federico Delbonis,false,$1.149,Federico Delbonis,Jul 15 2013,Hamburg,S,5.0,cluster_0
60.0,38.0,Florian Mayer,false,$1.202,Roger Federer,Jul 15 2013,Hamburg,Q,6.0,cluster_3
54.0,29.0,Jan Hajek,false,$1.051,Roger Federer,Jul 15 2013,Hamburg,R16,10.0,cluster_3
58.0,25.0,Daniel Brands,false,$1.133,Roger Federer,Jul 15 2013,Hamburg,R32,11.0,cluster_4
