p2ServePointsWon,p2ReturnPointsWon,player2,outlier,odds,winner,date,tournament,t_round,id,cluster
71.0,34.0,Tomas Berdych,false,$3.089,Tomas Berdych,Feb 18 2013,Marseille,R16,75.0,cluster_3
56.0,31.0,Edouard Roger-Vasselin,false,$1.362,Ernests Gulbis,Feb 25 2013,Delray Beach,F,70.0,cluster_0
63.0,34.0,Tommy Haas,false,$1.967,Ernests Gulbis,Feb 25 2013,Delray Beach,S,71.0,cluster_4
53.0,24.0,Daniel Munoz-De La Nava,false,$1.237,Ernests Gulbis,Feb 25 2013,Delray Beach,Q,72.0,cluster_0
64.0,36.0,Sam Querrey,false,$2.307,Ernests Gulbis,Feb 25 2013,Delray Beach,R16,73.0,cluster_4
40.0,41.0,James Blake,false,$1.504,Ernests Gulbis,Feb 25 2013,Delray Beach,R32,74.0,cluster_2
64.0,35.0,Rafael Nadal,false,$1.090,Rafael Nadal,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R16,66.0,cluster_4
60.0,34.0,Andreas Seppi,false,$1.482,Ernests Gulbis,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R32,67.0,cluster_4
41.0,25.0,Janko Tipsarevic,false,$1.958,Ernests Gulbis,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R64,68.0,cluster_2
50.0,30.0,Feliciano Lopez,false,$1.664,Ernests Gulbis,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R128,69.0,cluster_0
53.0,27.0,John Isner,false,$1.456,Ernests Gulbis,Apr 5 2013,ATP World Tour Masters 1000 Monte Carlo,R64,65.0,cluster_0
61.0,48.0,Juan Monaco,false,$1.837,Juan Monaco,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,R32,64.0,cluster_4
56.0,28.0,Jarkko Nieminen,false,$1.584,Ernests Gulbis,Apr 22 2013,Munich,R32,60.0,cluster_0
70.0,41.0,Milos Raonic,false,$2.638,Milos Raonic,Apr 22 2013,Barcelona,R16,61.0,cluster_3
63.0,26.0,Fernando Verdasco,false,$1.400,Ernests Gulbis,Apr 22 2013,Barcelona,R32,62.0,cluster_1
50.0,35.0,Radek Stepanek,false,$1.271,Ernests Gulbis,Apr 22 2013,Barcelona,R64,63.0,cluster_0
65.0,39.0,Tommy Haas,false,$1.820,Tommy Haas,Apr 29 2013,Munich,R16,59.0,cluster_4
54.0,34.0,Rogerio Dutra Silva,false,$1.081,Ernests Gulbis,May 12 2013,French Open Slam,Round of 128,55.0,cluster_0
58.0,40.0,Rafael Nadal,false,$11.748,Rafael Nadal,May 12 2013,ATP World Tour Masters 1000 Rome,R16,56.0,cluster_4
48.0,30.0,Viktor Troicki,false,$1.424,Ernests Gulbis,May 12 2013,ATP World Tour Masters 1000 Rome,R32,57.0,cluster_0
62.0,31.0,Jarkko Nieminen,false,$1.300,Ernests Gulbis,May 12 2013,ATP World Tour Masters 1000 Rome,R64,58.0,cluster_4
70.0,24.0,Marcos Baghdatis,false,$1.653,Ernests Gulbis,May 27 2013,Halle,R32,53.0,cluster_1
64.0,35.0,Gael Monfils,false,$1.735,Gael Monfils,May 27 2013,French Open Slam,Round of 64,54.0,cluster_4
62.0,34.0,Edouard Roger-Vasselin,false,$1.283,Ernests Gulbis,Jun 10 2013,Wimbledon Slam,Round of 128,51.0,cluster_4
79.0,36.0,Tommy Haas,false,$2.860,Tommy Haas,Jun 10 2013,Halle,R16,52.0,cluster_3
53.0,31.0,Marcel Granollers,false,$1.438,Ernests Gulbis,Jun 24 2013,Stuttgart,R32,48.0,cluster_0
77.0,40.0,Fernando Verdasco,false,$1.644,Fernando Verdasco,Jun 24 2013,Wimbledon Slam,Round of 32,49.0,cluster_3
63.0,33.0,Jo-Wilfried Tsonga,false,$4.533,Ernests Gulbis,Jun 24 2013,Wimbledon Slam,Round of 64,50.0,cluster_4
62.0,36.0,Jan Hajek,false,$1.283,Jan Hajek,Jul 8 2013,Hamburg,R32,46.0,cluster_4
71.0,37.0,Tommy Haas,false,$2.394,Tommy Haas,Jul 8 2013,Stuttgart,R16,47.0,cluster_3
60.0,24.0,Feliciano Lopez,false,$1.513,Ernests Gulbis,Jul 15 2013,ATP World Tour Masters 1000 Canada,R64,45.0,cluster_1
73.0,34.0,Mikhail Youzhny,false,$1.623,Mikhail Youzhny,Aug 5 2013,ATP World Tour Masters 1000 Cincinnati,R64,41.0,cluster_3
67.0,33.0,Milos Raonic,false,$2.357,Milos Raonic,Aug 5 2013,ATP World Tour Masters 1000 Canada,Q,42.0,cluster_4
57.0,33.0,Andy Murray,false,$5.658,Ernests Gulbis,Aug 5 2013,ATP World Tour Masters 1000 Canada,R16,43.0,cluster_4
52.0,45.0,Fabio Fognini,false,$1.611,Ernests Gulbis,Aug 5 2013,ATP World Tour Masters 1000 Canada,R32,44.0,cluster_4
63.0,37.0,Andreas Haider-Maurer,false,$1.048,Andreas Haider-Maurer,Aug 12 2013,US Open Slam,Round of 128,40.0,cluster_4
59.0,17.0,Jarkko Nieminen,false,$1.868,Ernests Gulbis,Sep 13 2013,Marseille,R32,76.0,cluster_1
50.0,35.0,Guillermo Garcia-Lopez,false,$1.405,Ernests Gulbis,Sep 16 2013,St. Petersburg,F,35.0,cluster_0
55.0,25.0,Michal Przysiezny,false,$1.168,Ernests Gulbis,Sep 16 2013,St. Petersburg,S,36.0,cluster_0
48.0,20.0,Roberto Bautista Agut,false,$1.453,Ernests Gulbis,Sep 16 2013,St. Petersburg,Q,37.0,cluster_0
60.0,32.0,Jurgen Zopp,false,$1.218,Ernests Gulbis,Sep 16 2013,St. Petersburg,R16,38.0,cluster_4
29.0,24.0,Mikhail Elgin,false,$1.070,Ernests Gulbis,Sep 16 2013,St. Petersburg,R32,39.0,cluster_2
66.0,46.0,David Ferrer,false,$1.976,David Ferrer,Oct 14 2013,Stockholm,S,31.0,cluster_3
62.0,32.0,Jerzy Janowicz,false,$1.680,Ernests Gulbis,Oct 14 2013,Stockholm,Q,32.0,cluster_4
59.0,25.0,Igor Sijsling,false,$1.458,Ernests Gulbis,Oct 14 2013,Stockholm,R16,33.0,cluster_1
65.0,35.0,Jeremy Chardy,false,$1.313,Ernests Gulbis,Oct 14 2013,Stockholm,R32,34.0,cluster_4
70.0,36.0,John Isner,false,$1.683,John Isner,Oct 21 2013,Valencia,R32,30.0,cluster_3
70.0,39.0,Fernando Verdasco,false,$1.550,Fernando Verdasco,Oct 28 2013,ATP World Tour Masters 1000 Paris,R64,29.0,cluster_3
63.0,40.0,Rafael Nadal,false,$4.792,Rafael Nadal,Dec 30 2013,Doha,Q,26.0,cluster_4
56.0,33.0,Lukasz Kubot,false,$1.203,Ernests Gulbis,Dec 30 2013,Doha,R16,27.0,cluster_0
46.0,36.0,Daniel Evans,false,$1.245,Ernests Gulbis,Dec 30 2013,Doha,R32,28.0,cluster_2
79.0,42.0,Sam Querrey,false,$1.506,Sam Querrey,Jan 13 2014,Australian Open Slam,Round of 64,24.0,cluster_3
68.0,37.0,Juan Monaco,false,$1.196,Ernests Gulbis,Jan 13 2014,Australian Open Slam,Round of 128,25.0,cluster_3
71.0,41.0,Tomas Berdych,false,$2.619,Tomas Berdych,Feb 10 2014,Rotterdam,S,20.0,cluster_3
60.0,22.0,Juan Martin Del Potro,false,$3.447,Ernests Gulbis,Feb 10 2014,Rotterdam,Q,21.0,cluster_1
69.0,25.0,Grigor Dimitrov,false,$2.575,Ernests Gulbis,Feb 10 2014,Rotterdam,R16,22.0,cluster_1
59.0,26.0,Denis Istomin,false,$1.728,Ernests Gulbis,Feb 10 2014,Rotterdam,R32,23.0,cluster_1
68.0,22.0,Jo-Wilfried Tsonga,false,$2.327,Ernests Gulbis,Feb 17 2014,Marseille,F,16.0,cluster_1
56.0,22.0,Richard Gasquet,false,$2.178,Ernests Gulbis,Feb 17 2014,Marseille,S,17.0,cluster_1
62.0,14.0,Nicolas Mahut,false,$1.446,Ernests Gulbis,Feb 17 2014,Marseille,Q,18.0,cluster_1
65.0,32.0,Roberto Bautista Agut,false,$1.432,Ernests Gulbis,Feb 17 2014,Marseille,R16,19.0,cluster_4
59.0,43.0,Grigor Dimitrov,false,$2.125,Grigor Dimitrov,Feb 24 2014,Acapulco,Q,13.0,cluster_4
60.0,36.0,David Goffin,false,$1.220,Ernests Gulbis,Feb 24 2014,Acapulco,R16,14.0,cluster_4
39.0,36.0,Yen-Hsun Lu,false,$1.287,Ernests Gulbis,Feb 24 2014,Acapulco,R32,15.0,cluster_2
71.0,34.0,John Isner,false,$1.735,John Isner,Mar 3 2014,ATP World Tour Masters 1000 Indian Wells,Q,9.0,cluster_3
