p2ServePointsWon,p2ReturnPointsWon,player2,outlier,odds,winner,date,tournament,t_round,id,cluster
59.0,32.0,Stan Wawrinka,false,$1.154,Andy Murray,Oct 1 2012,Tokyo,Q,77.0,cluster_3
37.0,26.0,Lukas Lacko,false,$1.031,Andy Murray,Oct 1 2012,Tokyo,R16,80.0,cluster_1
53.0,33.0,Roger Federer,false,$2.066,Andy Murray,Oct 7 2012,ATP World Tour Masters 1000 Shanghai,S,71.0,cluster_4
58.0,31.0,Radek Stepanek,false,$1.092,Andy Murray,Oct 7 2012,ATP World Tour Masters 1000 Shanghai,Q,74.0,cluster_3
50.0,25.0,Alexandr Dolgopolov,false,$1.119,Andy Murray,Oct 7 2012,ATP World Tour Masters 1000 Shanghai,R16,75.0,cluster_4
69.0,33.0,Milos Raonic,false,$1.288,Milos Raonic,Oct 7 2012,Tokyo,S,76.0,cluster_3
58.0,33.0,Paul-Henri Mathieu,false,$1.081,Andy Murray,Oct 29 2012,ATP World Tour Masters 1000 Paris,R32,66.0,cluster_3
60.0,43.0,Novak Djokovic,false,$2.634,Novak Djokovic,Oct 29 2012,ATP World Tour Masters 1000 Shanghai,F,70.0,cluster_2
67.0,36.0,Jerzy Janowicz,false,$1.070,Jerzy Janowicz,Nov 5 2012,ATP World Tour Masters 1000 Paris,R16,65.0,cluster_3
74.0,39.0,Roger Federer,false,$1.710,Roger Federer,Dec 24 2012,Barclays ATP World Tour Finals,S,59.0,cluster_0
50.0,26.0,Kei Nishikori,false,$1.260,Andy Murray,Dec 31 2012,Brisbane,S,53.0,cluster_4
65.0,23.0,Denis Istomin,false,$1.122,Andy Murray,Dec 31 2012,Brisbane,Q,54.0,cluster_3
58.0,36.0,John Millman,false,$1.031,Andy Murray,Dec 31 2012,Brisbane,R16,58.0,cluster_2
61.0,29.0,Roger Federer,false,$1.716,Andy Murray,Jan 14 2013,Australian Open Slam,Semi Final,38.0,cluster_3
47.0,36.0,Jeremy Chardy,false,$1.069,Andy Murray,Jan 14 2013,Australian Open Slam,Quarter Final,42.0,cluster_2
48.0,30.0,Gilles Simon,false,$1.024,Andy Murray,Jan 14 2013,Australian Open Slam,Round of 16,46.0,cluster_4
53.0,39.0,Richard Berankis,false,$1.020,Andy Murray,Jan 14 2013,Australian Open Slam,Round of 32,47.0,cluster_2
56.0,26.0,Joao Sousa,false,$1.002,Andy Murray,Jan 14 2013,Australian Open Slam,Round of 64,48.0,cluster_4
46.0,34.0,Robin Haase,false,$1.020,Andy Murray,Jan 14 2013,Australian Open Slam,Round of 128,49.0,cluster_4
61.0,32.0,Grigor Dimitrov,false,$1.165,Andy Murray,Jan 14 2013,Brisbane,F,52.0,cluster_3
53.0,37.0,Carlos Berlocq,false,$1.033,Andy Murray,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R16,29.0,cluster_2
51.0,35.0,Yen-Hsun Lu,false,$1.070,Andy Murray,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R32,32.0,cluster_2
53.0,39.0,Evgeny Donskoy,false,$1.033,Andy Murray,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R64,36.0,cluster_2
72.0,33.0,Novak Djokovic,false,$2.725,Novak Djokovic,Mar 6 2013,Australian Open Slam,Final,37.0,cluster_3
