p2ServePointsWon,p2ReturnPointsWon,player2,outlier,odds,winner,date,tournament,t_round,id,cluster
78.0,25.0,Grigor Dimitrov,false,$1.495,Grigor Dimitrov,Oct 29 2012,Brisbane,R16,59.0,cluster_2
85.0,36.0,Roger Federer,false,$7.186,Roger Federer,Jan 14 2013,Australian Open Slam,Round of 16,53.0,cluster_2
68.0,20.0,Philipp Kohlschreiber,false,$1.677,Milos Raonic,Jan 14 2013,Australian Open Slam,Round of 32,56.0,cluster_1
58.0,23.0,Lukas Rosol,false,$1.210,Milos Raonic,Jan 14 2013,Australian Open Slam,Round of 64,57.0,cluster_4
59.0,25.0,Jan Hajek,false,$1.039,Milos Raonic,Jan 14 2013,Australian Open Slam,Round of 128,58.0,cluster_0
57.0,23.0,Tommy Haas,false,$1.543,Milos Raonic,Feb 11 2013,San Jose,F,46.0,cluster_4
58.0,12.0,Sam Querrey,false,$1.540,Milos Raonic,Feb 11 2013,San Jose,S,47.0,cluster_4
62.0,21.0,Denis Istomin,false,$1.335,Milos Raonic,Feb 11 2013,San Jose,Q,51.0,cluster_4
61.0,20.0,Michael Russell,false,$1.196,Milos Raonic,Feb 11 2013,San Jose,R16,52.0,cluster_4
66.0,31.0,Jack Sock,false,$1.075,Jack Sock,Feb 18 2013,Memphis,R32,45.0,cluster_0
72.0,25.0,Jo-Wilfried Tsonga,false,$2.197,Jo-Wilfried Tsonga,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R16,40.0,cluster_1
65.0,32.0,Marin Cilic,false,$1.852,Milos Raonic,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R32,41.0,cluster_0
56.0,19.0,Guillaume Rufin,false,$1.140,Milos Raonic,Mar 18 2013,ATP World Tour Masters 1000 Miami,R64,38.0,cluster_4
62.0,28.0,Jarkko Nieminen,false,$1.391,Jarkko Nieminen,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,R32,31.0,cluster_0
56.0,29.0,Julien Benneteau,false,$1.454,Milos Raonic,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,R64,34.0,cluster_0
69.0,52.0,Rafael Nadal,false,$9.817,Rafael Nadal,Apr 22 2013,Barcelona,S,24.0,cluster_3
64.0,28.0,Tommy Robredo,false,$1.445,Milos Raonic,Apr 22 2013,Barcelona,Q,25.0,cluster_0
58.0,29.0,Ernests Gulbis,false,$1.568,Milos Raonic,Apr 22 2013,Barcelona,R16,27.0,cluster_0
58.0,23.0,Edouard Roger-Vasselin,false,$1.292,Milos Raonic,Apr 22 2013,Barcelona,R32,28.0,cluster_4
65.0,34.0,Fernando Verdasco,false,$1.388,Fernando Verdasco,May 5 2013,ATP World Tour Masters 1000 Madrid,R32,21.0,cluster_0
68.0,30.0,Nikolay Davydenko,false,$1.340,Milos Raonic,May 5 2013,ATP World Tour Masters 1000 Madrid,R64,22.0,cluster_2
78.0,33.0,Philipp Kohlschreiber,false,$1.535,Philipp Kohlschreiber,May 12 2013,ATP World Tour Masters 1000 Rome,R64,19.0,cluster_2
75.0,40.0,Kevin Anderson,false,$1.698,Kevin Anderson,May 27 2013,French Open Slam,Round of 32,14.0,cluster_3
61.0,29.0,Michael Llodra,false,$1.362,Milos Raonic,May 27 2013,French Open Slam,Round of 64,17.0,cluster_0
56.0,28.0,Xavier Malisse,false,$1.061,Milos Raonic,May 27 2013,French Open Slam,Round of 128,18.0,cluster_0
74.0,40.0,Gael Monfils,false,$1.510,Gael Monfils,Jun 10 2013,Halle,R32,13.0,cluster_3
76.0,37.0,Ivan Dodig,false,$1.495,Ivan Dodig,Jun 17 2013,Eastbourne,R16,12.0,cluster_2
80.0,32.0,Igor Sijsling,false,$1.364,Igor Sijsling,Jun 24 2013,Wimbledon Slam,Round of 64,8.0,cluster_2
58.0,19.0,Carlos Berlocq,false,$1.121,Milos Raonic,Jun 24 2013,Wimbledon Slam,Round of 128,9.0,cluster_4
78.0,31.0,Marinko Matosevic,false,$1.246,Marinko Matosevic,Jul 29 2013,Washington,R16,3.0,cluster_2
61.0,16.0,Samuel Groth,false,$1.170,Milos Raonic,Jul 29 2013,Washington,R32,7.0,cluster_4
63.0,28.0,Jeremy Chardy,false,$1.272,Milos Raonic,Aug 5 2013,ATP World Tour Masters 1000 Canada,R64,2.0,cluster_0
80.0,33.0,Sam Querrey,false,$2.289,Sam Querrey,Aug 12 2013,ATP World Tour Masters 1000 Paris,R16,63.0,cluster_2
62.0,35.0,Richard Gasquet,false,$1.780,Richard Gasquet,Aug 26 2013,US Open Slam,Round of 16,73.0,cluster_0
63.0,25.0,Feliciano Lopez,false,$1.437,Milos Raonic,Aug 26 2013,US Open Slam,Round of 32,74.0,cluster_0
52.0,35.0,Pablo Andujar,false,$1.081,Milos Raonic,Aug 26 2013,US Open Slam,Round of 64,75.0,cluster_0
58.0,26.0,Thomas Fabbiano,false,$1.064,Milos Raonic,Aug 26 2013,US Open Slam,Round of 128,76.0,cluster_0
72.0,46.0,Novak Djokovic,false,$13.683,Novak Djokovic,Sep 13 2013,Davis Cup,Reverse Singles,71.0,cluster_3
69.0,31.0,Janko Tipsarevic,false,$1.578,Milos Raonic,Sep 13 2013,Davis Cup,Singles,72.0,cluster_2
77.0,18.0,Tomas Berdych,false,$2.581,Milos Raonic,Sep 23 2013,Bangkok,F,67.0,cluster_1
78.0,32.0,Richard Gasquet,false,$2.067,Milos Raonic,Sep 23 2013,Bangkok,S,68.0,cluster_2
62.0,18.0,Feliciano Lopez,false,$1.506,Milos Raonic,Sep 23 2013,Bangkok,Q,69.0,cluster_4
64.0,30.0,Marinko Matosevic,false,$1.340,Milos Raonic,Sep 23 2013,Bangkok,R16,70.0,cluster_0
