p2ServePointsWon,p2ReturnPointsWon,player2,outlier,odds,winner,date,tournament,t_round,id,cluster
70.0,38.0,Leonardo Mayer,false,$1.580,Leonardo Mayer,Aug 27 2012,US Open Slam,Round of 64,89.0,cluster_0
63.0,46.0,Albert Montanes,false,$1.460,Albert Montanes,Sep 3 2012,Genova,F,84.0,cluster_2
56.0,30.0,Simone Bolelli,false,$1.680,Tommy Robredo,Sep 3 2012,Genova,S,85.0,cluster_1
52.0,39.0,Walter Trusendi,false,$1.070,Tommy Robredo,Sep 3 2012,Genova,Q,86.0,cluster_1
48.0,46.0,Simone Vagnozzi,false,$1.220,Tommy Robredo,Sep 3 2012,Genova,R16,87.0,cluster_1
60.0,32.0,Lukas Rosol,false,$1.600,Tommy Robredo,Sep 3 2012,Genova,R32,88.0,cluster_1
79.0,45.0,Daniel Gimeno-Traver,false,$2.150,Daniel Gimeno-Traver,Sep 10 2012,Seville,F,79.0,cluster_0
66.0,31.0,Inigo Cervantes,false,$1.340,Tommy Robredo,Sep 10 2012,Seville,S,80.0,cluster_4
65.0,40.0,Facundo Arguello,false,$1.160,Tommy Robredo,Sep 10 2012,Seville,Q,81.0,cluster_0
68.0,18.0,Nick Van Der Meer,false,$1.090,Tommy Robredo,Sep 10 2012,Seville,R16,82.0,cluster_4
58.0,20.0,Ivan Navarro,false,$1.180,Tommy Robredo,Sep 10 2012,Seville,R32,83.0,cluster_4
70.0,48.0,Kei Nishikori,false,$4.167,Kei Nishikori,Oct 1 2012,Tokyo,R16,77.0,cluster_2
58.0,26.0,Jarkko Nieminen,false,$2.959,Tommy Robredo,Oct 1 2012,Tokyo,R32,78.0,cluster_4
69.0,50.0,Tommy Haas,false,$3.253,Tommy Haas,Oct 7 2012,ATP World Tour Masters 1000 Shanghai,R32,75.0,cluster_2
66.0,26.0,Alex Bogomolov Jr.,false,$1.793,Tommy Robredo,Oct 7 2012,ATP World Tour Masters 1000 Shanghai,R64,76.0,cluster_4
63.0,48.0,Fernando Verdasco,false,$3.791,Fernando Verdasco,Oct 21 2012,Valencia,R32,74.0,cluster_2
71.0,43.0,Kei Nishikori,false,$4.228,Kei Nishikori,Dec 31 2012,Brisbane,R16,72.0,cluster_0
67.0,20.0,Ryan Harrison,false,$2.959,Tommy Robredo,Dec 31 2012,Brisbane,R32,73.0,cluster_4
71.0,36.0,John Millman,false,$1.590,John Millman,Jan 7 2013,Sydney,R32,71.0,cluster_0
65.0,30.0,Jesse Levine,false,$2.248,Jesse Levine,Jan 14 2013,Australian Open Slam,Round of 128,70.0,cluster_4
74.0,35.0,Paolo Lorenzi,false,$1.623,Paolo Lorenzi,Feb 4 2013,Vina del Mar,R16,68.0,cluster_0
50.0,25.0,Pere Riba,false,$1.125,Tommy Robredo,Feb 4 2013,Vina del Mar,R32,69.0,cluster_3
74.0,43.0,Simone Bolelli,false,$1.623,Simone Bolelli,Feb 11 2013,Sao Paulo,R32,67.0,cluster_0
67.0,48.0,David Ferrer,false,$12.327,David Ferrer,Feb 18 2013,Buenos Aires,S,63.0,cluster_2
50.0,30.0,Julian Reister,false,$1.424,Tommy Robredo,Feb 18 2013,Buenos Aires,Q,64.0,cluster_3
50.0,21.0,Diego Sebastian Schwartzman,false,$1.597,Tommy Robredo,Feb 18 2013,Buenos Aires,R16,65.0,cluster_3
40.0,37.0,Gastao Elias,false,$1.699,Tommy Robredo,Feb 18 2013,Buenos Aires,R32,66.0,cluster_3
