p2ServePointsWon,p2ReturnPointsWon,player2,outlier,odds,winner,date,tournament,t_round,id,cluster
56.0,26.0,Edouard Roger-Vasselin,false,$1.300,Andreas Seppi,Nov 5 2012,Ortisei,S,75.0,cluster_3
63.0,20.0,Pierre-Hugues Herbert,false,$1.090,Andreas Seppi,Nov 5 2012,Ortisei,Q,76.0,cluster_3
66.0,20.0,Jan Mertl,false,$1.210,Andreas Seppi,Nov 5 2012,Ortisei,R16,77.0,cluster_3
70.0,45.0,Benjamin Becker,false,$1.310,Benjamin Becker,Dec 31 2012,Ortisei,F,74.0,cluster_2
58.0,18.0,Marcel Granollers,false,$1.846,Andreas Seppi,Jan 7 2013,Sydney,Q,72.0,cluster_3
56.0,33.0,John Millman,false,$1.498,Andreas Seppi,Jan 7 2013,Sydney,R16,73.0,cluster_0
58.0,41.0,Marin Cilic,false,$3.114,Andreas Seppi,Jan 14 2013,Australian Open Slam,Round of 32,68.0,cluster_0
69.0,28.0,Denis Istomin,false,$1.931,Andreas Seppi,Jan 14 2013,Australian Open Slam,Round of 64,69.0,cluster_3
58.0,24.0,Horacio Zeballos,false,$1.242,Andreas Seppi,Jan 14 2013,Australian Open Slam,Round of 128,70.0,cluster_3
73.0,23.0,Bernard Tomic,false,$2.736,Bernard Tomic,Jan 14 2013,Sydney,S,71.0,cluster_3
66.0,43.0,Jeremy Chardy,false,$1.585,Jeremy Chardy,Feb 4 2013,Australian Open Slam,Round of 16,67.0,cluster_4
67.0,36.0,Matthias Bachinger,false,$1.278,Matthias Bachinger,Feb 11 2013,Rotterdam,R32,66.0,cluster_4
69.0,54.0,Novak Djokovic,false,$19.689,Novak Djokovic,Feb 25 2013,Dubai,Q,63.0,cluster_2
58.0,33.0,Lukas Rosol,false,$1.408,Andreas Seppi,Feb 25 2013,Dubai,R16,64.0,cluster_0
47.0,40.0,Paul-Henri Mathieu,false,$1.593,Andreas Seppi,Feb 25 2013,Dubai,R32,65.0,cluster_1
65.0,39.0,Ernests Gulbis,false,$2.924,Ernests Gulbis,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R32,61.0,cluster_4
59.0,33.0,Daniel Brands,false,$1.837,Andreas Seppi,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R64,62.0,cluster_0
75.0,43.0,Andy Murray,false,$12.872,Andy Murray,Mar 18 2013,ATP World Tour Masters 1000 Miami,R16,58.0,cluster_2
64.0,33.0,Thomaz Bellucci,false,$1.435,Andreas Seppi,Mar 18 2013,ATP World Tour Masters 1000 Miami,R32,59.0,cluster_4
58.0,36.0,Aljaz Bedene,false,$1.484,Andreas Seppi,Mar 18 2013,ATP World Tour Masters 1000 Miami,R64,60.0,cluster_0
52.0,46.0,Fabio Fognini,false,$1.711,Fabio Fognini,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,R64,57.0,cluster_0
66.0,42.0,Lukas Rosol,false,$1.424,Lukas Rosol,Apr 22 2013,Bucharest,R16,56.0,cluster_4
67.0,49.0,David Ferrer,false,$5.094,David Ferrer,Apr 29 2013,Oeiras,S,53.0,cluster_2
53.0,33.0,Tommy Robredo,false,$2.236,Andreas Seppi,Apr 29 2013,Oeiras,Q,54.0,cluster_1
45.0,28.0,Alejandro Falla,false,$1.416,Andreas Seppi,Apr 29 2013,Oeiras,R16,55.0,cluster_1
75.0,50.0,Tommy Haas,false,$2.566,Tommy Haas,May 5 2013,ATP World Tour Masters 1000 Madrid,R64,52.0,cluster_2
66.0,55.0,Fabio Fognini,false,$2.077,Fabio Fognini,May 12 2013,ATP World Tour Masters 1000 Rome,R64,51.0,cluster_2
55.0,44.0,Yen-Hsun Lu,false,$1.125,Yen-Hsun Lu,May 19 2013,Nice,R32,50.0,cluster_0
74.0,46.0,Nicolas Almagro,false,$5.085,Nicolas Almagro,May 27 2013,French Open Slam,Round of 32,47.0,cluster_2
60.0,34.0,Blaz Kavcic,false,$1.376,Andreas Seppi,May 27 2013,French Open Slam,Round of 64,48.0,cluster_0
59.0,36.0,Leonardo Mayer,false,$1.256,Andreas Seppi,May 27 2013,French Open Slam,Round of 128,49.0,cluster_0
55.0,50.0,Gilles Simon,false,$2.317,Gilles Simon,Jun 17 2013,Eastbourne,S,43.0,cluster_0
54.0,32.0,Radek Stepanek,false,$2.953,Andreas Seppi,Jun 17 2013,Eastbourne,Q,44.0,cluster_1
66.0,28.0,Ryan Harrison,false,$1.655,Andreas Seppi,Jun 17 2013,Eastbourne,R16,45.0,cluster_3
56.0,43.0,Guillaume Rufin,false,$1.490,Andreas Seppi,Jun 17 2013,Eastbourne,R32,46.0,cluster_0
72.0,39.0,Juan Martin del Potro,false,$4.205,Juan Martin del Potro,Jun 24 2013,Wimbledon Slam,Round of 16,39.0,cluster_4
60.0,36.0,Kei Nishikori,false,$3.467,Andreas Seppi,Jun 24 2013,Wimbledon Slam,Round of 32,40.0,cluster_0
58.0,38.0,Michael Llodra,false,$2.504,Andreas Seppi,Jun 24 2013,Wimbledon Slam,Round of 64,41.0,cluster_0
71.0,31.0,Denis Istomin,false,$1.611,Andreas Seppi,Jun 24 2013,Wimbledon Slam,Round of 128,42.0,cluster_4
57.0,50.0,Marcel Granollers,false,$1.623,Marcel Granollers,Jul 15 2013,Hamburg,R32,38.0,cluster_0
61.0,40.0,Tommy Robredo,false,$2.571,Tommy Robredo,Jul 22 2013,Umag,S,35.0,cluster_0
54.0,30.0,Horacio Zeballos,false,$1.419,Andreas Seppi,Jul 22 2013,Umag,Q,36.0,cluster_1
41.0,35.0,Andreas Haider-Maurer,false,$1.443,Andreas Seppi,Jul 22 2013,Umag,R16,37.0,cluster_1
67.0,42.0,Kei Nishikori,false,$2.737,Kei Nishikori,Aug 5 2013,ATP World Tour Masters 1000 Canada,R32,33.0,cluster_4
59.0,39.0,Lukas Rosol,false,$1.404,Andreas Seppi,Aug 5 2013,ATP World Tour Masters 1000 Canada,R64,34.0,cluster_0
78.0,43.0,Stan Wawrinka,false,$3.219,Stan Wawrinka,Aug 12 2013,ATP World Tour Masters 1000 Cincinnati,R64,32.0,cluster_2
69.0,37.0,Steve Johnson,false,$1.799,Steve Johnson,Aug 18 2013,Winston-Salem,R32,31.0,cluster_4
61.0,39.0,Denis Istomin,false,$2.437,Denis Istomin,Aug 26 2013,US Open Slam,Round of 32,28.0,cluster_0
58.0,40.0,Somdev Devvarman,false,$1.508,Andreas Seppi,Aug 26 2013,US Open Slam,Round of 64,29.0,cluster_0
60.0,35.0,Xavier Malisse,false,$1.469,Andreas Seppi,Aug 26 2013,US Open Slam,Round of 128,30.0,cluster_0
62.0,40.0,Nicolas Mahut,false,$1.724,Nicolas Mahut,Sep 16 2013,Metz,R16,27.0,cluster_0
69.0,37.0,Stan Wawrinka,false,$5.132,Stan Wawrinka,Sep 30 2013,Beijing,R32,26.0,cluster_4
65.0,41.0,Roger Federer,false,$5.857,Roger Federer,Oct 6 2013,ATP World Tour Masters 1000 Shanghai,R32,24.0,cluster_4
52.0,28.0,Lleyton Hewitt,false,$2.465,Andreas Seppi,Oct 6 2013,ATP World Tour Masters 1000 Shanghai,R64,25.0,cluster_1
53.0,47.0,Mikhail Kukushkin,false,$1.729,Mikhail Kukushkin,Oct 14 2013,Moscow,S,21.0,cluster_0
38.0,37.0,Edouard Roger-Vasselin,false,$1.503,Andreas Seppi,Oct 14 2013,Moscow,Q,22.0,cluster_1
55.0,17.0,Paolo Lorenzi,false,$1.218,Andreas Seppi,Oct 14 2013,Moscow,R16,23.0,cluster_3
72.0,33.0,Daniel Brands,false,$1.514,Daniel Brands,Oct 21 2013,Basel,R32,20.0,cluster_4
68.0,40.0,Philipp Kohlschreiber,false,$2.168,Philipp Kohlschreiber,Oct 28 2013,ATP World Tour Masters 1000 Paris,R64,19.0,cluster_4
51.0,35.0,Simon Greul,false,$1.104,Andreas Seppi,Nov 4 2013,Ortisei,F,14.0,cluster_1
68.0,29.0,Teymuraz Gabashvili,false,$1.259,Andreas Seppi,Nov 4 2013,Ortisei,S,15.0,cluster_3
54.0,26.0,Frank Dancevic,false,$1.248,Andreas Seppi,Nov 4 2013,Ortisei,Q,16.0,cluster_3
52.0,40.0,Farrukh Dustov,false,$1.138,Andreas Seppi,Nov 4 2013,Ortisei,R16,17.0,cluster_0
60.0,18.0,Thiemo de Bakker,false,$1.175,Andreas Seppi,Nov 4 2013,Ortisei,R32,18.0,cluster_3
