p2ServePointsWon,p2ReturnPointsWon,player2,outlier,odds,winner,date,tournament,t_round,id,cluster
63.0,30.0,Paolo Lorenzi,false,$1.195,Stan Wawrinka,Feb 1 2013,Buenos Aires,R32,80.0,cluster_1
66.0,44.0,Fabio Fognini,false,$1.226,Fabio Fognini,Feb 18 2013,Acapulco,R32,75.0,cluster_2
61.0,48.0,David Ferrer,false,$3.814,David Ferrer,Feb 18 2013,Buenos Aires,F,76.0,cluster_2
67.0,21.0,Nicolas Almagro,false,$2.236,Stan Wawrinka,Feb 18 2013,Buenos Aires,S,77.0,cluster_1
53.0,37.0,Albert Ramos,false,$1.334,Stan Wawrinka,Feb 18 2013,Buenos Aires,Q,78.0,cluster_4
50.0,28.0,Daniel Gimeno-Traver,false,$1.222,Stan Wawrinka,Feb 18 2013,Buenos Aires,R16,79.0,cluster_3
60.0,26.0,Wayne Odesnik,false,$1.155,Stan Wawrinka,Feb 25 2013,ATP World Tour Masters 1000 Indian Wells,R64,74.0,cluster_1
56.0,36.0,Blaz Kavcic,false,$1.165,Stan Wawrinka,Mar 6 2013,Casablanca,R16,71.0,cluster_4
59.0,42.0,Roger Federer,false,$4.432,Roger Federer,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R16,72.0,cluster_4
58.0,27.0,Lleyton Hewitt,false,$1.306,Stan Wawrinka,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R32,73.0,cluster_1
50.0,33.0,Denis Istomin,false,$1.171,Stan Wawrinka,Apr 8 2013,ATP World Tour Masters 1000 Monte Carlo,R64,68.0,cluster_3
57.0,44.0,Tommy Robredo,false,$1.272,Tommy Robredo,Apr 8 2013,Casablanca,S,69.0,cluster_4
44.0,30.0,Guillermo Garcia-Lopez,false,$1.171,Stan Wawrinka,Apr 8 2013,Casablanca,Q,70.0,cluster_3
62.0,32.0,Albert Ramos,false,$1.306,Stan Wawrinka,Apr 15 2013,Oeiras,R16,64.0,cluster_4
62.0,34.0,Jo-Wilfried Tsonga,false,$1.830,Jo-Wilfried Tsonga,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,Q,65.0,cluster_4
44.0,25.0,Andy Murray,false,$3.085,Stan Wawrinka,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,R16,66.0,cluster_3
43.0,29.0,Albert Montanes,false,$1.205,Stan Wawrinka,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,R32,67.0,cluster_3
63.0,14.0,Marius Copil,false,$1.096,Stan Wawrinka,Apr 29 2013,ATP World Tour Masters 1000 Madrid,R64,52.0,cluster_1
58.0,14.0,David Ferrer,false,$2.980,Stan Wawrinka,Apr 29 2013,Oeiras,F,56.0,cluster_1
59.0,31.0,Pablo Carreno Busta,false,$1.144,Stan Wawrinka,Apr 29 2013,Oeiras,S,57.0,cluster_4
58.0,25.0,Gastao Elias,false,$1.136,Stan Wawrinka,Apr 29 2013,Oeiras,Q,61.0,cluster_1
57.0,39.0,Carlos Berlocq,false,$1.329,Stan Wawrinka,May 5 2013,ATP World Tour Masters 1000 Rome,R64,42.0,cluster_4
84.0,40.0,Rafael Nadal,false,$6.502,Rafael Nadal,May 5 2013,ATP World Tour Masters 1000 Madrid,F,43.0,cluster_2
68.0,36.0,Tomas Berdych,false,$1.995,Stan Wawrinka,May 5 2013,ATP World Tour Masters 1000 Madrid,S,44.0,cluster_2
56.0,35.0,Jo-Wilfried Tsonga,false,$1.653,Stan Wawrinka,May 5 2013,ATP World Tour Masters 1000 Madrid,Q,46.0,cluster_4
60.0,35.0,Grigor Dimitrov,false,$1.503,Stan Wawrinka,May 5 2013,ATP World Tour Masters 1000 Madrid,R16,47.0,cluster_4
52.0,25.0,Santiago Giraldo,false,$1.235,Stan Wawrinka,May 5 2013,ATP World Tour Masters 1000 Madrid,R32,51.0,cluster_3
66.0,29.0,Thiemo de Bakker,false,$1.096,Stan Wawrinka,May 12 2013,French Open Slam,Round of 128,39.0,cluster_1
70.0,52.0,Rafael Nadal,false,$12.872,Rafael Nadal,May 27 2013,French Open Slam,Quarter Final,32.0,cluster_2
64.0,30.0,Richard Gasquet,false,$1.830,Stan Wawrinka,May 27 2013,French Open Slam,Round of 16,33.0,cluster_1
61.0,29.0,Jerzy Janowicz,false,$1.396,Stan Wawrinka,May 27 2013,French Open Slam,Round of 32,37.0,cluster_1
60.0,29.0,Horacio Zeballos,false,$1.082,Stan Wawrinka,May 27 2013,French Open Slam,Round of 64,38.0,cluster_1
