player,Hard Court (Past year),Clay Court (Past year),Grass (Past year) or Last 10 if unavailable,vs Top 10 Rank (Last 50),vs Top 10 Rank (Last 10),vs Top 20 Rank (Last 10),vs Left Handers (Last 10),vs Big Servers (Last 10),Service Points Won (Past year),Return Points Won (Past year),vs Higher Rank (Last 10),First Serve Speed,Average Net Approaches,Current Ranking,Age,Height
Rafael Nadal,0.88,0.90,0.60,0.76,0.50,0.60,0.80,0.80,0.67,0.43,0.80,0.17,0.56,0,0.307692308,0.322580645
Kei Nishikori,0.63,0.87,0.50,0.36,0.50,0.60,0.60,0.90,0.63,0.42,0.80,0.00,0.42,0.209302326,0.076923077,0.096774194
Andy Murray,0.68,0.73,1.00,0.50,0.30,0.20,0.90,0.70,0.66,0.41,0.40,0.31,0.55,0.162790698,0.307692308,0.483870968
John Isner,0.73,0.56,0.57,0.30,0.30,0.30,0.50,0.50,0.72,0.32,0.70,0.87,0.70,0.23255814,0.461538462,1
Roger Federer,0.79,0.69,0.83,0.52,0.60,0.70,0.50,0.80,0.69,0.41,0.50,0.39,1.00,0.069767442,0.692307692,0.322580645
Novak Djokovic,0.90,0.88,0.86,0.82,0.70,0.80,0.70,0.90,0.70,0.43,0.90,0.37,0.73,0.023255814,0.307692308,0.419354839
Stanislas Wawrinka,0.71,0.73,0.67,0.36,0.60,0.80,0.50,0.80,0.67,0.38,0.50,0.50,0.74,0.046511628,0.461538462,0.258064516
David Ferrer,0.66,0.79,0.67,0.40,0.40,0.70,0.90,0.80,0.64,0.43,0.40,0.21,0.74,0.093023256,0.692307692,0
Tomas Berdych,0.70,0.57,0.75,0.34,0.40,0.50,0.50,0.90,0.68,0.39,0.30,0.70,0.69,0.11627907,0.384615385,0.677419355
Juan Martin del Potro,0.80,0.70,0.78,0.36,0.40,0.60,0.70,1.00,0.68,0.37,0.40,0.63,0.79,0.139534884,0.153846154,0.741935484
Milos Raonic,0.71,0.63,0.40,0.33,0.30,0.30,0.50,0.80,0.71,0.34,0.30,0.87,0.97,0.186046512,0,0.677419355
Grigor Dimitrov,0.57,0.77,0.50,0.19,0.30,0.50,0.50,0.90,0.68,0.37,0.50,0.64,0.66,0.255813953,0,0.483870968
Richard Gasquet,0.67,0.67,0.67,0.24,0.20,0.30,0.50,0.70,0.66,0.38,0.20,0.24,0.83,0.279069767,0.307692308,0.322580645
Jo-Wilfried Tsonga,0.67,0.73,0.67,0.26,0.10,0.40,0.80,0.70,0.68,0.35,0.10,0.52,0.58,0.302325581,0.461538462,0.419354839
Mikhail Youzhny,0.56,0.61,0.78,0.28,0.20,0.20,0.30,0.70,0.64,0.39,0.30,0.17,0.52,0.348837209,0.615384615,0.258064516
Tommy Haas,0.57,0.67,0.71,0.32,0.10,0.20,0.60,0.60,0.66,0.37,0.10,0.40,0.54,0.372093023,1,0.419354839
Tommy Robredo,0.64,0.62,0.67,0.26,0.40,0.20,0.30,0.60,0.65,0.38,0.40,0.31,0.51,0.395348837,0.692307692,0.161290323
Jeremy Chardy,0.55,0.52,0.60,0.22,0.10,0.10,0.40,0.30,0.65,0.35,0.30,0.74,0.63,0.906976744,0.307692308,0.419354839
Gael Monfils,0.65,0.67,0.70,0.30,0.40,0.30,0.70,0.80,0.65,0.39,0.30,0.33,0.46,0.534883721,0.307692308,0.580645161
Andreas Seppi,0.40,0.50,0.75,0.02,0.00,0.10,0.50,0.20,0.61,0.38,0.20,0.24,0.53,0.744186047,0.538461538,0.483870968
Marin Cilic,0.69,0.62,0.71,0.26,0.30,0.50,0.80,0.80,0.67,0.38,0.50,0.51,0.82,0.581395349,0.153846154,0.741935484
Ernests Gulbis,0.58,0.61,0.60,0.26,0.50,0.50,0.60,0.70,0.66,0.38,0.40,1.00,0.43,0.418604651,0.153846154,0.483870968
Kevin Anderson,0.63,0.50,0.50,0.13,0.20,0.30,0.90,0.50,0.69,0.34,0.30,0.71,0.51,0.441860465,0.384615385,0.903225806
Nicolas Almagro,0.54,0.66,0.67,0.22,0.20,0.20,0.50,0.60,0.67,0.37,0.20,0.78,0.00,0.488372093,0.384615385,0.258064516
Fernando Verdasco,0.53,0.70,0.75,0.22,0.10,0.20,0.80,0.60,0.66,0.38,0.40,0.45,0.48,0.558139535,0.538461538,0.419354839
Lleyton Hewitt,0.64,0.29,0.75,0.28,0.70,0.60,0.60,0.50,0.61,0.40,0.40,0.01,0.89,1,0.769230769,0.161290323
