tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
Wimbledon Slam,Nicolas Almagro,Jurgen Zopp,Nicolas Almagro,Round of 128,112,11,55,93,78,22,78,20,36,14,"
								","
								",189,160,87,37,11,52,78,46,7,,0,34,36,"
                            ","
                            ",186,159,63,13,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604141
Houston,Nicolas Almagro,Gael Monfils,Nicolas Almagro,R16,86,3,43,74,62,40,62,57,,,,,,,67,45,3,65,60,42,25,,28,,,,,,,54,32,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=717&y=2013&r=4&p=A479
ATP World Tour Masters 1000 Miami,Nicolas Almagro,Richard Gasquet,Richard Gasquet,R16,160,19,50,80,37,19,37,50,,,,,,,59,30,17,55,80,55,19,,30,,,,,,,69,40,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2013&r=4&p=G628
Australian Open Slam,Nicolas Almagro,Steve Johnson,Nicolas Almagro,Round of 128,190,34,53,80,64,21,64,47,62,29,"
								","
								",192,151,73,38,21,59,79,37,20,,40,59,61,"
                            ","
                            ",190,158,62,27,http://www.tennisinsight.com/match_stats_popup.php?matchID=177954125
French Open Slam,Nicolas Almagro,Andreas Seppi,Nicolas Almagro,Round of 32,104,19,69,86,46,31,46,38,43,20,"
								","
								",,,74,46,6,51,69,38,14,,20,32,37,"
                            ","
                            ",,,54,26,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224310
Houston,Nicolas Almagro,Paolo Lorenzi,Nicolas Almagro,Q,82,9,54,75,62,30,62,100,,,,,,,69,40,5,54,69,46,25,,33,,,,,,,59,30,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=717&y=2013&r=5&p=A479
ATP World Tour Masters 1000 Madrid,Nicolas Almagro,Andy Murray,Andy Murray,R32,107,8,43,74,53,26,53,42,,,,,,,62,36,5,52,73,52,25,,66,,,,,,,63,37,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=3&p=MC10
ATP World Tour Masters 1000 Rome,Nicolas Almagro,Julien Benneteau,Julien Benneteau,R64,84,12,62,80,50,21,50,100,,,,,,,68,27,4,67,78,60,20,,100,,,,,,,72,31,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2013&r=2&p=B747
Australian Open Slam,Nicolas Almagro,David Ferrer,David Ferrer,Quarter Final,224,15,47,73,47,28,47,58,51,75,"
                            ","
                            ",198,149,59,35,16,69,72,50,27,53,38,44,51,"
								","
								",175,144,65,41,http://www.tennisinsight.com/match_stats_popup.php?matchID=177954502
Australian Open Slam,Nicolas Almagro,Janko Tipsarevic,Nicolas Almagro,Round of 16,62,6,51,86,62,42,62,44,24,17,"
								","
								",202,158,74,54,2,52,58,32,14,,0,8,22,"
                            ","
                            ",187,145,46,26,http://www.tennisinsight.com/match_stats_popup.php?matchID=177954404
