tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
French Open Slam,Jeremy Chardy,Jo-Wilfried Tsonga,Jo-Wilfried Tsonga,Round of 32,102,3,65,73,38,17,38,0,17,34,"
                            ","
                            ",196,168,61,21,6,67,83,71,27,62,50,25,24,"
								","
								",187,144,79,39,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224313
ATP World Tour Masters 1000 Rome,Jeremy Chardy,Milos Raonic,Milos Raonic,Q,122,8,61,74,41,12,41,28,,,,,,,61,30,14,63,87,38,25,,44,,,,,,,69,38,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=5&p=R975
US Open Slam,Jeremy Chardy,Matthew Ebden,Jeremy Chardy,Round of 64,,9,59,80,59,33,59,50,9,4,"
								","
								",,,72,46,3,54,67,39,20,,0,3,10,"
                            ","
                            ",,,54,28,http://www.tennisinsight.com/match_stats_popup.php?matchID=176114215
French Open Slam,Jeremy Chardy,Benjamin Becker,Jeremy Chardy,Round of 128,118,10,66,79,59,32,59,45,46,33,"
								","
								",195,169,72,44,7,66,68,35,21,,20,24,24,"
                            ","
                            ",183,150,56,28,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224152
Australian Open Slam,Jeremy Chardy,Andreas Seppi,Jeremy Chardy,Round of 16,162,11,65,77,47,31,47,40,47,42,"
								","
								",199,162,66,43,9,63,69,36,23,,18,34,44,"
                            ","
                            ",183,146,57,34,http://www.tennisinsight.com/match_stats_popup.php?matchID=177954405
s-Hertogenbosch,Jeremy Chardy,Marius Copil,Jeremy Chardy,R16,82,3,59,81,72,21,72,66,,,,,,,77,38,10,59,78,37,18,,0,,,,,,,61,22,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=440&y=2013&r=4&p=CA12
ATP World Tour Masters 1000 Canada,Jeremy Chardy,Milos Raonic,Milos Raonic,R64,129,3,56,67,57,20,57,100,,,,,,,63,28,12,56,79,62,32,,33,,,,,,,71,36,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=421&y=2013&r=2&p=R975
Australian Open Slam,Jeremy Chardy,Juan Martin del Potro,Jeremy Chardy,Round of 32,225,20,58,78,52,26,52,29,78,64,"
								","
								",198,159,67,34,13,67,74,51,22,,29,36,35,"
                            ","
                            ",190,152,66,33,http://www.tennisinsight.com/match_stats_popup.php?matchID=177954309
s-Hertogenbosch,Jeremy Chardy,Stan Wawrinka,Stan Wawrinka,Q,75,10,72,81,29,21,29,50,,,,,,,67,25,7,61,78,66,18,,66,,,,,,,74,32,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=440&y=2013&r=5&p=W367
Australian Open Slam,Jeremy Chardy,David Ferrer,David Ferrer,Round of 32,132,8,58,69,36,30,36,33,30,51,17,27,197,162,55,30,2,72,70,71,31,64,45,22,24,10,12,173,144,70,45,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704312
