tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
Australian Open Slam,Marin Cilic,Gilles Simon,Gilles Simon,Round of 64,237,15,50,68,43,27,43,47,15,7,"
                            ","
                            ",,,56,41,7,49,73,45,32,57,83,7,8,"
								","
								",,,59,44,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704214
Australian Open Slam,Marin Cilic,Andreas Seppi,Andreas Seppi,Round of 32,218,13,50,75,41,29,41,37,38,67,"
                            ","
                            ",187,141,58,41,6,56,71,43,25,59,53,36,66,"
								","
								",178,136,59,42,http://www.tennisinsight.com/match_stats_popup.php?matchID=177954310
Barcelona,Marin Cilic,Tommy Robredo,Marin Cilic,R16,167,8,52,75,60,27,60,40,,,,,,,68,31,2,71,72,56,24,,16,,,,,,,68,31,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2014&r=4&p=C977
ATP World Tour Masters 1000 Rome,Marin Cilic,Kevin Anderson,Kevin Anderson,R32,109,7,55,68,57,24,57,0,,,,,,,63,29,13,74,75,57,31,,11,,,,,,,70,36,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2013&r=3&p=A678
ATP World Tour Masters 1000 Rome,Marin Cilic,Jurgen Melzer,Jurgen Melzer,R32,142,7,58,63,53,25,53,50,,,,,,,59,31,4,71,74,51,36,,40,,,,,,,68,40,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=3&p=M762
French Open Slam,Marin Cilic,Viktor Troicki,Viktor Troicki,Round of 32,163,6,59,62,56,26,56,22,34,56,"
                            ","
                            ",,,60,36,7,65,74,45,38,44,40,32,36,"
								","
								",,,64,40,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224314
US Open Slam,Marin Cilic,Kei Nishikori,Marin Cilic,Round of 32,,12,46,76,65,34,65,33,46,46,"
								","
								",193,146,70,37,4,64,66,57,24,,11,32,37,"
                            ","
                            ",172,136,63,30,http://www.tennisinsight.com/match_stats_popup.php?matchID=176114307
Barcelona,Marin Cilic,Kei Nishikori,Kei Nishikori,Q,71,5,47,68,25,24,25,50,,,,,,,45,34,2,61,75,50,32,,62,,,,,,,65,54,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2014&r=5&p=N552
ATP World Tour Masters 1000 Madrid,Marin Cilic,Paul-Henri Mathieu,Marin Cilic,R32,108,14,52,72,63,34,63,50,,,,,,,68,34,1,56,65,65,27,,66,,,,,,,65,31,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=3&p=C977
ATP World Tour Masters 1000 Madrid,Marin Cilic,Joao Sousa,Marin Cilic,R64,54,7,52,90,66,59,66,71,,,,,,,78,59,1,52,40,40,10,,0,,,,,,,40,21,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=2&p=C977
US Open Slam,Marin Cilic,Martin Klizan,Marin Cilic,Round of 16,,7,56,74,51,42,51,70,23,23,"
								","
								",188,149,64,47,5,54,58,47,26,,29,32,41,"
                            ","
                            ",177,144,53,36,http://www.tennisinsight.com/match_stats_popup.php?matchID=176114404
ATP World Tour Masters 1000 Indian Wells,Marin Cilic,Albert Ramos,Marin Cilic,R64,90,4,53,75,82,24,82,66,,,,,,,79,32,4,54,75,57,24,,0,,,,,,,67,20,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2013&r=2&p=C977
Australian Open Slam,Marin Cilic,Marcel Granollers,Marin Cilic,Round of 128,192,22,58,81,60,30,60,63,63,53,21,31,188,145,73,39,13,61,70,47,19,,67,41,34,20,29,181,146,61,28,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704127
Wimbledon Slam,Marin Cilic,Marcos Baghdatis,Marin Cilic,Round of 128,93,16,70,80,67,28,67,67,41,19,"
								","
								",185,146,76,34,4,61,72,57,20,,100,20,18,"
                            ","
                            ",183,160,66,24,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604156
US Open Slam,Marin Cilic,Andy Murray,Andy Murray,Quarter Final,,2,53,68,34,30,34,44,32,50,"
                            ","
                            ",189,144,52,39,11,55,70,49,32,66,42,39,31,"
								","
								",183,135,61,48,http://www.tennisinsight.com/match_stats_popup.php?matchID=176114502
ATP World Tour Masters 1000 Paris,Marin Cilic,Jerzy Janowicz,Jerzy Janowicz,R32,87,6,52,76,51,13,51,0,,,,,,,64,18,9,69,86,70,23,,40,,,,,,,81,35,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2012&r=3&p=J397
Valencia,Marin Cilic,Ivan Dodig,Ivan Dodig,Q,124,10,46,71,40,23,40,33,,,,,,,54,38,5,60,76,40,28,,45,,,,,,,61,45,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=573&y=2012&r=5&p=D646
Hamburg,Marin Cilic,Tommy Haas,Tommy Haas,S,117,4,51,57,48,32,48,50,,,,,,,53,34,1,51,67,62,42,,36,,,,,,,65,46,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=414&y=2012&r=6&p=H355
ATP World Tour Masters 1000 Cincinnati,Marin Cilic,Jesse Levine,Marin Cilic,R32,101,7,54,78,53,27,53,50,,,,,,,67,38,3,58,72,46,21,,40,,,,,,,61,32,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=422&y=2012&r=3&p=C977
Australian Open Slam,Marin Cilic,Marinko Matosevic,Marin Cilic,Round of 128,142,9,55,76,60,30,60,40,34,33,"
								","
								",190,141,69,40,2,48,70,50,24,,0,19,40,"
                            ","
                            ",185,147,60,31,http://www.tennisinsight.com/match_stats_popup.php?matchID=177954140
French Open Slam,Marin Cilic,Nick Kyrgios,Marin Cilic,Round of 64,98,8,51,91,68,35,68,71,32,15,"
								","
								",185,145,80,46,3,64,65,34,9,,0,14,23,"
                            ","
                            ",186,156,54,20,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224228
ATP World Tour Masters 1000 Canada,Marin Cilic,Janko Tipsarevic,Janko Tipsarevic,R16,74,4,63,60,52,20,52,0,,,,,,,57,29,1,55,80,58,39,,75,,,,,,,70,42,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=421&y=2012&r=4&p=T742
Australian Open Slam,Marin Cilic,Rajeev Ram,Marin Cilic,Round of 64,119,9,57,91,67,33,67,31,45,22,"
								","
								",182,140,80,40,1,71,67,41,9,,0,16,27,"
                            ","
                            ",186,147,60,20,http://www.tennisinsight.com/match_stats_popup.php?matchID=177954220
ATP World Tour Masters 1000 Canada,Marin Cilic,Marcos Baghdatis,Marin Cilic,R32,82,7,60,71,52,20,52,66,,,,,,,64,43,10,59,79,21,28,,40,,,,,,,56,35,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=421&y=2012&r=3&p=C977
ATP World Tour Masters 1000 Cincinnati,Marin Cilic,Novak Djokovic,Novak Djokovic,Q,82,2,53,58,44,16,44,0,,,,,,,51,25,7,68,83,52,41,,42,,,,,,,74,48,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=422&y=2012&r=5&p=D643
ATP World Tour Masters 1000 Shanghai,Marin Cilic,Martin Klizan,Marin Cilic,R32,94,3,52,75,48,40,48,25,,,,,,,62,49,3,53,60,40,25,,25,,,,,,,50,37,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2012&r=3&p=C977
French Open Slam,Marin Cilic,Philipp Petzschner,Marin Cilic,Round of 128,92,5,50,87,67,44,67,58,35,15,"
								","
								",185,140,77,53,0,56,56,34,13,,50,12,28,"
                            ","
                            ",161,127,47,23,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224156
Beijing,Marin Cilic,Marius Copil,Marius Copil,R32,146,6,53,66,53,25,53,36,,,,,,,60,40,21,60,74,37,34,,66,,,,,,,59,39,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=747&y=2012&r=3&p=CA99
ATP World Tour Masters 1000 Shanghai,Marin Cilic,Lukasz Kubot,Marin Cilic,R64,93,8,58,68,60,41,60,44,,,,,,,65,44,2,68,58,47,31,,33,,,,,,,55,35,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2012&r=2&p=C977
ATP World Tour Masters 1000 Cincinnati,Marin Cilic,Sergiy Stakhovsky,Marin Cilic,R64,117,7,52,76,56,28,56,36,,,,,,,67,40,11,58,71,43,23,,75,,,,,,,60,32,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=422&y=2012&r=2&p=C977
ATP World Tour Masters 1000 Cincinnati,Marin Cilic,Pablo Andujar,Marin Cilic,R16,131,6,43,70,53,39,53,55,,,,,,,60,51,1,53,60,34,30,,75,,,,,,,48,39,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=422&y=2012&r=4&p=C977
Valencia,Marin Cilic,Martin Klizan,Marin Cilic,R32,107,5,65,68,47,32,47,35,,,,,,,61,46,3,55,67,37,31,,60,,,,,,,53,38,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=573&y=2012&r=3&p=C977
ATP World Tour Masters 1000 Shanghai,Marin Cilic,Fernando Verdasco,Marin Cilic,R16,128,6,59,76,55,34,55,25,,,,,,,68,40,3,70,65,46,23,,25,,,,,,,59,31,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2012&r=4&p=C977
ATP World Tour Masters 1000 Shanghai,Marin Cilic,Roger Federer,Roger Federer,Q,82,1,53,54,41,35,41,33,,,,,,,48,38,8,67,64,55,45,,71,,,,,,,61,51,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2012&r=5&p=F324
London / Queen's Club,Marin Cilic,Tomas Berdych,Marin Cilic,Q,106,8,62,79,56,24,56,33,,,,,,,70,29,5,69,75,59,20,,0,,,,,,,70,29,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=311&y=2013&r=5&p=C977
Valencia,Marin Cilic,Fernando Verdasco,Marin Cilic,R16,77,3,52,84,66,46,66,57,,,,,,,76,48,3,61,53,47,15,,50,,,,,,,51,24,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=573&y=2012&r=4&p=C977
London / Queen's Club,Marin Cilic,Lleyton Hewitt,Marin Cilic,S,141,11,58,76,45,31,45,35,,,,,,,63,44,7,52,68,40,24,,30,,,,,,,55,36,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=311&y=2013&r=6&p=C977
London / Queen's Club,Marin Cilic,Feliciano Lopez,Marin Cilic,R16,143,18,55,71,61,23,61,33,,,,,,,66,32,13,62,76,51,28,,30,,,,,,,67,33,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=311&y=2013&r=4&p=C977
London / Queen's Club,Marin Cilic,Ivan Dodig,Marin Cilic,R32,62,7,68,81,70,35,70,40,,,,,,,77,40,4,62,65,50,18,,0,,,,,,,59,22,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=311&y=2013&r=3&p=C977
London / Queen's Club,Marin Cilic,Andy Murray,Andy Murray,F,153,4,58,80,40,24,40,25,,,,,,,63,29,4,61,75,61,19,,18,,,,,,,70,36,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=311&y=2013&r=7&p=MC10
Chennai,Marin Cilic,Sergiy Stakhovsky,Marin Cilic,R16,107,15,56,82,61,27,61,60,,,,,,,73,38,4,65,72,41,17,,33,,,,,,,61,26,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=891&y=2013&r=4&p=C977
ATP World Tour Masters 1000 Paris,Marin Cilic,Igor Sijsling,Marin Cilic,R64,101,21,47,89,55,20,55,60,,,,,,,71,38,6,48,79,45,10,,33,,,,,,,61,28,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2013&r=2&p=C977
Zagreb,Marin Cilic,Mikhail Youzhny,Marin Cilic,S,149,7,50,73,52,41,52,55,,,,,,,62,43,1,63,58,52,26,,60,,,,,,,56,37,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=2276&y=2013&r=6&p=C977
Chennai,Marin Cilic,Benoit Paire,Benoit Paire,Q,114,8,56,63,61,24,61,66,,,,,,,62,40,9,49,75,43,36,,44,,,,,,,59,37,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=891&y=2013&r=5&p=PD31
Zagreb,Marin Cilic,Grega Zemlja,Marin Cilic,R16,66,11,64,82,63,44,63,75,,,,,,,75,43,4,58,55,57,17,,0,,,,,,,56,24,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=2276&y=2013&r=4&p=C977
ATP World Tour Masters 1000 Paris,Marin Cilic,Juan Martin Del Potro,Juan Martin Del Potro,R32,109,19,56,75,45,20,45,0,,,,,,,62,25,2,61,79,66,24,,16,,,,,,,74,37,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2013&r=3&p=D683
Zagreb,Marin Cilic,Blaz Kavcic,Marin Cilic,Q,98,7,57,90,32,34,32,60,,,,,,,65,38,6,74,65,50,9,,40,,,,,,,61,34,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=2276&y=2013&r=5&p=C977
ATP World Tour Masters 1000 Indian Wells,Marin Cilic,Milos Raonic,Milos Raonic,R32,117,8,52,75,55,12,55,33,,,,,,,65,32,16,58,88,37,25,,100,,,,,,,67,34,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2013&r=3&p=R975
Memphis,Marin Cilic,Kei Nishikori,Kei Nishikori,Q,72,12,54,73,36,30,36,50,,,,,,,56,31,4,66,69,66,26,,66,,,,,,,68,43,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=402&y=2013&r=5&p=N552
Memphis,Marin Cilic,Igor Sijsling,Marin Cilic,R16,157,14,48,72,63,23,63,0,,,,,,,68,33,12,55,76,53,27,,12,,,,,,,66,31,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=402&y=2013&r=4&p=C977
Zagreb,Marin Cilic,Jurgen Melzer,Marin Cilic,F,67,8,70,79,83,51,83,33,,,,,,,80,49,1,69,48,55,20,,0,,,,,,,50,19,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=2276&y=2013&r=7&p=C977
Memphis,Marin Cilic,Ivan Dodig,Marin Cilic,R32,106,6,61,89,51,28,51,30,,,,,,,74,40,13,57,71,43,10,,50,,,,,,,59,25,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=402&y=2013&r=3&p=C977
ATP World Tour Masters 1000 Miami,Marin Cilic,Jo-Wilfried Tsonga,Marin Cilic,R16,109,2,61,77,72,33,72,28,,,,,,,75,40,4,54,66,51,22,,25,,,,,,,59,24,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2013&r=4&p=C977
Brisbane,Marin Cilic,Grigor Dimitrov,Marin Cilic,R16,96,16,61,85,53,23,53,33,,,,,,,72,33,8,58,76,53,14,,0,,,,,,,66,27,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=339&y=2014&r=4&p=C977
Brisbane,Marin Cilic,Denis Istomin,Marin Cilic,R32,142,14,53,86,51,19,51,33,,,,,,,70,26,8,56,80,65,13,,0,,,,,,,74,29,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=339&y=2014&r=3&p=C977
ATP World Tour Masters 1000 Miami,Marin Cilic,Santiago Giraldo,Marin Cilic,R64,94,11,50,70,60,42,60,75,,,,,,,65,42,1,54,57,57,30,,12,,,,,,,57,35,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2013&r=2&p=C977
ATP World Tour Masters 1000 Miami,Marin Cilic,John Isner,Marin Cilic,R32,78,2,67,82,65,23,65,33,,,,,,,77,38,20,64,76,34,17,,33,,,,,,,61,22,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2013&r=3&p=C977
ATP World Tour Masters 1000 Monte Carlo,Marin Cilic,Kevin Anderson,Marin Cilic,R32,75,4,45,90,57,38,57,57,,,,,,,72,48,2,70,61,27,9,,100,,,,,,,51,27,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2013&r=3&p=C977
Sydney,Marin Cilic,Jan-Lennard Struff,Marin Cilic,R32,103,8,52,85,51,33,51,60,,,,,,,69,37,7,67,66,53,14,,33,,,,,,,62,30,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=338&y=2014&r=3&p=C977
Sydney,Marin Cilic,Denis Istomin,Denis Istomin,R16,77,8,68,72,35,12,35,0,,,,,,,61,28,2,60,87,48,27,,66,,,,,,,71,38,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=338&y=2014&r=4&p=I165
Brisbane,Marin Cilic,Kei Nishikori,Kei Nishikori,Q,157,14,43,73,49,22,49,6,,,,,,,59,32,6,55,77,55,26,,20,,,,,,,67,40,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=339&y=2014&r=5&p=N552
ATP World Tour Masters 1000 Monte Carlo,Marin Cilic,Richard Gasquet,Richard Gasquet,R16,100,0,50,61,45,32,45,60,,,,,,,53,38,3,56,67,53,38,,55,,,,,,,61,46,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2013&r=4&p=G628
Zagreb,Marin Cilic,Mate Delic,Marin Cilic,R32,71,14,68,91,62,30,62,40,,,,,,,82,37,3,69,69,45,8,,0,,,,,,,62,18,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=2276&y=2014&r=3&p=C977
Zagreb,Marin Cilic,Dusan Lajovic,Marin Cilic,R16,98,12,64,78,52,34,52,30,,,,,,,69,43,1,58,65,42,21,,25,,,,,,,56,30,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=2276&y=2014&r=4&p=C977
ATP World Tour Masters 1000 Monte Carlo,Marin Cilic,Horacio Zeballos,Marin Cilic,R64,124,8,61,73,46,38,46,61,,,,,,,63,48,2,58,61,37,26,,57,,,,,,,51,36,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2013&r=2&p=C977
ATP World Tour Masters 1000 Miami,Marin Cilic,Andy Murray,Andy Murray,Q,103,4,54,47,43,33,43,37,,,,,,,45,41,6,53,66,48,52,,33,,,,,,,58,54,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2013&r=5&p=MC10
ATP World Tour Masters 1000 Madrid,Marin Cilic,Pablo Andujar,Pablo Andujar,R64,125,5,55,72,60,25,60,12,,,,,,,67,29,2,70,74,62,27,,80,,,,,,,70,32,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2013&r=2&p=A596
ATP World Tour Masters 1000 Rome,Marin Cilic,Andrey Golubev,Marin Cilic,R64,74,2,54,86,54,17,54,60,,,,,,,71,39,0,58,82,30,13,,0,,,,,,,60,28,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2013&r=2&p=C977
Zagreb,Marin Cilic,Tommy Haas,Marin Cilic,F,80,10,51,80,51,43,51,37,,,,,,,66,41,2,66,56,63,19,,33,,,,,,,58,33,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=2276&y=2014&r=7&p=C977
Rotterdam,Marin Cilic,Jo-Wilfried Tsonga,Marin Cilic,R16,71,5,64,88,63,29,63,40,,,,,,,79,33,3,68,70,57,11,,0,,,,,,,66,20,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=407&y=2014&r=4&p=C977
Munich,Marin Cilic,Ivan Dodig,Ivan Dodig,R16,79,2,50,64,44,32,44,50,,,,,,,54,33,5,67,67,63,35,,50,,,,,,,66,45,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=308&y=2013&r=4&p=D646
Zagreb,Marin Cilic,Ivan Dodig,Marin Cilic,Q,92,6,68,75,40,25,40,80,,,,,,,64,39,2,59,75,40,25,,28,,,,,,,60,35,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=2276&y=2014&r=5&p=C977
Olympics ATP,Marin Cilic,Jurgen Melzer,Marin Cilic,Round of 64,96,6,49,68,62,35,62,30,,,,,,,64,43,4,73,65,35,32,,33,,,,,,,57,36,http://www.tennisinsight.com/match_stats_popup.php?matchID=175774129
Rotterdam,Marin Cilic,Lukas Rosol,Marin Cilic,R32,61,8,69,76,60,41,60,66,,,,,,,71,51,3,62,58,30,23,,0,,,,,,,48,28,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=407&y=2014&r=3&p=C977
US Open Slam,Marin Cilic,Marinko Matosevic,Marin Cilic,Round of 128,,8,50,77,53,43,53,24,47,63,"
								","
								",185,141,65,40,8,69,57,67,23,,44,35,58,"
                            ","
                            ",172,136,60,35,http://www.tennisinsight.com/match_stats_popup.php?matchID=176114125
Zagreb,Marin Cilic,Bjorn Phau,Marin Cilic,S,84,6,49,80,46,40,46,40,,,,,,,63,48,2,57,59,40,19,,40,,,,,,,51,36,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=2276&y=2014&r=6&p=C977
Rotterdam,Marin Cilic,Tomas Berdych,Tomas Berdych,F,76,8,53,75,41,17,41,0,,,,,,,59,23,9,55,82,69,25,,75,,,,,,,76,40,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=407&y=2014&r=7&p=BA47
Delray Beach,Marin Cilic,Kevin Anderson,Marin Cilic,F,189,16,53,75,52,25,52,28,,,,,,,65,38,18,60,75,40,24,,23,,,,,,,61,34,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=499&y=2014&r=7&p=C977
Rotterdam,Marin Cilic,Igor Sijsling,Marin Cilic,S,112,15,56,86,50,23,50,30,,,,,,,70,40,7,50,76,41,13,,40,,,,,,,59,29,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=407&y=2014&r=6&p=C977
Rotterdam,Marin Cilic,Andy Murray,Marin Cilic,Q,72,8,62,88,45,14,45,40,,,,,,,72,29,4,57,85,50,11,,0,,,,,,,70,27,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=407&y=2014&r=5&p=C977
US Open Slam,Marin Cilic,Daniel Brands,Marin Cilic,Round of 64,,16,54,86,61,27,61,19,49,38,"
								","
								",185,141,75,39,15,56,73,46,14,,100,41,71,"
                            ","
                            ",204,164,61,25,http://www.tennisinsight.com/match_stats_popup.php?matchID=176114213
Delray Beach,Marin Cilic,Benjamin Becker,Marin Cilic,R32,56,9,59,88,52,40,52,55,,,,,,,73,54,3,63,60,20,12,,50,,,,,,,45,26,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=499&y=2014&r=3&p=C977
Delray Beach,Marin Cilic,Ryan Harrison,Marin Cilic,R16,74,9,52,86,66,27,66,33,,,,,,,77,35,5,58,72,52,13,,0,,,,,,,64,22,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=499&y=2014&r=4&p=C977
Delray Beach,Marin Cilic,Teymuraz Gabashvili,Marin Cilic,Q,80,12,50,80,33,61,33,83,,,,,,,57,58,1,42,38,44,19,,33,,,,,,,42,42,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=499&y=2014&r=5&p=C977
Delray Beach,Marin Cilic,John Isner,Marin Cilic,S,86,12,57,84,62,34,62,14,,,,,,,75,38,9,72,65,50,15,,0,,,,,,,61,25,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=499&y=2014&r=6&p=C977
ATP World Tour Masters 1000 Indian Wells,Marin Cilic,Tommy Robredo,Marin Cilic,R32,83,6,47,70,75,28,75,33,,,,,,,73,41,2,61,71,37,30,,0,,,,,,,58,26,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=3&p=C977
ATP World Tour Masters 1000 Monte Carlo,Marin Cilic,Stan Wawrinka,Stan Wawrinka,R32,46,0,47,70,15,21,15,0,,,,,,,41,17,3,67,78,90,29,,71,,,,,,,82,58,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=3&p=W367
ATP World Tour Masters 1000 Indian Wells,Marin Cilic,Paolo Lorenzi,Marin Cilic,R64,71,6,54,75,65,43,65,38,,,,,,,70,55,2,57,56,27,25,,100,,,,,,,44,29,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=2&p=C977
ATP World Tour Masters 1000 Madrid,Marin Cilic,Ernests Gulbis,Ernests Gulbis,R16,87,9,37,86,45,15,45,0,,,,,,,61,29,11,70,84,36,13,,40,,,,,,,70,38,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=4&p=G858
ATP World Tour Masters 1000 Monte Carlo,Marin Cilic,Marinko Matosevic,Marin Cilic,R64,103,9,57,86,33,54,33,46,,,,,,,64,48,5,57,46,59,13,,75,,,,,,,51,35,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=2&p=C977
ATP World Tour Masters 1000 Miami,Marin Cilic,Edouard Roger-Vasselin,Edouard Roger-Vasselin,R64,97,10,44,82,39,21,39,0,,,,,,,58,20,4,62,78,81,17,,25,,,,,,,79,41,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=2&p=R613
ATP World Tour Masters 1000 Indian Wells,Marin Cilic,Novak Djokovic,Novak Djokovic,R16,105,13,58,78,44,27,44,50,,,,,,,64,34,2,55,72,56,21,,42,,,,,,,65,35,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=4&p=D643
