tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
Australian Open Slam,Juan Martin del Potro,Roberto Bautista Agut,Roberto Bautista Agut,Round of 64,233,28,72,72,50,23,50,24,53,41,13,25,190,151,66,33,12,69,77,45,28,45,63,72,59,20,28,173,147,67,34,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704208
Wimbledon Slam,Juan Martin del Potro,Albert Ramos,Juan Martin del Potro,Round of 128,108,10,73,78,57,32,57,75,34,10,"
								","
								",191,162,72,50,7,58,68,25,22,25,17,29,23,"
                            ","
                            ",170,148,50,28,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604132
US Open Slam,Juan Martin del Potro,Lleyton Hewitt,Lleyton Hewitt,Round of 64,243,11,57,62,56,25,56,55,41,70,21,36,194,152,59,37,10,50,75,51,38,51,44,42,43,32,50,175,143,63,41,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634208
ATP World Tour Masters 1000 Shanghai,Juan Martin Del Potro,Novak Djokovic,Novak Djokovic,F,152,5,72,68,44,21,44,25,,,,,,,61,28,10,67,78,57,32,57,16,,,,,,,71,38,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=7&p=D643
Basel,Juan Martin Del Potro,Henri Laaksonen,Juan Martin Del Potro,R32,80,4,62,81,55,24,55,42,,,,,,,71,38,8,52,75,46,18,46,100,,,,,,,61,28,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=328&y=2013&r=3&p=D683
ATP World Tour Masters 1000 Shanghai,Juan Martin Del Potro,Rafael Nadal,Juan Martin Del Potro,S,106,5,80,65,69,44,69,27,,,,,,,66,43,0,70,55,60,34,60,0,,,,,,,56,33,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=6&p=D683
ATP World Tour Masters 1000 Shanghai,Juan Martin Del Potro,Nicolas Almagro,Juan Martin Del Potro,Q,71,9,66,84,58,23,58,37,,,,,,,76,40,12,64,76,28,15,28,0,,,,,,,59,24,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=5&p=D683
US Open Slam,Juan Martin del Potro,Guillermo Garcia-Lopez,Juan Martin del Potro,Round of 128,253,13,62,81,66,31,66,31,52,49,26,29,191,149,75,41,13,48,69,51,19,51,25,42,48,22,32,186,138,59,25,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634116
Dubai,Juan Martin Del Potro,Somdev Devvarman,Somdev Devvarman,R32,67,4,57,70,61,36,61,25,,,,,,,66,34,5,44,63,66,29,66,20,,,,,,,65,33,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=495&y=2014&r=3&p=D616
Wimbledon Slam,Juan Martin del Potro,Novak Djokovic,Novak Djokovic,Semi Final,283,4,60,72,55,17,55,29,48,37,"
                            ","
                            ",193,157,65,31,22,69,83,39,28,39,20,80,48,"
								","
								",189,154,69,35,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604601
