tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
Australian Open Slam,Grigor Dimitrov,Rafael Nadal,Rafael Nadal,Quarter Final,217,16,58,71,49,27,49,50,54,61,28,41,189,152,62,29,3,73,73,67,29,51,36,42,47,32,36,168,140,71,38,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704501
US Open Slam,Grigor Dimitrov,Joao Sousa,Joao Sousa,Round of 128,171,13,58,66,47,26,47,43,13,7,"
                            ","
                            ",,,58,38,5,58,74,45,34,53,73,5,2,"
								","
								",,,62,42,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634104
ATP World Tour Masters 1000 Rome,Grigor Dimitrov,Rafael Nadal,Rafael Nadal,S,83,2,63,58,23,34,23,0,,,,,,,45,32,1,80,65,72,41,,57,,,,,,,67,54,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=6&p=N409
ATP World Tour Masters 1000 Miami,Grigor Dimitrov,Kei Nishikori,Kei Nishikori,R32,102,11,60,73,53,13,53,0,,,,,,,65,27,9,59,86,53,26,,50,,,,,,,72,34,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=3&p=N552
ATP World Tour Masters 1000 Indian Wells,Grigor Dimitrov,Ernests Gulbis,Ernests Gulbis,R32,115,5,66,66,48,24,48,50,,,,,,,60,32,10,63,75,51,33,,42,,,,,,,67,39,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=3&p=G858
ATP World Tour Masters 1000 Miami,Grigor Dimitrov,Albert Montanes,Grigor Dimitrov,R64,100,12,58,95,58,28,58,37,,,,,,,80,35,3,62,71,51,4,,0,,,,,,,64,19,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=2&p=D875
ATP World Tour Masters 1000 Monte Carlo,Grigor Dimitrov,Marcel Granollers,Grigor Dimitrov,R64,122,5,63,72,64,31,64,50,,,,,,,69,46,1,59,68,30,27,,100,,,,,,,53,30,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=2&p=D875
ATP World Tour Masters 1000 Monte Carlo,Grigor Dimitrov,David Ferrer,David Ferrer,R16,96,1,50,60,42,41,42,50,,,,,,,51,39,0,62,58,63,40,,38,,,,,,,60,48,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=4&p=F401
ATP World Tour Masters 1000 Monte Carlo,Grigor Dimitrov,Albert Ramos,Grigor Dimitrov,R32,121,8,63,87,60,33,60,40,,,,,,,77,34,3,63,66,63,12,,100,,,,,,,65,22,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=3&p=D875
Bucharest,Grigor Dimitrov,Jiri Vesely,Grigor Dimitrov,R16,83,9,75,75,73,33,73,25,,,,,,,75,32,5,67,66,68,24,,0,,,,,,,67,25,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=773&y=2014&r=4&p=D875
