matchId,tournament,player1,player2,winner,t_round,duration,p1Aces,p1DoubleFaults,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p2Aces,p2DoubleFaults,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,urlVisited
,ATP World Tour Masters 1000 Shanghai,Roger Federer,Andreas Seppi,Roger Federer,R32,74,7,2,59,75,51,38,51,60,,,,,,,0,3,61,61,52,25,52,20,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=3&p=F324
,Barclays ATP World Tour Finals,Roger Federer,Andy Murray,Roger Federer,S,94,2,0,54,84,62,19,62,100,,,,,,,5,1,46,80,42,15,42,50,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=605&y=2012&r=6&p=F324
,Barclays ATP World Tour Finals,Novak Djokovic,Roger Federer,Novak Djokovic,F,135,6,2,69,63,46,38,46,57,,,,,,,8,2,61,61,52,36,52,42,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=605&y=2012&r=7&p=D643
,Rotterdam,Roger Federer,Grega Zemlja,Roger Federer,R32,58,3,1,63,76,70,43,70,57,,,,,,,2,2,51,56,45,23,45,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=407&y=2013&r=3&p=F324
,Rotterdam,Roger Federer,Thiemo de Bakker,Roger Federer,R16,63,4,3,56,91,50,31,50,28,,,,,,,3,0,60,68,57,8,57,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=407&y=2013&r=4&p=F324
,Rotterdam,Julien Benneteau,Roger Federer,Julien Benneteau,Q,81,6,2,64,70,50,33,50,62,,,,,,,7,4,56,66,33,29,33,40,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=407&y=2013&r=5&p=B747
,Dubai,Roger Federer,Malek Jaziri,Roger Federer,R32,90,10,3,54,83,66,38,66,45,,,,,,,2,2,48,61,47,16,47,50,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=495&y=2013&r=3&p=F324
,Dubai,Roger Federer,Marcel Granollers,Roger Federer,R16,71,2,1,60,84,52,20,52,33,,,,,,,3,3,56,80,43,15,43,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=495&y=2013&r=4&p=F324
,Dubai,Roger Federer,Nikolay Davydenko,Roger Federer,Q,54,5,0,76,84,70,41,70,57,,,,,,,0,1,78,58,36,15,36,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=495&y=2013&r=5&p=F324
,Dubai,Tomas Berdych,Roger Federer,Tomas Berdych,S,139,8,2,58,73,59,27,59,18,,,,,,,13,5,58,72,53,26,53,22,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=495&y=2013&r=6&p=BA47
