tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
Kuala Lumpur,David Ferrer,Joao Sousa,Joao Sousa,Q,99,1,53,70,55,20,55,16,,,,,,,63,34,1,58,79,45,29,45,100,,,,,,,65,36,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6003&y=2013&r=5&p=SH90
ATP World Tour Masters 1000 Miami,David Ferrer,Kei Nishikori,David Ferrer,R16,82,1,59,84,45,43,45,44,,,,,,,68,46,1,62,56,47,15,47,100,,,,,,,53,31,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2013&r=4&p=F401
ATP World Tour Masters 1000 Miami,David Ferrer,Jurgen Melzer,David Ferrer,Q,115,0,61,62,46,36,46,36,,,,,,,56,51,0,52,63,30,37,30,66,,,,,,,48,43,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2013&r=5&p=F401
ATP World Tour Masters 1000 Miami,David Ferrer,Tommy Haas,David Ferrer,S,122,7,45,65,55,37,55,60,,,,,,,60,46,1,44,62,46,34,46,44,,,,,,,53,39,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2013&r=6&p=F401
ATP World Tour Masters 1000 Miami,David Ferrer,Andy Murray,Andy Murray,F,165,4,56,61,32,38,32,57,,,,,,,48,49,2,54,61,38,38,38,46,,,,,,,50,51,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2013&r=7&p=MC10
Barcelona,David Ferrer,Dmitry Tursunov,Dmitry Tursunov,R32,117,0,56,59,37,22,37,41,,,,,,,50,44,5,52,77,31,40,31,77,,,,,,,55,50,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2013&r=3&p=T315
Oeiras,David Ferrer,Edouard Roger-Vasselin,David Ferrer,R16,110,2,64,73,53,33,53,44,,,,,,,66,37,2,74,66,50,26,50,37,,,,,,,62,33,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=468&y=2013&r=4&p=F401
Oeiras,David Ferrer,Victor Hanescu,David Ferrer,Q,99,1,67,69,56,39,56,75,,,,,,,64,40,0,76,60,56,30,56,50,,,,,,,59,35,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=468&y=2013&r=5&p=F401
Oeiras,David Ferrer,Andreas Seppi,David Ferrer,S,70,4,63,72,57,50,57,50,,,,,,,67,49,2,62,50,52,27,52,100,,,,,,,50,32,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=468&y=2013&r=6&p=F401
Oeiras,David Ferrer,Stan Wawrinka,Stan Wawrinka,F,64,3,61,67,42,11,42,0,,,,,,,58,14,2,64,88,80,32,80,30,,,,,,,85,41,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=468&y=2013&r=7&p=W367
ATP World Tour Masters 1000 Madrid,David Ferrer,Denis Istomin,David Ferrer,R32,79,4,69,88,62,33,62,33,,,,,,,80,41,5,69,66,40,11,40,0,,,,,,,58,19,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2013&r=3&p=F401
ATP World Tour Masters 1000 Madrid,David Ferrer,Tommy Haas,David Ferrer,R16,130,7,72,72,68,29,68,33,,,,,,,71,36,2,58,70,54,27,54,50,,,,,,,64,28,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2013&r=4&p=F401
ATP World Tour Masters 1000 Madrid,David Ferrer,Rafael Nadal,Rafael Nadal,Q,157,0,48,56,40,35,40,45,,,,,,,47,44,2,71,64,32,43,32,53,,,,,,,55,52,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2013&r=5&p=N409
ATP World Tour Masters 1000 Rome,David Ferrer,Fernando Verdasco,David Ferrer,R32,147,5,51,71,53,31,53,36,,,,,,,62,38,4,60,68,52,28,52,37,,,,,,,62,37,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2013&r=3&p=F401
ATP World Tour Masters 1000 Rome,David Ferrer,Philipp Kohlschreiber,David Ferrer,R16,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,0,0,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2013&r=4&p=F401
ATP World Tour Masters 1000 Rome,David Ferrer,Rafael Nadal,Rafael Nadal,Q,166,1,66,59,47,33,47,18,,,,,,,55,43,1,69,66,34,40,34,50,,,,,,,56,45,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2013&r=5&p=N409
s-Hertogenbosch,David Ferrer,Xavier Malisse,Xavier Malisse,R32,89,5,60,78,48,18,48,0,,,,,,,66,29,10,57,81,54,21,54,25,,,,,,,70,33,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=440&y=2013&r=3&p=M680
ATP World Tour Masters 1000 Canada,David Ferrer,Alex Bogomolov Jr.,Alex Bogomolov Jr.,R32,85,0,60,62,52,28,52,0,,,,,,,58,32,2,75,71,56,37,56,37,,,,,,,67,41,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=421&y=2013&r=3&p=B842
ATP World Tour Masters 1000 Cincinnati,David Ferrer,Ryan Harrison,David Ferrer,R32,162,2,64,64,60,28,60,15,,,,,,,62,41,5,54,71,43,35,43,30,,,,,,,58,37,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=422&y=2013&r=3&p=F401
ATP World Tour Masters 1000 Cincinnati,David Ferrer,Dmitry Tursunov,Dmitry Tursunov,R16,76,4,53,61,48,21,48,0,,,,,,,55,29,6,61,78,57,38,57,50,,,,,,,70,44,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=422&y=2013&r=4&p=T315
Kuala Lumpur,David Ferrer,Matteo Viola,David Ferrer,R16,73,0,60,77,44,42,44,46,,,,,,,64,56,0,62,57,20,22,20,33,,,,,,,43,35,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6003&y=2013&r=4&p=F401
Beijing,David Ferrer,Vasek Pospisil,David Ferrer,R32,130,2,61,66,63,25,63,100,,,,,,,65,31,7,61,74,58,33,58,50,,,,,,,68,34,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=747&y=2013&r=3&p=F401
Beijing,David Ferrer,Marinko Matosevic,David Ferrer,R16,119,3,56,72,51,42,51,54,,,,,,,63,52,2,54,57,35,27,35,37,,,,,,,47,36,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=747&y=2013&r=4&p=F401
Beijing,David Ferrer,Richard Gasquet,Richard Gasquet,Q,83,0,68,67,38,21,38,50,,,,,,,58,33,4,51,78,53,32,53,50,,,,,,,66,41,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=747&y=2013&r=5&p=G628
ATP World Tour Masters 1000 Shanghai,David Ferrer,Lukas Rosol,David Ferrer,R32,72,5,80,72,41,33,41,60,,,,,,,66,46,0,66,66,28,27,28,33,,,,,,,53,33,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=3&p=F401
ATP World Tour Masters 1000 Shanghai,David Ferrer,Florian Mayer,Florian Mayer,R16,80,1,66,65,47,30,47,25,,,,,,,59,33,6,66,70,60,34,60,50,,,,,,,66,40,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=4&p=MB02
Stockholm,David Ferrer,Jack Sock,David Ferrer,R16,97,4,73,74,50,27,50,55,,,,,,,68,41,5,54,72,41,25,41,28,,,,,,,58,32,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=429&y=2013&r=4&p=F401
Stockholm,David Ferrer,Fernando Verdasco,David Ferrer,Q,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,0,0,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=429&y=2013&r=5&p=F401
Stockholm,David Ferrer,Ernests Gulbis,David Ferrer,S,121,1,59,61,72,37,72,31,,,,,,,66,46,8,56,62,41,38,41,42,,,,,,,53,33,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=429&y=2013&r=6&p=F401
Stockholm,David Ferrer,Grigor Dimitrov,Grigor Dimitrov,F,130,1,70,64,51,34,51,25,,,,,,,60,40,3,61,65,50,35,50,27,,,,,,,59,39,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=429&y=2013&r=7&p=D875
Valencia,David Ferrer,Gael Monfils,David Ferrer,R32,62,4,61,82,61,37,61,80,,,,,,,74,51,2,53,62,33,17,33,33,,,,,,,48,25,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=573&y=2013&r=3&p=F401
Valencia,David Ferrer,Julien Benneteau,David Ferrer,R16,70,4,60,83,55,29,55,80,,,,,,,72,50,2,52,70,25,16,25,0,,,,,,,49,28,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=573&y=2013&r=4&p=F401
Valencia,David Ferrer,Jerzy Janowicz,David Ferrer,Q,100,3,59,81,76,33,76,66,,,,,,,79,37,10,56,66,56,18,56,33,,,,,,,62,20,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=573&y=2013&r=5&p=F401
French Open Slam,David Ferrer,Marinko Matosevic,David Ferrer,Round of 128,112,3,55,69,45,43,45,73,22,22,"
								","
								",179,148,58,55,1,59,57,29,31,29,63,20,42,"
                            ","
                            ",185,138,45,42,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224148
French Open Slam,David Ferrer,Albert Montanes,David Ferrer,Round of 64,101,3,60,72,52,52,52,53,29,21,"
								","
								",180,145,64,57,3,67,48,31,28,31,67,28,36,"
                            ","
                            ",163,140,43,36,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224224
French Open Slam,David Ferrer,Feliciano Lopez,David Ferrer,Round of 32,125,1,66,72,57,44,57,37,35,30,"
								","
								",177,151,67,51,5,63,56,37,28,37,60,21,41,"
                            ","
                            ",187,150,49,33,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224312
French Open Slam,David Ferrer,Kevin Anderson,David Ferrer,Round of 16,105,1,52,76,71,44,71,35,28,11,"
								","
								",179,148,73,52,5,71,56,28,24,28,0,25,41,"
                            ","
                            ",186,164,48,27,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224406
French Open Slam,David Ferrer,Tommy Robredo,David Ferrer,Quarter Final,85,1,47,86,67,45,67,58,26,18,"
								","
								",180,144,76,54,2,59,55,32,14,32,0,9,28,"
                            ","
                            ",177,137,46,24,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224503
French Open Slam,David Ferrer,Jo-Wilfried Tsonga,David Ferrer,Semi Final,124,3,60,66,66,38,66,35,24,21,"
								","
								",181,153,66,48,6,58,62,40,34,40,40,31,56,"
                            ","
                            ",178,139,52,34,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224602
French Open Slam,David Ferrer,Rafael Nadal,Rafael Nadal,Final,136,1,62,58,25,30,25,25,22,35,"
                            ","
                            ",177,150,46,38,5,70,70,42,42,42,50,35,25,"
								","
								",177,142,62,54,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224701
Wimbledon Slam,David Ferrer,Martin Alund,David Ferrer,Round of 128,129,7,68,84,47,35,47,50,31,22,"
								","
								",183,157,72,40,8,74,65,45,16,45,67,28,23,"
                            ","
                            ",181,151,60,28,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604117
