tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
Australian Open Slam,Richard Gasquet,Tommy Robredo,Tommy Robredo,Round of 32,199,4,62,72,53,22,53,33,62,34,44,57,176,148,64,35,16,65,78,43,28,47,43,51,38,18,25,185,148,65,36,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704314
US Open Slam,Richard Gasquet,Milos Raonic,Richard Gasquet,Round of 16,280,6,59,68,54,25,54,24,45,36,31,44,177,146,62,35,39,56,75,52,33,,27,102,80,47,69,204,157,65,38,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634405
Wimbledon Slam,Richard Gasquet,Bernard Tomic,Bernard Tomic,Round of 32,166,15,69,86,61,25,61,13,73,25,"
                            ","
                            ",178,154,78,30,19,81,75,47,14,39,14,60,23,"
								","
								",178,140,70,22,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604303
US Open Slam,Richard Gasquet,David Ferrer,Richard Gasquet,Quarter Final,203,6,59,68,53,38,53,43,52,49,30,45,177,141,62,40,5,63,62,58,32,,27,40,45,38,53,175,146,60,38,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634503
ATP World Tour Masters 1000 Miami,Richard Gasquet,Roger Federer,Roger Federer,R16,49,0,60,53,35,12,35,0,,,,,,,46,21,6,67,88,58,46,,83,,,,,,,78,53,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=4&p=F324
US Open Slam,Richard Gasquet,Michael Russell,Richard Gasquet,Round of 128,124,7,63,79,48,36,48,31,40,18,18,25,181,148,68,45,6,59,64,41,21,,33,32,41,30,40,180,141,55,32,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634133
US Open Slam,Richard Gasquet,Dmitry Tursunov,Richard Gasquet,Round of 32,148,14,64,71,64,27,64,36,34,21,14,25,178,143,68,41,25,53,73,43,29,,43,46,47,12,21,201,146,59,32,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634309
ATP World Tour Masters 1000 Canada,Richard Gasquet,Martin Klizan,Richard Gasquet,R32,85,5,62,76,56,40,56,25,,,,,,,69,44,3,58,59,50,23,,0,,,,,,,55,30,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=421&y=2013&r=3&p=G628
ATP World Tour Masters 1000 Madrid,Richard Gasquet,Daniel Gimeno-Traver,Daniel Gimeno-Traver,R32,140,1,65,58,51,29,51,50,,,,,,,55,40,5,62,70,41,41,,33,,,,,,,59,44,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2013&r=3&p=G676
US Open Slam,Richard Gasquet,Stephane Robert,Richard Gasquet,Round of 64,132,8,58,75,46,30,46,50,29,27,14,23,178,146,63,43,8,53,70,43,25,,30,39,37,20,29,181,140,57,37,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634217
Australian Open Slam,Richard Gasquet,Albert Montanes,Richard Gasquet,Round of 128,96,13,60,88,63,38,63,60,45,26,"
								","
								",169,138,78,47,6,64,62,38,12,,100,23,31,"
                            ","
                            ",169,136,53,22,http://www.tennisinsight.com/match_stats_popup.php?matchID=177954156
Basel,Richard Gasquet,Juan Martin Del Potro,Juan Martin Del Potro,S,68,3,48,43,45,26,45,50,,,,,,,44,32,8,69,73,53,56,,62,,,,,,,67,55,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=328&y=2012&r=6&p=D683
Basel,Richard Gasquet,Marco Chiudinelli,Richard Gasquet,R16,66,8,69,96,61,38,61,60,,,,,,,85,40,0,47,61,56,3,,0,,,,,,,59,14,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=328&y=2012&r=4&p=G628
Basel,Richard Gasquet,Robin Haase,Richard Gasquet,R32,104,10,69,78,56,19,56,60,,,,,,,71,36,13,58,80,39,21,,25,,,,,,,63,28,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=328&y=2012&r=3&p=G628
Australian Open Slam,Richard Gasquet,Nikolay Davydenko,Richard Gasquet,Round of 64,140,9,58,71,50,41,50,55,33,37,10,15,177,149,62,45,6,77,59,44,29,,80,39,43,9,12,163,143,55,38,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704228
Australian Open Slam,Richard Gasquet,Alejandro Falla,Richard Gasquet,Round of 64,100,13,58,80,62,41,62,46,41,13,"
								","
								",187,149,72,51,7,70,59,24,20,,50,25,36,"
                            ","
                            ",179,130,49,28,http://www.tennisinsight.com/match_stats_popup.php?matchID=177954228
Australian Open Slam,Richard Gasquet,Ivan Dodig,Richard Gasquet,Round of 32,145,10,56,87,49,33,49,38,48,28,"
								","
								",181,151,71,42,9,54,67,47,13,,40,39,47,"
                            ","
                            ",180,145,58,29,http://www.tennisinsight.com/match_stats_popup.php?matchID=177954314
ATP World Tour Masters 1000 Paris,Richard Gasquet,Kevin Anderson,Kevin Anderson,R32,137,4,54,72,60,10,60,14,,,,,,,66,25,13,55,89,56,27,,40,,,,,,,75,33,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2012&r=3&p=A678
Doha,Richard Gasquet,Jan Hernych,Richard Gasquet,R32,76,6,53,71,60,28,60,75,,,,,,,66,40,2,59,71,40,28,,25,,,,,,,59,33,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=451&y=2013&r=3&p=G628
Australian Open Slam,Richard Gasquet,Jo-Wilfried Tsonga,Jo-Wilfried Tsonga,Round of 16,140,7,58,78,49,19,49,14,32,31,"
                            ","
                            ",181,147,66,30,9,55,81,56,22,51,44,37,36,"
								","
								",197,147,70,34,http://www.tennisinsight.com/match_stats_popup.php?matchID=177954407
Doha,Richard Gasquet,Grega Zemlja,Richard Gasquet,R16,164,14,54,76,58,22,58,33,,,,,,,68,34,17,66,77,40,23,,12,,,,,,,65,31,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=451&y=2013&r=4&p=G628
Basel,Richard Gasquet,Mikhail Youzhny,Richard Gasquet,Q,105,6,67,70,66,22,66,30,,,,,,,69,40,7,53,77,40,29,,100,,,,,,,60,30,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=328&y=2012&r=5&p=G628
Australian Open Slam,Richard Gasquet,David Guez,Richard Gasquet,Round of 128,113,12,67,74,50,47,50,70,32,20,8,11,171,143,66,50,3,64,53,44,26,,43,20,39,5,14,165,131,50,34,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704156
Montpellier,Richard Gasquet,Gael Monfils,Richard Gasquet,R16,106,5,51,70,56,29,56,36,,,,,,,63,41,6,63,70,35,29,,30,,,,,,,58,36,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=375&y=2013&r=4&p=G628
Doha,Richard Gasquet,Nikolay Davydenko,Richard Gasquet,F,150,5,60,66,55,39,55,30,,,,,,,62,42,2,72,60,48,33,,42,,,,,,,57,37,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=451&y=2013&r=7&p=G628
Doha,Richard Gasquet,Daniel Brands,Richard Gasquet,S,98,7,61,84,59,28,59,33,,,,,,,74,36,10,75,71,36,15,,0,,,,,,,63,25,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=451&y=2013&r=6&p=G628
Doha,Richard Gasquet,Lukas Lacko,Richard Gasquet,Q,71,8,64,72,50,43,50,50,,,,,,,64,55,2,55,56,30,27,,25,,,,,,,44,35,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=451&y=2013&r=5&p=G628
Rotterdam,Richard Gasquet,Viktor Troicki,Richard Gasquet,R32,83,2,61,70,71,34,71,44,,,,,,,70,47,11,56,65,35,29,,100,,,,,,,52,29,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=407&y=2013&r=3&p=G628
US Open Slam,Richard Gasquet,Rafael Nadal,Rafael Nadal,Semi Final,141,6,64,71,45,24,45,17,26,32,24,35,178,141,62,29,3,71,76,57,29,55,100,35,24,22,28,177,138,71,38,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634602
French Open Slam,Richard Gasquet,Michal Przysiezny,Richard Gasquet,Round of 64,88,9,59,84,54,48,54,62,39,15,"
								","
								",183,150,72,57,3,64,52,28,16,,67,14,34,"
                            ","
                            ",187,148,43,28,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224216
French Open Slam,Richard Gasquet,Sergiy Stakhovsky,Richard Gasquet,Round of 128,91,3,67,77,70,46,70,60,26,13,"
								","
								",178,154,74,48,1,55,54,50,23,,25,16,30,"
                            ","
                            ",180,151,52,26,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224132
