matchId,tournament,player1,player2,winner,t_round,duration,p1Aces,p1DoubleFaults,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p2Aces,p2DoubleFaults,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,urlVisited
,s-Hertogenbosch,Evgeny Donskoy,John Isner,Evgeny Donskoy,R32,92,8,3,64,83,66,17,66,100,,,,,,,18,1,69,82,52,16,52,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=440&y=2013&r=3&p=D864
,ATP World Tour Masters 1000 Shanghai,John Isner,Kevin Anderson,John Isner,R32,166,24,3,77,85,57,14,57,0,,,,,,,21,2,70,85,55,14,55,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2012&r=3&p=I186
,ATP World Tour Masters 1000 Shanghai,Radek Stepanek,John Isner,Radek Stepanek,R16,147,4,2,64,77,72,29,72,25,,,,,,,17,2,68,70,59,22,59,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2012&r=4&p=S694
,Valencia,John Isner,Fabio Fognini,John Isner,R32,136,11,3,73,84,52,29,52,23,,,,,,,12,6,55,70,51,15,51,33,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=573&y=2012&r=3&p=I186
,Valencia,David Goffin,John Isner,David Goffin,R16,132,9,3,67,76,58,26,58,25,,,,,,,21,2,73,73,53,23,53,100,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=573&y=2012&r=4&p=GB88
,ATP World Tour Masters 1000 Paris,Michael Llodra,John Isner,Michael Llodra,R32,79,7,0,69,83,63,24,63,20,,,,,,,15,1,63,75,50,16,50,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2012&r=3&p=L428
,Sydney,Ryan Harrison,John Isner,Ryan Harrison,R16,75,3,2,59,78,68,25,68,40,,,,,,,10,1,68,75,44,21,44,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=338&y=2013&r=4&p=H940
,San Jose,John Isner,Vasek Pospisil,John Isner,R16,108,14,3,77,77,55,16,55,28,,,,,,,11,3,51,83,54,22,54,50,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=424&y=2013&r=4&p=I186
,San Jose,John Isner,Xavier Malisse,John Isner,Q,69,10,0,67,90,50,23,50,40,,,,,,,7,2,70,76,55,9,55,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=424&y=2013&r=5&p=I186
,San Jose,Tommy Haas,John Isner,Tommy Haas,S,61,8,2,74,86,61,30,61,66,,,,,,,9,0,58,70,57,13,57,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=424&y=2013&r=6&p=H355
,Memphis,Denis Istomin,John Isner,Denis Istomin,R32,60,4,0,62,92,75,23,75,42,,,,,,,8,6,65,76,30,7,30,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=402&y=2013&r=3&p=I165
,Delray Beach,John Isner,Jesse Levine,John Isner,R32,139,28,5,61,75,53,15,53,25,,,,,,,10,5,51,84,52,24,52,28,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=499&y=2013&r=3&p=I186
,Delray Beach,John Isner,Go Soeda,John Isner,R16,76,15,0,66,91,72,26,72,66,,,,,,,0,2,49,73,54,8,54,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=499&y=2013&r=4&p=I186
,Delray Beach,John Isner,Kevin Anderson,John Isner,Q,79,17,1,67,85,57,34,57,28,,,,,,,6,4,71,65,47,15,47,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=499&y=2013&r=5&p=I186
,Delray Beach,Edouard Roger-Vasselin,John Isner,Edouard Roger-Vasselin,S,129,4,3,61,68,63,34,63,21,,,,,,,21,1,63,65,48,31,48,28,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=499&y=2013&r=6&p=R613
,ATP World Tour Masters 1000 Indian Wells,Lleyton Hewitt,John Isner,Lleyton Hewitt,R64,143,3,4,52,71,66,27,66,22,,,,,,,18,1,59,72,59,28,59,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2013&r=2&p=H432
,ATP World Tour Masters 1000 Miami,John Isner,Ivan Dodig,John Isner,R64,129,24,0,70,82,42,27,42,40,,,,,,,9,7,51,72,58,17,58,57,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2013&r=2&p=I186
