matchId,tournament,player1,player2,winner,t_round,duration,p1Aces,p1DoubleFaults,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p2Aces,p2DoubleFaults,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,urlVisited
,ATP World Tour Masters 1000 Canada,Andy Murray,Marcel Granollers,Andy Murray,R32,111,1,6,78,67,50,38,50,60,,,,,,,2,5,53,61,52,32,52,50,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=421&y=2013&r=3&p=MC10
,Tokyo,Andy Murray,Ivo Karlovic,Andy Murray,R32,98,9,0,55,87,80,21,80,16,,,,,,,18,2,64,78,53,12,53,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=329&y=2012&r=3&p=MC10
,Tokyo,Andy Murray,Lukas Lacko,Andy Murray,R16,57,6,3,57,76,68,55,68,100,,,,,,,0,0,62,45,25,23,25,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=329&y=2012&r=4&p=MC10
,Tokyo,Andy Murray,Stan Wawrinka,Andy Murray,Q,121,7,3,56,80,50,30,50,36,,,,,,,5,1,48,69,50,20,50,14,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=329&y=2012&r=5&p=MC10
,Tokyo,Milos Raonic,Andy Murray,Milos Raonic,S,166,13,7,64,81,46,25,46,42,,,,,,,8,3,67,74,50,18,50,16,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=329&y=2012&r=6&p=R975
,ATP World Tour Masters 1000 Shanghai,Andy Murray,Florian Mayer,Andy Murray,R32,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2012&r=3&p=MC10
,ATP World Tour Masters 1000 Shanghai,Andy Murray,Alexandr Dolgopolov,Andy Murray,R16,58,7,0,72,82,54,40,54,83,,,,,,,2,4,52,60,39,17,39,100,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2012&r=4&p=MC10
,ATP World Tour Masters 1000 Shanghai,Andy Murray,Radek Stepanek,Andy Murray,Q,139,5,4,54,75,60,31,60,44,,,,,,,3,5,59,68,43,24,43,25,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2012&r=5&p=MC10
,ATP World Tour Masters 1000 Shanghai,Andy Murray,Roger Federer,Andy Murray,S,98,5,3,52,86,44,34,44,27,,,,,,,4,5,58,65,36,13,36,100,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2012&r=6&p=MC10
,ATP World Tour Masters 1000 Shanghai,Novak Djokovic,Andy Murray,Novak Djokovic,F,201,3,4,59,69,47,35,47,46,,,,,,,4,3,55,64,45,30,45,83,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2012&r=7&p=D643
