matchId,tournament,player1,player2,winner,t_round,duration,p1Aces,p1DoubleFaults,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p2Aces,p2DoubleFaults,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,urlVisited
,ATP World Tour Masters 1000 Paris,Rafael Nadal,Richard Gasquet,Rafael Nadal,Q,67,5,0,58,73,68,31,68,83,,,,,,,5,2,59,68,20,26,20,100,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2013&r=5&p=N409
,Barcelona,Rafael Nadal,Albert Ramos,Rafael Nadal,Q,66,1,0,67,83,46,53,46,80,,,,,,,0,1,41,46,47,16,47,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2013&r=5&p=N409
,Barcelona,Rafael Nadal,Milos Raonic,Rafael Nadal,S,72,4,1,73,70,63,42,63,45,,,,,,,6,0,66,57,26,29,26,100,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2013&r=6&p=N409
,Barcelona,Rafael Nadal,Nicolas Almagro,Rafael Nadal,F,92,1,0,70,70,50,38,50,44,,,,,,,2,2,60,61,45,29,45,40,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2013&r=7&p=N409
,ATP World Tour Masters 1000 Madrid,Rafael Nadal,Benoit Paire,Rafael Nadal,R32,87,3,0,79,74,75,23,75,28,,,,,,,6,3,49,76,45,25,45,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2013&r=3&p=N409
,ATP World Tour Masters 1000 Madrid,Rafael Nadal,Mikhail Youzhny,Rafael Nadal,R16,75,0,0,75,75,54,42,54,50,,,,,,,1,1,70,57,33,24,33,33,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2013&r=4&p=N409
,ATP World Tour Masters 1000 Madrid,Rafael Nadal,David Ferrer,Rafael Nadal,Q,157,2,2,71,64,32,43,32,53,,,,,,,0,5,48,56,40,35,40,45,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2013&r=5&p=N409
,ATP World Tour Masters 1000 Madrid,Rafael Nadal,Pablo Andujar,Rafael Nadal,S,77,2,2,60,78,72,40,72,57,,,,,,,0,3,65,59,35,21,35,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2013&r=6&p=N409
,ATP World Tour Masters 1000 Madrid,Rafael Nadal,Stan Wawrinka,Rafael Nadal,F,72,3,1,65,89,73,33,73,27,,,,,,,5,4,61,66,47,10,47,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2013&r=7&p=N409
,ATP World Tour Masters 1000 Rome,Rafael Nadal,Fabio Fognini,Rafael Nadal,R32,61,0,0,79,76,66,54,66,45,,,,,,,0,0,71,45,38,23,38,33,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2013&r=3&p=N409
,ATP World Tour Masters 1000 Rome,Rafael Nadal,Ernests Gulbis,Rafael Nadal,R16,158,0,1,76,62,45,28,45,36,,,,,,,15,3,60,71,41,37,41,44,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2013&r=4&p=N409
,ATP World Tour Masters 1000 Rome,Rafael Nadal,David Ferrer,Rafael Nadal,Q,166,1,2,69,66,34,40,34,50,,,,,,,1,3,66,59,47,33,47,18,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2013&r=5&p=N409
,ATP World Tour Masters 1000 Rome,Rafael Nadal,Tomas Berdych,Rafael Nadal,S,78,0,0,77,77,100,40,100,75,,,,,,,5,0,62,60,55,22,55,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2013&r=6&p=N409
,ATP World Tour Masters 1000 Rome,Rafael Nadal,Roger Federer,Rafael Nadal,F,69,1,1,73,70,72,43,72,83,,,,,,,3,0,56,56,30,29,30,50,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2013&r=7&p=N409
,ATP World Tour Masters 1000 Canada,Rafael Nadal,Jesse Levine,Rafael Nadal,R32,72,3,1,61,75,61,48,61,50,,,,,,,2,9,50,51,35,24,35,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=421&y=2013&r=3&p=N409
,ATP World Tour Masters 1000 Canada,Rafael Nadal,Jerzy Janowicz,Rafael Nadal,R16,110,6,1,70,66,63,33,63,42,,,,,,,6,9,48,66,50,33,50,50,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=421&y=2013&r=4&p=N409
,ATP World Tour Masters 1000 Canada,Rafael Nadal,Marinko Matosevic,Rafael Nadal,Q,79,2,3,70,82,60,30,60,42,,,,,,,5,3,61,69,45,17,45,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=421&y=2013&r=5&p=N409
,ATP World Tour Masters 1000 Canada,Rafael Nadal,Novak Djokovic,Rafael Nadal,S,149,7,1,70,71,57,28,57,40,,,,,,,8,7,64,71,54,28,54,33,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=421&y=2013&r=6&p=N409
,ATP World Tour Masters 1000 Canada,Rafael Nadal,Milos Raonic,Rafael Nadal,F,68,4,0,70,78,91,39,91,100,,,,,,,4,3,50,60,43,21,43,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=421&y=2013&r=7&p=N409
,ATP World Tour Masters 1000 Cincinnati,Rafael Nadal,Benjamin Becker,Rafael Nadal,R32,78,3,1,52,95,60,33,60,33,,,,,,,2,2,52,66,34,4,34,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=422&y=2013&r=3&p=N409
,ATP World Tour Masters 1000 Cincinnati,Rafael Nadal,Grigor Dimitrov,Rafael Nadal,R16,122,4,2,73,70,47,29,47,50,,,,,,,12,4,65,70,41,29,41,40,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=422&y=2013&r=4&p=N409
,ATP World Tour Masters 1000 Cincinnati,Rafael Nadal,Roger Federer,Rafael Nadal,Q,134,3,1,73,73,60,32,60,22,,,,,,,4,0,63,67,62,26,62,50,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=422&y=2013&r=5&p=N409
,ATP World Tour Masters 1000 Cincinnati,Rafael Nadal,Tomas Berdych,Rafael Nadal,S,126,7,6,71,75,60,17,60,50,,,,,,,6,4,52,82,38,24,38,16,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=422&y=2013&r=6&p=N409
,ATP World Tour Masters 1000 Cincinnati,Rafael Nadal,John Isner,Rafael Nadal,F,115,6,2,72,83,71,25,71,0,,,,,,,11,1,76,74,68,16,68,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=422&y=2013&r=7&p=N409
,Beijing,Rafael Nadal,Santiago Giraldo,Rafael Nadal,R32,89,5,2,55,63,58,38,58,83,,,,,,,1,3,50,61,34,36,34,50,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=747&y=2013&r=3&p=N409
,Beijing,Rafael Nadal,Philipp Kohlschreiber,Rafael Nadal,R16,115,3,2,60,67,60,26,60,60,,,,,,,2,1,50,73,47,32,47,33,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=747&y=2013&r=4&p=N409
