matchId,tournament,player1,player2,winner,t_round,duration,p1Aces,p1DoubleFaults,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p2Aces,p2DoubleFaults,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,urlVisited
,Tokyo,Kei Nishikori,Jurgen Melzer,Kei Nishikori,R32,128,11,5,64,76,45,32,45,75,,,,,,,4,2,69,67,39,23,39,37,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=329&y=2013&r=3&p=N552
,Tokyo,Kei Nishikori,Tommy Robredo,Kei Nishikori,R16,116,4,1,65,78,56,32,56,30,,,,,,,5,6,52,67,34,21,34,40,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=329&y=2012&r=4&p=N552
,Tokyo,Kei Nishikori,Tomas Berdych,Kei Nishikori,Q,118,1,1,59,72,52,35,52,30,,,,,,,6,1,56,64,45,27,45,66,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=329&y=2012&r=5&p=N552
,Tokyo,Kei Nishikori,Marcos Baghdatis,Kei Nishikori,S,61,2,1,65,75,80,33,80,66,,,,,,,0,3,50,66,41,25,41,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=329&y=2012&r=6&p=N552
,Tokyo,Kei Nishikori,Milos Raonic,Kei Nishikori,F,128,0,2,64,66,75,29,75,40,,,,,,,14,3,62,70,38,34,38,40,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=329&y=2012&r=7&p=N552
,ATP World Tour Masters 1000 Shanghai,Kei Nishikori,Di Wu,Kei Nishikori,R64,72,1,1,65,81,58,45,58,44,,,,,,,0,2,60,54,39,18,39,33,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2012&r=2&p=N552
,ATP World Tour Masters 1000 Shanghai,Sam Querrey,Kei Nishikori,Sam Querrey,R32,101,20,4,57,88,42,40,42,36,,,,,,,3,3,58,60,48,11,48,42,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2012&r=3&p=Q927
,ATP World Tour Masters 1000 Paris,Kei Nishikori,Benoit Paire,Kei Nishikori,R32,95,4,3,65,76,50,38,50,40,,,,,,,6,4,39,61,43,23,43,40,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2012&r=3&p=N552
,ATP World Tour Masters 1000 Paris,Gilles Simon,Kei Nishikori,Gilles Simon,R16,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2012&r=4&p=SD32
,Brisbane,Kei Nishikori,Marinko Matosevic,Kei Nishikori,R32,102,2,0,62,64,62,32,62,57,,,,,,,3,1,52,67,39,35,39,20,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=339&y=2013&r=3&p=N552
