tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
Wimbledon Slam,Milos Raonic,Igor Sijsling,Igor Sijsling,Round of 64,129,22,68,77,49,17,49,0,48,24,"
                            ","
                            ",197,162,68,20,17,67,83,74,23,74,40,40,7,"
								","
								",191,152,80,32,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604211
Australian Open Slam,Milos Raonic,Jan Hajek,Milos Raonic,Round of 128,145,30,63,82,63,38,63,27,57,50,"
								","
								",196,176,75,41,3,66,62,52,18,52,20,24,40,"
                            ","
                            ",171,134,59,25,http://www.tennisinsight.com/match_stats_popup.php?matchID=177954157
Wimbledon Slam,Milos Raonic,Carlos Berlocq,Milos Raonic,Round of 128,106,19,71,88,62,37,62,33,54,18,"
								","
								",181,165,81,42,4,64,63,49,12,49,0,23,13,"
                            ","
                            ",165,141,58,19,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604121
Barcelona,Milos Raonic,Ernests Gulbis,Milos Raonic,R16,94,7,71,72,63,40,63,28,,,,,,,70,41,4,60,59,58,27,58,0,,,,,,,58,29,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2013&r=4&p=R975
Barcelona,Milos Raonic,Edouard Roger-Vasselin,Milos Raonic,R32,70,7,59,89,57,43,57,75,,,,,,,76,41,1,69,56,62,10,62,0,,,,,,,58,23,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2013&r=3&p=R975
ATP World Tour Masters 1000 Madrid,Milos Raonic,Nikolay Davydenko,Milos Raonic,R64,99,6,43,80,62,29,62,20,,,,,,,70,31,3,77,70,61,20,61,0,,,,,,,68,30,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2013&r=2&p=R975
ATP World Tour Masters 1000 Rome,Milos Raonic,Novak Djokovic,Novak Djokovic,S,181,17,66,75,45,29,45,12,,,,,,,65,30,3,71,70,65,24,65,30,,,,,,,69,34,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=6&p=D643
French Open Slam,Milos Raonic,Xavier Malisse,Milos Raonic,Round of 128,116,16,73,79,54,38,54,67,61,36,"
								","
								",200,166,72,44,8,64,62,46,21,46,40,26,18,"
                            ","
                            ",182,136,56,28,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224141
Barcelona,Milos Raonic,Rafael Nadal,Rafael Nadal,S,72,6,66,57,26,29,26,100,,,,,,,47,30,4,73,70,63,42,63,45,,,,,,,69,52,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2013&r=6&p=N409
Barcelona,Milos Raonic,Tommy Robredo,Milos Raonic,Q,141,13,63,80,55,27,55,22,,,,,,,71,35,9,64,72,48,19,48,100,,,,,,,64,28,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2013&r=5&p=R975
ATP World Tour Masters 1000 Cincinnati,Milos Raonic,John Isner,John Isner,R16,97,4,62,70,57,17,57,100,,,,,,,65,25,13,58,82,64,29,64,25,,,,,,,74,34,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=422&y=2013&r=4&p=I186
ATP World Tour Masters 1000 Cincinnati,Milos Raonic,Jack Sock,Milos Raonic,R64,114,8,58,84,57,19,57,100,,,,,,,73,32,12,51,80,53,15,53,33,,,,,,,67,26,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=422&y=2013&r=2&p=R975
French Open Slam,Milos Raonic,Michael Llodra,Milos Raonic,Round of 64,160,24,63,79,56,35,56,33,75,42,"
								","
								",200,165,71,39,14,61,65,56,21,56,29,44,26,"
                            ","
                            ",187,150,61,29,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224221
French Open Slam,Milos Raonic,Kevin Anderson,Kevin Anderson,Round of 32,144,16,57,65,52,19,52,25,50,38,"
                            ","
                            ",197,168,60,25,8,69,81,63,35,63,25,31,15,"
								","
								",189,165,75,40,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224311
Australian Open Slam,Milos Raonic,Roger Federer,Roger Federer,Round of 16,113,19,67,70,50,10,50,0,37,41,"
                            ","
                            ",207,165,64,15,14,64,90,75,30,75,43,34,12,"
								","
								",189,155,85,36,http://www.tennisinsight.com/match_stats_popup.php?matchID=177954408
Bangkok,Milos Raonic,Feliciano Lopez,Milos Raonic,Q,59,19,86,89,33,29,33,75,,,,,,,81,37,6,58,70,50,10,50,0,,,,,,,62,18,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1720&y=2013&r=5&p=R975
Bangkok,Milos Raonic,Marinko Matosevic,Milos Raonic,R16,159,21,55,90,42,32,42,6,,,,,,,69,35,7,75,67,56,9,56,25,,,,,,,64,30,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1720&y=2013&r=4&p=R975
Bangkok,Milos Raonic,Richard Gasquet,Milos Raonic,S,111,23,63,80,42,21,42,66,,,,,,,67,21,6,76,78,76,19,76,33,,,,,,,78,32,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1720&y=2013&r=6&p=R975
ATP World Tour Masters 1000 Cincinnati,Milos Raonic,Janko Tipsarevic,Milos Raonic,R32,100,13,71,86,55,28,55,14,,,,,,,77,33,4,63,71,56,14,56,0,,,,,,,66,22,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=422&y=2013&r=3&p=R975
