tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
Wimbledon Slam,Andreas Seppi,Juan Martin del Potro,Juan Martin del Potro,Round of 16,142,5,59,75,41,25,41,0,36,20,"
                            ","
                            ",178,141,61,28,9,72,75,62,25,59,18,36,15,"
								","
								",188,157,72,39,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604404
ATP World Tour Masters 1000 Indian Wells,Andreas Seppi,Ernests Gulbis,Ernests Gulbis,R32,128,3,51,63,57,18,57,60,,,,,,,60,34,8,59,81,41,36,,36,,,,,,,65,39,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2013&r=3&p=G858
ATP World Tour Masters 1000 Rome,Andreas Seppi,Tommy Haas,Tommy Haas,R64,108,5,47,60,52,32,52,50,,,,,,,56,36,6,61,67,58,40,,83,,,,,,,64,43,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=2&p=H355
Australian Open Slam,Andreas Seppi,Horacio Zeballos,Andreas Seppi,Round of 128,89,12,61,86,61,37,61,42,12,1,"
								","
								",,,76,42,6,66,63,50,14,,0,6,2,"
                            ","
                            ",,,58,24,http://www.tennisinsight.com/match_stats_popup.php?matchID=177954137
Wimbledon Slam,Andreas Seppi,Denis Istomin,Andreas Seppi,Round of 128,198,13,61,79,54,19,54,40,47,49,"
								","
								",,,69,29,17,62,81,55,21,,43,60,40,"
                            ","
                            ",,,71,31,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604128
ATP World Tour Masters 1000 Miami,Andreas Seppi,Aljaz Bedene,Andreas Seppi,R64,158,13,53,72,53,24,53,27,,,,,,,63,41,14,46,75,43,28,,57,,,,,,,58,36,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2013&r=2&p=SA93
Umag,Andreas Seppi,Tommy Robredo,Tommy Robredo,S,143,3,57,65,51,31,51,42,,,,,,,59,38,4,53,68,53,35,,27,,,,,,,61,40,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=439&y=2013&r=6&p=R419
ATP World Tour Masters 1000 Indian Wells,Andreas Seppi,Daniel Brands,Andreas Seppi,R64,77,5,58,71,59,34,59,80,,,,,,,66,40,1,67,65,47,28,,28,,,,,,,59,33,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2013&r=2&p=SA93
Australian Open Slam,Andreas Seppi,Jeremy Chardy,Jeremy Chardy,Round of 16,162,9,63,69,36,23,36,18,34,44,"
                            ","
                            ",183,146,57,34,11,65,77,47,31,64,40,47,42,"
								","
								",199,162,66,43,http://www.tennisinsight.com/match_stats_popup.php?matchID=177954405
Umag,Andreas Seppi,Andreas Haider-Maurer,Andreas Seppi,R16,64,2,40,77,55,44,55,50,,,,,,,64,58,2,47,56,28,22,,0,,,,,,,41,35,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=439&y=2013&r=4&p=SA93
Ortisei,Andreas Seppi,Frank Dancevic,Andreas Seppi,Q,58,7,57,78,66,32,66,42,,,,,,,73,45,6,54,67,39,21,,0,,,,,,,54,26,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6204&y=2013&r=5&p=SA93
French Open Slam,Andreas Seppi,Blaz Kavcic,Andreas Seppi,Round of 64,225,14,57,72,58,40,58,33,63,40,"
								","
								",177,133,66,40,7,63,60,59,28,,33,46,40,"
                            ","
                            ",173,135,60,34,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224219
Beijing,Andreas Seppi,Stan Wawrinka,Stan Wawrinka,R32,108,4,62,65,56,10,56,40,,,,,,,62,30,10,55,89,43,34,,60,,,,,,,69,37,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=747&y=2013&r=3&p=W367
French Open Slam,Andreas Seppi,Leonardo Mayer,Andreas Seppi,Round of 128,229,8,67,66,60,35,60,64,50,69,"
								","
								",,,64,41,11,64,65,48,34,,60,48,69,"
                            ","
                            ",,,59,36,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224137
Umag,Andreas Seppi,Horacio Zeballos,Andreas Seppi,Q,57,7,75,76,50,46,50,11,,,,,,,69,46,2,64,53,55,24,,100,,,,,,,54,30,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=439&y=2013&r=5&p=SA93
French Open Slam,Andreas Seppi,Nicolas Almagro,Nicolas Almagro,Round of 32,104,6,51,69,38,14,38,20,32,37,"
                            ","
                            ",,,54,26,19,69,86,46,31,63,38,43,20,"
								","
								",,,74,46,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224310
ATP World Tour Masters 1000 Shanghai,Andreas Seppi,Lleyton Hewitt,Andreas Seppi,R64,81,7,68,79,56,34,56,40,,,,,,,72,47,8,50,65,38,20,,50,,,,,,,52,28,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=2&p=SA93
ATP World Tour Masters 1000 Cincinnati,Andreas Seppi,Stan Wawrinka,Stan Wawrinka,R64,68,5,50,75,38,9,38,0,,,,,,,56,21,8,61,90,60,25,,16,,,,,,,78,43,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=422&y=2013&r=2&p=W367
Wimbledon Slam,Andreas Seppi,Kei Nishikori,Andreas Seppi,Round of 32,184,9,60,70,55,36,55,50,44,28,"
								","
								",,,64,40,3,69,64,51,30,,27,44,45,"
                            ","
                            ",,,60,36,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604307
ATP World Tour Masters 1000 Canada,Andreas Seppi,Lukas Rosol,Andreas Seppi,R64,127,5,63,75,35,27,35,28,,,,,,,60,40,10,56,72,42,24,,57,,,,,,,59,39,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=421&y=2013&r=2&p=SA93
Dusseldorf ATP,Andreas Seppi,Adrian Mannarino,Andreas Seppi,Round of 16,57,3,63,80,67,48,67,63,,,,,,,75,54,1,48,52,41,20,,0,,,,,,,46,25,http://www.tennisinsight.com/match_stats_popup.php?matchID=185864203
ATP World Tour Masters 1000 Canada,Andreas Seppi,Kei Nishikori,Kei Nishikori,R32,127,3,55,66,46,26,46,33,,,,,,,57,32,3,57,73,58,33,,40,,,,,,,67,42,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=421&y=2013&r=3&p=N552
Metz,Andreas Seppi,Nicolas Mahut,Nicolas Mahut,R16,77,2,64,62,55,30,55,33,,,,,,,60,37,7,58,69,53,37,,80,,,,,,,62,40,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=341&y=2013&r=4&p=M873
Australian Open Slam,Andreas Seppi,Marin Cilic,Andreas Seppi,Round of 32,218,6,56,71,43,25,43,53,36,66,"
								","
								",178,136,59,42,13,50,75,41,29,,37,38,67,"
                            ","
                            ",187,141,58,41,http://www.tennisinsight.com/match_stats_popup.php?matchID=177954310
Wimbledon Slam,Andreas Seppi,Michael Llodra,Andreas Seppi,Round of 64,49,1,62,57,71,26,71,33,19,5,"
								","
								",,,62,42,6,64,74,31,43,,100,17,5,"
                            ","
                            ",,,58,38,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604214
ATP World Tour Masters 1000 Shanghai,Andreas Seppi,Roger Federer,Roger Federer,R32,74,0,61,61,52,25,52,20,,,,,,,58,34,7,59,75,51,38,,60,,,,,,,65,41,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=3&p=F324
Winston-Salem,Andreas Seppi,Steve Johnson,Steve Johnson,R32,140,10,58,71,51,17,51,33,,,,,,,62,30,15,59,82,51,28,,42,,,,,,,69,37,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6242&y=2013&r=3&p=J386
Moscow,Andreas Seppi,Edouard Roger-Vasselin,Andreas Seppi,Q,27,2,62,70,50,53,50,50,,,,,,,62,61,0,72,46,20,29,,50,,,,,,,38,37,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=438&y=2013&r=5&p=SA93
Australian Open Slam,Andreas Seppi,Denis Istomin,Andreas Seppi,Round of 64,247,13,61,76,65,24,65,29,13,6,"
								","
								",,,72,31,16,62,76,58,24,,14,16,1,"
                            ","
                            ",,,69,28,http://www.tennisinsight.com/match_stats_popup.php?matchID=177954219
Moscow,Andreas Seppi,Paolo Lorenzi,Andreas Seppi,R16,69,3,47,90,75,19,75,50,,,,,,,82,44,6,46,80,33,9,,0,,,,,,,55,17,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=438&y=2013&r=4&p=SA93
ATP World Tour Masters 1000 Paris,Andreas Seppi,Philipp Kohlschreiber,Philipp Kohlschreiber,R64,118,7,55,75,39,16,39,28,,,,,,,59,31,10,52,83,52,24,,23,,,,,,,68,40,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2013&r=2&p=K435
Moscow,Andreas Seppi,Mikhail Kukushkin,Mikhail Kukushkin,S,99,3,67,57,40,34,40,55,,,,,,,52,46,5,54,65,38,42,,66,,,,,,,53,47,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=438&y=2013&r=6&p=K926
Ortisei,Andreas Seppi,Teymuraz Gabashvili,Andreas Seppi,S,159,13,45,87,55,25,55,25,,,,,,,70,31,5,50,74,62,12,,16,,,,,,,68,29,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6204&y=2013&r=6&p=SA93
Ortisei,Andreas Seppi,Simon Greul,Andreas Seppi,F,81,6,63,73,50,41,50,41,,,,,,,65,48,2,43,58,45,26,,75,,,,,,,51,35,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6204&y=2013&r=7&p=SA93
Ortisei,Andreas Seppi,Thiemo de Bakker,Andreas Seppi,R32,75,10,54,87,74,22,74,8,,,,,,,81,39,18,55,77,40,12,,0,,,,,,,60,18,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6204&y=2013&r=3&p=SA93
Rotterdam,Andreas Seppi,Tomas Berdych,Tomas Berdych,R32,66,2,63,61,45,12,45,0,,,,,,,55,16,9,72,87,75,38,,30,,,,,,,83,44,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=407&y=2014&r=3&p=BA47
Sydney,Andreas Seppi,Marinko Matosevic,Marinko Matosevic,R16,72,3,58,70,50,15,50,0,,,,,,,62,22,7,61,84,66,29,,25,,,,,,,77,37,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=338&y=2014&r=4&p=ME05
Ortisei,Andreas Seppi,Farrukh Dustov,Andreas Seppi,R16,90,4,44,68,52,47,52,35,,,,,,,59,47,4,63,52,51,31,,27,,,,,,,52,40,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6204&y=2013&r=4&p=SA93
Dubai,Andreas Seppi,Florian Mayer,Andreas Seppi,R32,118,5,47,69,57,44,57,29,,,,,,,63,44,3,55,55,54,30,,33,,,,,,,55,36,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=495&y=2014&r=3&p=SA93
