tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
Davis Cup,Jo-Wilfried Tsonga,Tobias Kamke,Jo-Wilfried Tsonga,Reverse Singles,102,10,67,86,64,42,64,57,,,,,,,79,40,0,46,58,61,14,,0,,,,,,,60,21,http://www.tennisinsight.com/match_stats_popup.php?matchID=184953103
French Open Slam,Jo-Wilfried Tsonga,Roger Federer,Jo-Wilfried Tsonga,Quarter Final,111,2,75,81,53,42,53,43,26,22,"
								","
								",177,142,74,47,0,67,58,42,19,,67,25,34,"
                            ","
                            ",184,150,53,26,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224504
ATP World Tour Masters 1000 Rome,Jo-Wilfried Tsonga,Milos Raonic,Milos Raonic,R16,108,6,62,75,70,24,70,0,,,,,,,73,28,7,62,76,63,25,,25,,,,,,,71,26,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=4&p=R975
Wimbledon Slam,Jo-Wilfried Tsonga,David Goffin,Jo-Wilfried Tsonga,Round of 128,114,18,68,86,52,34,52,50,47,13,"
								","
								",186,152,75,34,2,71,66,66,14,,0,40,10,"
                            ","
                            ",172,146,66,25,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604149
Australian Open Slam,Jo-Wilfried Tsonga,Gilles Simon,Jo-Wilfried Tsonga,Round of 32,113,17,66,80,65,21,65,50,40,29,20,27,189,149,75,31,7,53,79,58,20,,0,21,25,23,28,181,137,69,25,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704307
Australian Open Slam,Jo-Wilfried Tsonga,Go Soeda,Jo-Wilfried Tsonga,Round of 64,123,17,58,83,57,26,57,75,44,33,"
								","
								",189,147,72,33,5,55,74,57,17,,25,20,26,"
                            ","
                            ",182,148,67,28,http://www.tennisinsight.com/match_stats_popup.php?matchID=177954225
ATP World Tour Masters 1000 Monte Carlo,Jo-Wilfried Tsonga,Nikolay Davydenko,Jo-Wilfried Tsonga,R32,87,7,66,77,54,34,54,50,,,,,,,69,41,0,79,66,30,22,,100,,,,,,,58,30,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2013&r=3&p=T786
Wimbledon Slam,Jo-Wilfried Tsonga,Ernests Gulbis,Ernests Gulbis,Round of 64,119,9,68,70,48,23,48,20,19,14,"
                            ","
                            ",181,149,63,33,12,61,77,52,30,52,38,45,24,"
								","
								",199,177,67,37,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604225
Marseille,Jo-Wilfried Tsonga,Gilles Simon,Jo-Wilfried Tsonga,S,63,7,74,77,75,46,75,40,,,,,,,76,46,3,59,53,54,22,,0,,,,,,,53,23,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=496&y=2013&r=6&p=T786
Australian Open Slam,Jo-Wilfried Tsonga,Thomaz Bellucci,Jo-Wilfried Tsonga,Round of 64,135,14,64,86,55,35,55,33,47,28,16,24,191,151,75,39,9,45,65,59,14,,25,19,29,13,18,186,158,61,25,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704213
