matchId,tournament,player1,player2,winner,t_round,duration,p1Aces,p1DoubleFaults,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p2Aces,p2DoubleFaults,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,urlVisited
,Kuala Lumpur,Stan Wawrinka,Marcos Baghdatis,Stan Wawrinka,R16,65,6,3,49,85,67,15,67,75,,,,,,,2,3,52,84,37,14,37,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6003&y=2013&r=4&p=W367
,Buenos Aires,Stan Wawrinka,Paolo Lorenzi,Stan Wawrinka,R32,59,2,1,64,81,47,37,47,50,,,,,,,0,0,68,62,66,18,66,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=506&y=2013&r=3&p=W367
,Buenos Aires,Stan Wawrinka,Daniel Gimeno-Traver,Stan Wawrinka,R16,58,2,0,57,73,68,35,68,40,,,,,,,4,3,53,64,33,26,33,33,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=506&y=2013&r=4&p=W367
,Buenos Aires,Stan Wawrinka,Albert Ramos,Stan Wawrinka,Q,101,3,3,58,69,53,38,53,44,,,,,,,1,2,60,61,40,30,40,50,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=506&y=2013&r=5&p=W367
,Buenos Aires,Stan Wawrinka,Nicolas Almagro,Stan Wawrinka,S,70,4,0,76,78,80,16,80,66,,,,,,,7,2,65,83,36,22,36,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=506&y=2013&r=6&p=W367
,Buenos Aires,David Ferrer,Stan Wawrinka,David Ferrer,F,105,1,2,64,69,48,35,48,54,,,,,,,4,3,56,64,34,30,34,57,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=506&y=2013&r=7&p=F401
,Acapulco,Fabio Fognini,Stan Wawrinka,Fabio Fognini,R32,90,1,3,58,74,54,42,54,25,,,,,,,2,1,70,57,52,25,52,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=807&y=2013&r=3&p=F510
,ATP World Tour Masters 1000 Indian Wells,Stan Wawrinka,Wayne Odesnik,Stan Wawrinka,R64,87,9,1,69,79,57,37,57,66,,,,,,,1,1,75,62,52,20,52,33,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2013&r=2&p=W367
,ATP World Tour Masters 1000 Indian Wells,Stan Wawrinka,Lleyton Hewitt,Stan Wawrinka,R32,84,5,4,51,76,67,27,67,42,,,,,,,1,3,48,72,45,23,45,25,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2013&r=3&p=W367
,ATP World Tour Masters 1000 Indian Wells,Roger Federer,Stan Wawrinka,Roger Federer,R16,140,5,2,59,66,50,38,50,33,,,,,,,6,3,60,61,53,33,53,42,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2013&r=4&p=F324
