tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
Halle,Mikhail Youzhny,Richard Gasquet,Mikhail Youzhny,S,58,4,70,75,73,26,73,75,,,,,,,74,39,5,63,73,40,25,,0,,,,,,,60,25,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=500&y=2013&r=6&p=Y061
ATP World Tour Masters 1000 Miami,Mikhail Youzhny,Richard Gasquet,Richard Gasquet,R32,87,4,60,57,43,30,43,33,,,,,,,51,35,2,57,69,58,42,,33,,,,,,,64,48,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2013&r=3&p=G628
Valencia,Mikhail Youzhny,David Ferrer,Mikhail Youzhny,F,84,5,59,72,52,37,52,50,,,,,,,64,42,1,62,62,50,27,,40,,,,,,,57,35,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=573&y=2013&r=7&p=Y061
French Open Slam,Mikhail Youzhny,Tommy Haas,Tommy Haas,Round of 16,84,0,63,39,50,28,50,33,17,32,"
                            ","
                            ",171,146,43,37,2,61,72,50,61,50,53,25,18,"
								","
								",182,152,63,57,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224402
Dubai,Mikhail Youzhny,Blaz Kavcic,Mikhail Youzhny,R32,89,1,52,68,44,41,44,50,,,,,,,56,45,2,62,58,48,31,,57,,,,,,,54,43,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=495&y=2013&r=3&p=Y061
ATP World Tour Masters 1000 Miami,Mikhail Youzhny,Yen-Hsun Lu,Mikhail Youzhny,R64,103,6,56,65,52,37,52,66,,,,,,,59,43,3,48,62,50,34,,16,,,,,,,56,40,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2013&r=2&p=Y061
Olympics ATP,Mikhail Youzhny,Julien Benneteau,Julien Benneteau,Round of 64,91,3,59,64,52,22,52,0,,,,,,,59,33,6,60,78,50,36,48,60,,,,,,,67,41,http://www.tennisinsight.com/match_stats_popup.php?matchID=175774102
Zagreb,Mikhail Youzhny,Bjorn Phau,Bjorn Phau,R16,132,7,62,60,47,27,47,37,,,,,,,55,38,4,51,72,51,39,,40,,,,,,,61,44,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=2276&y=2014&r=4&p=P436
ATP World Tour Masters 1000 Indian Wells,Mikhail Youzhny,Leonardo Mayer,Leonardo Mayer,R64,84,1,54,66,23,21,23,25,,,,,,,46,36,1,49,78,48,33,,55,,,,,,,63,53,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2013&r=2&p=MD56
Dubai,Mikhail Youzhny,Daniel Brands,Daniel Brands,R16,64,2,51,75,44,12,44,100,,,,,,,60,24,13,64,87,55,24,,27,,,,,,,76,39,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=495&y=2013&r=4&p=BC72
