tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
French Open Slam,Roberto Bautista Agut,Tomas Berdych,Tomas Berdych,Round of 32,163,1,65,56,44,22,48,67,20,36,8,13,164,142,52,34,12,54,78,52,44,56,60,62,54,20,28,194,158,66,48,http://www.tennisinsight.com/match_stats_popup.php?matchID=185934309
US Open Slam,Roberto Bautista Agut,David Ferrer,David Ferrer,Round of 64,166,2,62,57,43,31,41,38,29,62,21,24,162,138,52,35,10,59,69,59,43,57,50,38,45,19,29,175,141,65,48,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634224
Australian Open Slam,Roberto Bautista Agut,Benoit Paire,Roberto Bautista Agut,Round of 32,90,4,83,71,54,38,46,35,21,23,11,14,168,145,68,52,13,58,63,29,29,,29,31,59,11,22,186,140,48,32,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704304
ATP World Tour Masters 1000 Indian Wells,Roberto Bautista Agut,Tomas Berdych,Roberto Bautista Agut,R64,143,2,65,67,45,29,54,35,,,,,,,59,43,6,52,70,39,32,,20,,,,,,,56,40,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=2&p=BD06
ATP World Tour Masters 1000 Indian Wells,Roberto Bautista Agut,Jarkko Nieminen,Roberto Bautista Agut,R32,130,5,64,68,55,35,44,57,,,,,,,64,38,7,69,64,57,31,,42,,,,,,,61,36,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=3&p=BD06
Australian Open Slam,Roberto Bautista Agut,Grigor Dimitrov,Grigor Dimitrov,Round of 16,144,5,64,68,59,15,53,20,27,45,13,23,171,147,65,30,11,60,85,47,32,41,80,38,34,23,35,192,153,70,35,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704402
US Open Slam,Roberto Bautista Agut,Thomaz Bellucci,Roberto Bautista Agut,Round of 128,102,1,75,71,57,28,43,60,1,1,,,,,67,45,7,57,72,33,29,,25,7,2,,,,,55,33,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634147
ATP World Tour Masters 1000 Indian Wells,Roberto Bautista Agut,Ernests Gulbis,Ernests Gulbis,R16,145,1,58,68,37,25,62,42,,,,,,,55,37,7,52,75,48,31,,33,,,,,,,62,44,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=4&p=G858
Dubai,Roberto Bautista Agut,Novak Djokovic,Novak Djokovic,R16,58,0,67,41,53,23,46,50,,,,,,,45,31,4,72,76,46,58,,62,,,,,,,68,54,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=495&y=2014&r=4&p=D643
ATP World Tour Masters 1000 Rome,Roberto Bautista Agut,Dmitry Tursunov,Dmitry Tursunov,R64,83,1,79,58,25,28,75,20,,,,,,,51,35,3,72,71,47,41,,100,,,,,,,64,48,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=2&p=T315
Winston-Salem,Roberto Bautista Agut,Ricardas Berankis,Ricardas Berankis,R16,76,5,54,63,53,25,46,0,,,,,,,59,31,2,58,74,60,36,,37,,,,,,,68,40,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6242&y=2013&r=4&p=BE90
Dubai,Roberto Bautista Agut,Adrian Ungur,Roberto Bautista Agut,R32,66,3,66,76,47,50,52,41,,,,,,,66,55,2,53,50,38,23,,16,,,,,,,44,33,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=495&y=2014&r=3&p=BD06
ATP World Tour Masters 1000 Indian Wells,Roberto Bautista Agut,Steve Johnson,Roberto Bautista Agut,R128,81,1,63,80,57,29,42,50,,,,,,,71,44,3,69,70,23,19,,0,,,,,,,55,28,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=1&p=BD06
Australian Open Slam,Roberto Bautista Agut,Juan Martin del Potro,Roberto Bautista Agut,Round of 64,233,12,69,77,45,28,55,63,72,59,20,28,173,147,67,34,28,72,72,50,23,,24,53,41,13,25,190,151,66,33,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704208
Dubai,Roberto Bautista Agut,David Goffin,Roberto Bautista Agut,R32,98,1,65,57,65,38,35,41,,,,,,,60,50,2,52,61,37,42,,50,,,,,,,50,39,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=495&y=2013&r=3&p=BD06
French Open Slam,Roberto Bautista Agut,Paolo Lorenzi,Roberto Bautista Agut,Round of 128,139,1,73,67,74,30,26,33,53,28,26,37,,,69,44,2,63,70,30,33,,14,27,25,26,44,,,56,31,http://www.tennisinsight.com/match_stats_popup.php?matchID=185934136
French Open Slam,Roberto Bautista Agut,Benoit Paire,Roberto Bautista Agut,Round of 64,130,3,79,67,53,41,47,25,23,16,18,24,165,146,64,50,9,46,59,43,33,,75,47,67,29,49,178,142,50,36,http://www.tennisinsight.com/match_stats_popup.php?matchID=185934218
Orleans,Roberto Bautista Agut,Daniel Brands,Roberto Bautista Agut,R16,68,2,81,75,70,26,30,75,,,,,,,74,44,4,44,73,41,25,,0,,,,,,,55,25,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=2273&y=2012&r=4&p=BD06
Orleans,Roberto Bautista Agut,Ernests Gulbis,Roberto Bautista Agut,Q,70,1,60,77,55,26,44,33,,,,,,,68,35,9,51,73,54,22,,25,,,,,,,64,31,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=2273&y=2012&r=5&p=BD06
Moscow,Roberto Bautista Agut,Tatsuma Ito,Tatsuma Ito,R32,104,1,67,60,36,31,63,41,,,,,,,52,45,7,47,68,42,39,,66,,,,,,,55,47,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=438&y=2012&r=3&p=I230
Australian Open Slam,Roberto Bautista Agut,Tim Smyczek,Roberto Bautista Agut,Round of 128,90,1,82,74,64,48,36,44,1,1,,,,,72,57,8,61,52,29,26,,50,8,5,,,,,43,28,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704115
Orleans,Roberto Bautista Agut,Ruben Bemelmans,Ruben Bemelmans,S,107,1,72,58,55,25,45,50,,,,,,,57,36,3,57,75,48,41,,37,,,,,,,63,42,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=2273&y=2012&r=6&p=BE54
Chennai,Roberto Bautista Agut,Blaz Kavcic,Roberto Bautista Agut,R32,134,2,72,61,42,35,57,31,,,,,,,56,50,4,52,64,32,38,,42,,,,,,,49,43,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=891&y=2013&r=3&p=BD06
ATP World Tour Masters 1000 Paris,Roberto Bautista Agut,Paul-Henri Mathieu,Paul-Henri Mathieu,R64,138,5,60,64,32,27,67,16,,,,,,,51,40,6,57,72,41,35,,45,,,,,,,59,48,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2012&r=2&p=M850
Chennai,Roberto Bautista Agut,Matthias Bachinger,Roberto Bautista Agut,R16,100,1,68,76,47,39,52,40,,,,,,,67,43,2,65,60,48,23,,75,,,,,,,56,32,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=891&y=2013&r=4&p=BD06
Chennai,Roberto Bautista Agut,Benoit Paire,Roberto Bautista Agut,S,114,3,65,70,39,21,60,44,,,,,,,60,40,15,54,78,38,29,,40,,,,,,,60,40,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=891&y=2013&r=6&p=BD06
Chennai,Roberto Bautista Agut,Tomas Berdych,Roberto Bautista Agut,Q,138,2,71,63,44,24,55,26,,,,,,,58,41,11,56,75,36,36,,44,,,,,,,58,41,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=891&y=2013&r=5&p=BD06
Chennai,Roberto Bautista Agut,Janko Tipsarevic,Janko Tipsarevic,F,109,5,65,59,55,13,44,100,,,,,,,58,30,8,56,86,48,40,,57,,,,,,,69,41,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=891&y=2013&r=7&p=T742
Sydney,Roberto Bautista Agut,Ryan Harrison,Ryan Harrison,R32,16,0,66,75,100,33,0,0,,,,,,,83,35,3,42,66,62,25,,0,,,,,,,64,16,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=338&y=2013&r=3&p=H940
Quimper,Roberto Bautista Agut,Marc Gicquel,Marc Gicquel,Q,95,1,65,59,57,20,42,40,,,,,,,58,34,6,63,79,42,40,,66,,,,,,,65,41,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6239&y=2013&r=5&p=G436
Marseille,Roberto Bautista Agut,Filip Krajinovic,Roberto Bautista Agut,R32,132,4,67,73,51,25,48,21,,,,,,,65,37,6,57,75,45,26,,50,,,,,,,62,34,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=496&y=2013&r=3&p=BD06
