tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
Davis Cup,Tomas Berdych,Leonardo Mayer,Tomas Berdych,Singles,181,13,55,80,51,29,51,83,,,,,,,67,38,7,66,71,44,20,,60,,,,,,,62,33,http://www.tennisinsight.com/match_stats_popup.php?matchID=181973102
French Open Slam,Tomas Berdych,Peter Polansky,Tomas Berdych,Round of 128,118,15,60,80,54,42,54,67,50,36,11,18,189,153,70,41,2,62,58,61,20,,17,15,21,1,2,182,144,59,30,http://www.tennisinsight.com/match_stats_popup.php?matchID=185934133
French Open Slam,Tomas Berdych,Gael Monfils,Gael Monfils,Round of 128,243,11,66,76,53,21,53,20,72,57,,,195,156,68,28,26,72,79,54,24,47,38,66,44,,,190,149,72,32,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224133
ATP World Tour Masters 1000 Shanghai,Tomas Berdych,Nicolas Almagro,Nicolas Almagro,R16,156,12,56,81,56,18,56,16,,,,,,,70,26,18,64,81,58,18,,50,,,,,,,73,29,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=4&p=A479
Wimbledon Slam,Tomas Berdych,Kevin Anderson,Tomas Berdych,Round of 32,176,11,53,82,47,27,47,28,50,19,,,193,162,65,36,19,60,73,52,18,,21,45,12,,,194,170,64,35,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604304
US Open Slam,Tomas Berdych,Denis Kudla,Tomas Berdych,Round of 64,165,11,57,74,56,42,56,33,41,47,12,24,193,146,66,46,1,60,58,47,26,,29,34,59,12,15,164,133,54,34,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634216
ATP World Tour Masters 1000 Paris,Tomas Berdych,Milos Raonic,Tomas Berdych,R16,116,8,62,85,51,16,51,33,,,,,,,73,34,18,59,84,38,14,,0,,,,,,,65,26,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2013&r=4&p=BA47
Wimbledon Slam,Tomas Berdych,Martin Klizan,Tomas Berdych,Round of 128,110,6,62,92,55,39,55,33,31,14,,,191,164,78,42,5,64,61,51,8,,0,28,24,,,183,154,58,22,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604116
Basel,Tomas Berdych,Ivo Karlovic,Ivo Karlovic,R32,142,11,50,85,71,17,71,20,,,,,,,78,30,23,63,82,47,14,,0,,,,,,,69,21,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=328&y=2013&r=3&p=K336
ATP World Tour Masters 1000 Paris,Tomas Berdych,Pablo Andujar,Tomas Berdych,R32,81,8,58,81,47,42,47,62,,,,,,,67,52,1,66,57,29,18,,50,,,,,,,47,32,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2013&r=3&p=BA47
