tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
Wimbledon Slam,Alexandr Dolgopolov,David Ferrer,David Ferrer,Round of 32,192,15,59,69,43,25,49,56,56,34,,,186,143,58,32,6,70,75,51,31,57,29,34,39,,,178,154,68,42,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604305
London / Queen's Club,Alexandr Dolgopolov,Benjamin Becker,Benjamin Becker,R16,91,9,54,71,50,28,50,66,,,,,,,61,32,5,61,71,62,28,,50,,,,,,,68,38,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=311&y=2013&r=4&p=B896
Hamburg,Alexandr Dolgopolov,Florian Mayer,Florian Mayer,R32,66,3,51,74,32,28,68,50,,,,,,,53,40,6,60,71,40,25,,80,,,,,,,59,46,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=414&y=2013&r=3&p=MB02
Eastbourne,Alexandr Dolgopolov,Fernando Verdasco,Fernando Verdasco,R32,75,2,53,77,40,26,60,33,,,,,,,60,27,6,61,73,70,22,,50,,,,,,,72,40,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=741&y=2013&r=3&p=V306
French Open Slam,Alexandr Dolgopolov,Marcel Granollers,Marcel Granollers,Round of 64,187,12,54,64,45,33,55,56,73,96,24,41,,,55,41,5,64,67,45,36,55,50,27,41,7,15,,,59,45,http://www.tennisinsight.com/match_stats_popup.php?matchID=185934227
Umag,Alexandr Dolgopolov,Aljaz Bedene,Aljaz Bedene,R16,60,2,34,50,35,23,64,100,,,,,,,40,25,5,65,76,71,50,,71,,,,,,,75,59,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=439&y=2013&r=4&p=BH09
Winston-Salem,Alexandr Dolgopolov,Daniel Gimeno-Traver,Alexandr Dolgopolov,R32,86,15,51,78,51,42,48,71,,,,,,,65,45,3,54,57,50,21,,100,,,,,,,54,35,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6242&y=2013&r=3&p=D801
Winston-Salem,Alexandr Dolgopolov,Yen-Hsun Lu,Alexandr Dolgopolov,Q,98,9,47,84,60,23,40,28,,,,,,,71,38,5,61,76,37,15,,33,,,,,,,61,28,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6242&y=2013&r=5&p=D801
Winston-Salem,Alexandr Dolgopolov,Juan Monaco,Alexandr Dolgopolov,R16,95,7,49,76,45,46,55,42,,,,,,,60,44,2,69,53,60,23,,44,,,,,,,55,39,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6242&y=2013&r=4&p=D801
Davis Cup,Alexandr Dolgopolov,Fernando Verdasco,Fernando Verdasco,Singles,153,5,48,72,46,30,48,75,,,,,,,58,34,3,80,70,52,28,54,63,,,,,,,66,42,http://www.tennisinsight.com/match_stats_popup.php?matchID=181983101
Winston-Salem,Alexandr Dolgopolov,Gael Monfils,Gael Monfils,S,98,9,44,76,39,32,60,40,,,,,,,56,38,6,65,67,50,23,,30,,,,,,,61,43,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6242&y=2013&r=6&p=MC65
Tokyo,Alexandr Dolgopolov,Janko Tipsarevic,Alexandr Dolgopolov,R16,75,7,57,80,73,27,26,30,,,,,,,77,38,8,62,72,42,19,,50,,,,,,,61,22,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=329&y=2013&r=4&p=D801
Tokyo,Alexandr Dolgopolov,Daniel Brands,Alexandr Dolgopolov,R32,54,8,68,81,53,47,46,33,,,,,,,72,51,4,74,52,35,18,,0,,,,,,,48,27,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=329&y=2013&r=3&p=D801
Tokyo,Alexandr Dolgopolov,Juan Martin Del Potro,Juan Martin Del Potro,Q,127,11,54,72,37,22,62,37,,,,,,,56,37,4,53,77,46,27,,50,,,,,,,62,43,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=329&y=2013&r=5&p=D683
Basel,Alexandr Dolgopolov,Kenny De Schepper,Alexandr Dolgopolov,R32,58,8,60,90,65,24,35,66,,,,,,,80,31,6,56,75,59,10,,0,,,,,,,68,20,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=328&y=2013&r=3&p=D801
ATP World Tour Masters 1000 Shanghai,Alexandr Dolgopolov,Michael Russell,Alexandr Dolgopolov,R64,61,8,70,81,64,39,35,33,,,,,,,76,48,2,69,60,30,18,,0,,,,,,,51,23,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=2&p=D801
ATP World Tour Masters 1000 Shanghai,Alexandr Dolgopolov,Rafael Nadal,Rafael Nadal,R32,59,7,58,75,41,17,58,0,,,,,,,60,22,9,83,82,50,25,,60,,,,,,,77,39,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=3&p=N409
Australian Open Slam,Alexandr Dolgopolov,Richard Berankis,Alexandr Dolgopolov,Round of 128,123,7,58,79,61,32,39,31,37,31,12,12,183,136,71,43,10,50,68,46,21,,33,28,38,17,31,183,146,57,29,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704146
