tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
French Open Slam,Fabio Fognini,Gael Monfils,Gael Monfils,Round of 32,204,3,57,48,52,46,48,38,43,81,17,26,170,140,50,46,5,78,54,52,52,48,56,23,56,9,17,164,155,54,50,http://www.tennisinsight.com/match_stats_popup.php?matchID=185934306
French Open Slam,Fabio Fognini,Andreas Beck,Fabio Fognini,Round of 128,101,7,57,78,46,48,54,50,34,28,6,7,176,147,64,49,1,64,52,48,22,,100,15,37,13,21,181,155,51,36,http://www.tennisinsight.com/match_stats_popup.php?matchID=185934124
ATP World Tour Masters 1000 Indian Wells,Fabio Fognini,Alexandr Dolgopolov,Alexandr Dolgopolov,R16,76,4,55,72,37,17,62,0,,,,,,,56,28,6,50,82,60,27,,50,,,,,,,71,43,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=4&p=D801
ATP World Tour Masters 1000 Monte Carlo,Fabio Fognini,Joao Sousa,Fabio Fognini,R64,141,1,54,61,56,46,43,66,,,,,,,59,43,0,63,53,62,38,,55,,,,,,,56,41,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=2&p=F510
ATP World Tour Masters 1000 Rome,Fabio Fognini,Lukas Rosol,Lukas Rosol,R64,67,2,60,57,54,17,45,0,,,,,,,56,26,2,58,82,61,42,,60,,,,,,,74,43,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=2&p=R685
ATP World Tour Masters 1000 Miami,Fabio Fognini,Roberto Bautista Agut,Fabio Fognini,R32,121,6,54,77,51,40,48,57,,,,,,,65,41,3,70,60,55,22,,50,,,,,,,58,34,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=3&p=F510
ATP World Tour Masters 1000 Miami,Fabio Fognini,Lukas Lacko,Fabio Fognini,R64,72,4,50,88,69,13,30,33,,,,,,,78,35,3,46,86,45,11,,0,,,,,,,64,21,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=2&p=F510
Beijing,Fabio Fognini,Lleyton Hewitt,Fabio Fognini,R16,59,0,37,62,59,52,40,50,,,,,,,60,61,3,52,47,28,37,,100,,,,,,,38,39,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=747&y=2013&r=4&p=F510
ATP World Tour Masters 1000 Miami,Fabio Fognini,Rafael Nadal,Rafael Nadal,R16,62,2,56,62,42,4,57,0,,,,,,,54,8,3,65,95,83,37,,50,,,,,,,91,45,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=4&p=N409
Australian Open Slam,Fabio Fognini,Novak Djokovic,Novak Djokovic,Round of 16,93,3,59,59,35,12,29,0,20,44,11,16,180,139,49,17,7,72,88,71,41,65,27,33,21,12,16,177,159,83,51,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704408
Australian Open Slam,Fabio Fognini,Jarkko Nieminen,Fabio Fognini,Round of 64,167,9,58,74,48,34,52,33,51,60,27,33,179,142,63,39,3,65,66,50,26,,13,24,37,15,24,172,128,61,37,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704229
French Open Slam,Fabio Fognini,Thomaz Bellucci,Fabio Fognini,Round of 64,126,4,65,76,54,31,46,38,30,39,16,24,172,139,68,38,9,58,69,54,24,,20,25,46,12,20,181,149,62,32,http://www.tennisinsight.com/match_stats_popup.php?matchID=185934212
US Open Slam,Fabio Fognini,Rajeev Ram,Rajeev Ram,Round of 128,87,3,54,53,38,23,47,33,25,31,8,15,164,131,46,30,8,73,77,53,48,62,44,24,18,20,27,177,140,70,54,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634108
Davis Cup,Fabio Fognini,Andy Murray,Fabio Fognini,Reverse Singles,139,1,59,70,74,34,26,38,,,,,,,72,44,0,65,66,38,30,,20,,,,,,,56,28,http://www.tennisinsight.com/match_stats_popup.php?matchID=184963103
Australian Open Slam,Fabio Fognini,Alex Bogomolov Jr.,Fabio Fognini,Round of 128,89,3,47,69,52,42,48,30,21,31,6,9,,,60,54,0,54,58,33,31,,33,11,46,8,12,,,46,40,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704157
ATP World Tour Masters 1000 Indian Wells,Fabio Fognini,Aljaz Bedene,Fabio Fognini,R128,81,4,56,73,43,27,56,57,,,,,,,60,46,6,51,72,33,26,,22,,,,,,,53,39,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2013&r=1&p=F510
Acapulco,Fabio Fognini,Aljaz Bedene,Fabio Fognini,R16,136,2,72,67,57,29,42,75,,,,,,,64,37,10,57,70,51,32,,66,,,,,,,62,35,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=807&y=2013&r=4&p=F510
Acapulco,Fabio Fognini,Santiago Giraldo,Fabio Fognini,Q,89,2,64,68,53,35,46,57,,,,,,,63,42,1,63,64,46,31,,50,,,,,,,57,36,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=807&y=2013&r=5&p=F510
Acapulco,Fabio Fognini,David Ferrer,David Ferrer,S,143,1,54,60,52,30,47,16,,,,,,,56,36,2,59,69,55,39,,62,,,,,,,63,43,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=807&y=2013&r=6&p=F401
Acapulco,Fabio Fognini,Stan Wawrinka,Fabio Fognini,R32,90,1,58,74,54,42,45,25,,,,,,,66,44,2,70,57,52,25,,0,,,,,,,55,33,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=807&y=2013&r=3&p=F510
ATP World Tour Masters 1000 Indian Wells,Fabio Fognini,Novak Djokovic,Novak Djokovic,R64,110,1,55,64,33,23,66,40,,,,,,,50,32,7,59,76,54,35,,46,,,,,,,67,49,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2013&r=2&p=D643
