tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
US Open Slam,Ernests Gulbis,Andreas Haider-Maurer,Andreas Haider-Maurer,Round of 128,216,15,58,75,46,27,46,23,15,8,,,,,63,37,10,49,73,52,25,54,29,10,12,,,,,63,37,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634145
French Open Slam,Ernests Gulbis,Lukasz Kubot,Ernests Gulbis,Round of 128,162,11,54,79,59,27,59,67,39,30,8,18,203,168,70,39,9,53,73,47,21,,38,32,36,21,41,205,164,61,30,http://www.tennisinsight.com/match_stats_popup.php?matchID=185934144
Wimbledon Slam,Ernests Gulbis,Fernando Verdasco,Fernando Verdasco,Round of 32,105,9,63,73,37,19,37,0,25,19,,,196,172,60,23,7,69,81,70,27,63,57,29,7,,,188,167,77,40,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604313
Wimbledon Slam,Ernests Gulbis,Jo-Wilfried Tsonga,Ernests Gulbis,Round of 64,119,12,61,77,52,30,52,38,45,24,,,199,177,67,37,9,68,70,48,23,,20,19,14,,,181,149,63,33,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604225
French Open Slam,Ernests Gulbis,Gael Monfils,Gael Monfils,Round of 64,195,3,60,77,46,34,46,33,52,69,,,204,165,65,36,8,64,66,59,23,54,64,29,33,,,186,150,64,35,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224217
ATP World Tour Masters 1000 Cincinnati,Ernests Gulbis,Mikhail Youzhny,Mikhail Youzhny,R64,87,4,53,77,51,22,51,0,,,,,,,65,26,7,67,77,66,22,,66,,,,,,,73,34,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=422&y=2013&r=2&p=Y061
ATP World Tour Masters 1000 Rome,Ernests Gulbis,Rafael Nadal,Rafael Nadal,R16,158,15,60,71,41,37,41,44,,,,,,,59,41,0,76,62,45,28,,36,,,,,,,58,40,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2013&r=4&p=N409
Halle,Ernests Gulbis,Marcos Baghdatis,Ernests Gulbis,R32,99,9,62,81,65,25,65,40,,,,,,,75,29,2,42,75,67,18,,14,,,,,,,70,24,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=500&y=2013&r=3&p=G858
Halle,Ernests Gulbis,Tommy Haas,Tommy Haas,R16,108,15,66,75,41,11,41,0,,,,,,,63,20,5,69,88,57,25,,5,,,,,,,79,36,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=500&y=2013&r=4&p=H355
Stuttgart,Ernests Gulbis,Marcel Granollers,Ernests Gulbis,R32,94,4,56,78,55,35,55,66,,,,,,,68,46,1,67,64,32,21,,33,,,,,,,53,31,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=321&y=2013&r=3&p=G858
Hamburg,Ernests Gulbis,Jan Hajek,Jan Hajek,R32,122,10,61,76,42,30,42,50,,,,,,,63,37,0,63,69,51,23,,25,,,,,,,62,36,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=414&y=2013&r=3&p=H571
