tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
Munich,Tommy Haas,Ernests Gulbis,Tommy Haas,R16,131,8,57,71,57,26,57,50,,,,,,,65,39,7,62,73,38,28,,25,,,,,,,60,34,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=308&y=2013&r=4&p=H355
Stuttgart,Tommy Haas,Fabio Fognini,Fabio Fognini,Q,74,4,58,69,42,35,42,0,,,,,,,58,28,0,50,64,78,30,,23,,,,,,,71,41,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=321&y=2013&r=5&p=F510
French Open Slam,Tommy Haas,Novak Djokovic,Novak Djokovic,Quarter Final,133,4,60,66,43,18,43,100,19,34,,,184,155,57,19,11,64,82,79,34,57,42,46,25,,,178,144,81,43,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224501
Hamburg,Tommy Haas,Carlos Berlocq,Tommy Haas,R16,76,7,60,83,45,37,45,57,,,,,,,68,43,1,75,62,35,16,,25,,,,,,,56,31,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=414&y=2013&r=4&p=H355
Houston,Tommy Haas,Ricardas Berankis,Ricardas Berankis,R16,75,1,59,62,40,26,40,33,,,,,,,53,36,2,60,73,48,37,,66,,,,,,,63,46,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=717&y=2013&r=4&p=BE90
Washington,Tommy Haas,Ivan Dodig,Tommy Haas,R16,141,6,52,74,40,34,40,33,,,,,,,58,38,12,61,65,56,25,,50,,,,,,,61,41,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=418&y=2013&r=4&p=H355
Washington,Tommy Haas,Grigor Dimitrov,Tommy Haas,Q,118,5,56,82,65,15,65,0,,,,,,,75,27,15,63,84,51,18,,0,,,,,,,72,25,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=418&y=2013&r=5&p=H355
French Open Slam,Tommy Haas,Guillaume Rufin,Tommy Haas,Round of 128,116,6,65,86,43,44,43,56,27,41,,,182,158,71,43,2,61,56,58,14,,25,16,33,,,189,139,57,29,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224109
ATP World Tour Masters 1000 Miami,Tommy Haas,David Ferrer,David Ferrer,S,122,1,44,62,46,34,46,44,,,,,,,53,39,7,45,65,55,37,,60,,,,,,,60,46,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2013&r=6&p=F401
Munich,Tommy Haas,Florian Mayer,Tommy Haas,Q,59,3,72,82,53,51,53,50,,,,,,,74,48,1,54,48,56,17,,33,,,,,,,52,25,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=308&y=2013&r=5&p=H355
