tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
Sydney ATP,Lleyton Hewitt,Viktor Troicki,Viktor Troicki,Round of 32,124,3,51,60,50,25,50,43,,,,,,,55,37,13,64,75,42,40,50,38,,,,,,,63,45,http://www.tennisinsight.com/match_stats_popup.php?matchID=172284108
ATP World Tour Masters 1000 Miami,Lleyton Hewitt,Gilles Simon,Gilles Simon,R64,77,2,43,57,41,20,41,66,,,,,,,48,35,2,47,80,50,42,,45,,,,,,,64,51,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2013&r=2&p=SD32
Brisbane,Lleyton Hewitt,Igor Kunitsyn,Lleyton Hewitt,R32,124,8,49,85,60,30,60,40,,,,,,,72,43,7,53,69,41,14,,50,,,,,,,56,27,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=339&y=2013&r=3&p=H432
Brisbane,Lleyton Hewitt,Denis Istomin,Denis Istomin,R16,105,3,57,62,52,17,52,20,,,,,,,58,30,11,69,82,40,37,,25,,,,,,,69,41,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=339&y=2013&r=4&p=I165
Australian Open Slam,Lleyton Hewitt,Cedrik-Marcel Stebe,Lleyton Hewitt,Round of 128,238,8,55,76,49,34,49,32,29,33,20,32,173,140,64,40,13,59,66,50,24,,40,59,64,18,29,181,143,60,36,http://www.tennisinsight.com/match_stats_popup.php?matchID=172354107
Australian Open Slam,Lleyton Hewitt,Milos Raonic,Lleyton Hewitt,Round of 32,186,7,57,74,54,23,54,60,27,32,17,25,168,138,65,35,23,53,77,52,26,,25,58,54,20,39,208,167,65,35,http://www.tennisinsight.com/match_stats_popup.php?matchID=172354302
Australian Open Slam,Lleyton Hewitt,Novak Djokovic,Novak Djokovic,Round of 16,176,3,53,68,36,27,36,67,23,37,23,29,171,139,53,33,15,62,73,56,32,64,67,55,34,11,21,191,153,67,47,http://www.tennisinsight.com/match_stats_popup.php?matchID=172354401
Australian Open Slam,Lleyton Hewitt,Andy Roddick,Lleyton Hewitt,Round of 64,132,11,58,82,52,32,52,43,41,27,15,22,172,138,69,37,9,62,68,54,18,,40,28,22,7,16,193,166,63,31,http://www.tennisinsight.com/match_stats_popup.php?matchID=172354204
Wimbledon Slam,Lleyton Hewitt,Jo-Wilfried Tsonga,Jo-Wilfried Tsonga,Round of 128,,1,59,65,51,18,51,0,12,15,,,172,144,59,25,21,69,82,59,35,49,43,61,14,,,201,152,75,41,http://www.tennisinsight.com/match_stats_popup.php?matchID=175054149
Olympics ATP,Lleyton Hewitt,Sergiy Stakhovsky,Lleyton Hewitt,Round of 64,104,6,60,84,69,30,69,43,,,,,,,78,39,11,53,70,51,16,,50,,,,,,,61,22,http://www.tennisinsight.com/match_stats_popup.php?matchID=175774130
San Jose,Lleyton Hewitt,Blaz Kavcic,Lleyton Hewitt,R32,155,4,49,73,47,20,47,57,,,,,,,60,35,7,64,80,36,26,,30,,,,,,,64,39,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=424&y=2013&r=3&p=H432
Brisbane,Lleyton Hewitt,Roger Federer,Lleyton Hewitt,F,127,4,49,80,50,30,50,36,,,,,,,65,39,13,63,69,45,20,,10,,,,,,,60,34,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=339&y=2014&r=7&p=H432
London / Queen's Club,Lleyton Hewitt,Ivo Karlovic,Ivo Karlovic,R64,65,3,50,67,45,12,45,0,,,,,,,56,16,22,74,87,72,32,,27,,,,,,,83,43,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=311&y=2012&r=2&p=K336
Roland Garros,Lleyton Hewitt,Blaz Kavcic,Blaz Kavcic,R128,230,12,55,62,49,34,49,40,,,,,,,56,35,11,62,65,61,37,,66,,,,,,,64,43,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=520&y=2012&r=1&p=K834
Memphis,Lleyton Hewitt,Michael Russell,Michael Russell,Q,108,2,50,67,38,35,38,66,,,,,,,53,44,2,54,65,44,32,,55,,,,,,,55,46,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=402&y=2014&r=5&p=R368
Newport,Lleyton Hewitt,John Isner,John Isner,F,92,8,60,72,50,20,50,0,,,,,,,63,26,16,70,79,60,27,,33,,,,,,,73,36,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=315&y=2012&r=7&p=I186
Newport,Lleyton Hewitt,Vasek Pospisil,Lleyton Hewitt,R32,49,4,58,75,58,53,58,85,,,,,,,68,68,3,36,46,23,25,,33,,,,,,,31,31,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=315&y=2012&r=3&p=H432
Newport,Lleyton Hewitt,Rajeev Ram,Lleyton Hewitt,S,141,3,48,73,55,33,55,33,,,,,,,64,46,9,50,66,41,26,,42,,,,,,,53,35,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=315&y=2012&r=6&p=H432
Newport,Lleyton Hewitt,Tim Smyczek,Lleyton Hewitt,R16,103,2,54,65,54,38,54,66,,,,,,,60,47,4,64,61,35,35,,44,,,,,,,52,39,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=315&y=2012&r=4&p=H432
