tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
Australian Open Slam,Jerzy Janowicz,Nicolas Almagro,Nicolas Almagro,Round of 32,125,11,70,81,41,14,28,0,27,45,,,193,152,69,20,18,56,86,73,19,59,22,34,25,,,194,146,80,31,http://www.tennisinsight.com/match_stats_popup.php?matchID=177954307
Wimbledon Slam,Jerzy Janowicz,Nicolas Almagro,Jerzy Janowicz,Round of 32,107,30,69,87,59,25,41,60,59,15,,,209,175,78,38,18,72,75,27,13,,100,32,18,,,193,159,62,22,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604311
Wimbledon Slam,Jerzy Janowicz,Jurgen Melzer,Jerzy Janowicz,Round of 16,192,16,57,80,57,29,43,33,54,26,,,185,160,70,31,11,71,71,65,20,,25,57,19,,,165,148,69,30,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604406
ATP World Tour Masters 1000 Paris,Jerzy Janowicz,Gilles Simon,Jerzy Janowicz,S,89,12,68,82,66,27,33,50,,,,,,,77,38,3,46,72,52,17,,0,,,,,,,61,22,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2012&r=6&p=J397
ATP World Tour Masters 1000 Paris,Jerzy Janowicz,Janko Tipsarevic,Jerzy Janowicz,Q,108,11,55,77,67,31,32,50,,,,,,,73,44,2,49,68,43,22,,100,,,,,,,55,26,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2012&r=5&p=J397
Australian Open Slam,Jerzy Janowicz,Simone Bolelli,Jerzy Janowicz,Round of 128,135,12,60,81,43,42,58,67,31,38,,,195,157,66,44,3,56,58,53,19,,40,23,44,,,181,149,56,34,http://www.tennisinsight.com/match_stats_popup.php?matchID=177954128
Auckland,Jerzy Janowicz,Brian Baker,Brian Baker,R32,137,11,59,72,50,22,50,100,,,,,,,63,26,2,67,77,65,27,,11,,,,,,,73,36,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=301&y=2013&r=3&p=BA23
ATP World Tour Masters 1000 Paris,Jerzy Janowicz,David Ferrer,David Ferrer,F,88,11,56,69,44,26,56,25,,,,,,,58,28,5,78,73,64,30,,42,,,,,,,71,41,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2012&r=7&p=F401
ATP World Tour Masters 1000 Rome,Jerzy Janowicz,Santiago Giraldo,Jerzy Janowicz,R64,86,9,56,73,56,37,43,75,,,,,,,66,36,0,78,62,66,26,,0,,,,,,,63,33,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2013&r=2&p=J397
Rotterdam,Jerzy Janowicz,Victor Hanescu,Victor Hanescu,R32,92,10,58,75,46,26,53,33,,,,,,,63,32,8,81,73,40,24,,50,,,,,,,67,36,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=407&y=2013&r=3&p=H528
ATP World Tour Masters 1000 Paris,Jerzy Janowicz,Andy Murray,Jerzy Janowicz,R16,145,22,61,83,42,25,57,50,,,,,,,67,36,9,62,74,47,16,,28,,,,,,,64,32,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2012&r=4&p=J397
ATP World Tour Masters 1000 Paris,Jerzy Janowicz,Marin Cilic,Jerzy Janowicz,R32,87,9,69,86,70,23,29,40,,,,,,,81,35,6,52,76,51,13,,0,,,,,,,64,18,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2012&r=3&p=J397
US Open Slam,Jerzy Janowicz,Dennis Novikov,Dennis Novikov,Round of 128,,12,51,80,56,19,45,50,12,12,,,,,68,32,25,50,81,55,20,44,40,25,6,,,,,68,32,http://www.tennisinsight.com/match_stats_popup.php?matchID=176114162
ATP World Tour Masters 1000 Rome,Jerzy Janowicz,Philipp Kohlschreiber,Philipp Kohlschreiber,R64,139,8,61,65,45,32,54,20,,,,,,,57,38,5,64,67,50,34,,33,,,,,,,61,42,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=2&p=K435
Australian Open Slam,Jerzy Janowicz,Somdev Devvarman,Jerzy Janowicz,Round of 64,240,15,61,70,45,38,55,45,91,88,,,195,154,60,44,9,63,62,47,30,,22,33,20,,,163,135,56,40,http://www.tennisinsight.com/match_stats_popup.php?matchID=177954214
Marseille,Jerzy Janowicz,Julien Benneteau,Jerzy Janowicz,R16,79,14,67,82,63,25,36,14,,,,,,,76,35,9,61,75,48,17,,0,,,,,,,64,23,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=496&y=2013&r=4&p=J397
French Open Slam,Jerzy Janowicz,Jo-Wilfried Tsonga,Jo-Wilfried Tsonga,Round of 32,121,5,57,70,42,24,39,67,31,38,16,19,198,156,58,31,4,54,76,61,30,58,63,24,18,21,29,166,145,69,42,http://www.tennisinsight.com/match_stats_popup.php?matchID=185934315
Marseille,Jerzy Janowicz,Lukas Rosol,Jerzy Janowicz,R32,64,9,62,78,68,27,31,33,,,,,,,74,41,4,56,72,40,21,,0,,,,,,,58,25,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=496&y=2013&r=3&p=J397
ATP World Tour Masters 1000 Paris,Jerzy Janowicz,Santiago Giraldo,Jerzy Janowicz,R32,87,8,54,84,46,39,53,33,,,,,,,67,43,2,56,60,51,15,,25,,,,,,,56,32,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2013&r=3&p=J397
ATP World Tour Masters 1000 Rome,Jerzy Janowicz,Jo-Wilfried Tsonga,Jerzy Janowicz,R32,87,7,65,75,73,27,26,100,,,,,,,74,28,3,71,72,68,25,,0,,,,,,,71,25,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2013&r=3&p=J397
ATP World Tour Masters 1000 Rome,Jerzy Janowicz,Richard Gasquet,Jerzy Janowicz,R16,142,12,59,77,53,30,46,22,,,,,,,68,36,5,63,70,52,22,,33,,,,,,,63,31,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2013&r=4&p=J397
ATP World Tour Masters 1000 Rome,Jerzy Janowicz,Roger Federer,Roger Federer,Q,86,5,60,65,55,28,44,33,,,,,,,61,27,11,75,72,75,34,,33,,,,,,,72,38,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2013&r=5&p=F324
Halle,Jerzy Janowicz,Mirza Basic,Mirza Basic,R32,128,16,67,80,68,23,31,40,,,,,,,76,26,10,61,76,69,19,,33,,,,,,,73,23,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=500&y=2013&r=3&p=BE67
Hamburg,Jerzy Janowicz,Robin Haase,Jerzy Janowicz,R32,136,8,68,74,40,34,59,25,,,,,,,63,38,2,59,65,55,25,,33,,,,,,,61,36,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=414&y=2013&r=3&p=J397
Hamburg,Jerzy Janowicz,Fernando Verdasco,Fernando Verdasco,R16,64,5,61,56,40,25,60,100,,,,,,,50,25,5,61,75,73,43,,66,,,,,,,74,50,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=414&y=2013&r=4&p=V306
Stockholm,Jerzy Janowicz,Guillermo Garcia-Lopez,Jerzy Janowicz,R16,59,5,53,86,70,36,30,50,,,,,,,79,52,2,45,63,34,13,,0,,,,,,,47,20,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=429&y=2013&r=4&p=J397
ATP World Tour Masters 1000 Canada,Jerzy Janowicz,Julien Benneteau,Jerzy Janowicz,R64,122,15,59,77,35,36,64,41,,,,,,,60,41,8,61,63,51,22,,57,,,,,,,59,39,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=421&y=2013&r=2&p=J397
ATP World Tour Masters 1000 Canada,Jerzy Janowicz,Frank Dancevic,Jerzy Janowicz,R32,142,18,54,85,44,22,55,28,,,,,,,66,31,11,58,77,54,14,,37,,,,,,,68,33,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=421&y=2013&r=3&p=J397
