tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
French Open Slam,Philipp Kohlschreiber,Andy Murray,Andy Murray,Round of 32,247,4,62,62,51,27,52,67,57,55,28,42,171,147,58,40,10,48,73,48,38,49,48,85,68,33,47,182,139,60,42,http://www.tennisinsight.com/match_stats_popup.php?matchID=185934308
US Open Slam,Philipp Kohlschreiber,Edouard Roger-Vasselin,Philipp Kohlschreiber,Round of 64,153,13,58,77,62,41,38,30,52,35,14,20,181,144,71,45,3,61,59,48,23,,100,27,44,25,41,181,143,55,29,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634230
Barcelona,Philipp Kohlschreiber,Santiago Giraldo,Santiago Giraldo,Q,67,3,55,69,42,32,57,66,,,,,,,57,37,4,62,67,55,30,,75,,,,,,,62,42,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2014&r=5&p=G725
Barcelona,Philipp Kohlschreiber,Edouard Roger-Vasselin,Philipp Kohlschreiber,R32,81,10,58,81,57,38,42,37,,,,,,,71,36,2,66,61,66,18,,50,,,,,,,63,28,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2014&r=3&p=K435
Barcelona,Philipp Kohlschreiber,Jurgen Melzer,Philipp Kohlschreiber,R16,86,3,59,72,68,32,32,42,,,,,,,70,41,2,65,67,42,27,,0,,,,,,,58,29,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2014&r=4&p=K435
US Open Slam,Philipp Kohlschreiber,John Isner,Philipp Kohlschreiber,Round of 32,167,6,73,77,57,16,43,75,38,17,15,18,167,143,72,26,26,74,84,47,23,,29,65,40,18,31,199,168,74,28,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634315
French Open Slam,Philipp Kohlschreiber,Pere Riba,Philipp Kohlschreiber,Round of 128,107,5,72,72,63,33,38,46,36,26,12,19,172,143,69,45,3,51,67,43,28,,50,30,34,7,14,186,140,55,31,http://www.tennisinsight.com/match_stats_popup.php?matchID=185934129
Munich,Philipp Kohlschreiber,Denis Istomin,Denis Istomin,R32,123,5,62,64,65,32,34,21,,,,,,,65,36,7,76,67,52,35,,42,,,,,,,63,34,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=308&y=2014&r=3&p=I165
Round,,,Players,Time,,Double Faults,,,,,,,,,,,,,,,1st Serve,,,,,,,,,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=615&y=2014&r=7&p=K435
ATP World Tour Masters 1000 Miami,Philipp Kohlschreiber,Marcos Baghdatis,Marcos Baghdatis,R64,136,7,51,78,60,23,39,37,,,,,,,69,30,8,50,76,62,22,,100,,,,,,,69,30,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=2&p=B837
ATP World Tour Masters 1000 Monte Carlo,Philipp Kohlschreiber,Jo-Wilfried Tsonga,Jo-Wilfried Tsonga,R32,113,3,53,72,52,24,47,100,,,,,,,63,33,4,60,75,51,27,,28,,,,,,,66,36,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=3&p=T786
ATP World Tour Masters 1000 Monte Carlo,Philipp Kohlschreiber,Simone Bolelli,Philipp Kohlschreiber,R64,76,2,62,75,68,40,31,66,,,,,,,72,37,2,67,59,70,24,,0,,,,,,,62,27,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=2&p=K435
ATP World Tour Masters 1000 Indian Wells,Philipp Kohlschreiber,Benoit Paire,Benoit Paire,R64,51,0,47,69,44,3,55,0,,,,,,,56,16,8,60,96,64,30,,60,,,,,,,83,43,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2013&r=2&p=PD31
Davis Cup,Philipp Kohlschreiber,Rogerio Dutra Silva,Philipp Kohlschreiber,Singles,124,13,67,77,70,33,30,36,,,,,,,74,39,1,62,67,51,23,,50,,,,,,,61,26,http://www.tennisinsight.com/match_stats_popup.php?matchID=182023101
US Open Slam,Philipp Kohlschreiber,Collin Altamirano,Philipp Kohlschreiber,Round of 128,85,10,58,86,62,37,38,58,37,23,16,17,181,143,76,53,3,58,63,26,14,,0,10,34,4,4,172,133,47,24,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634160
ATP World Tour Masters 1000 Paris,Philipp Kohlschreiber,Jerzy Janowicz,Jerzy Janowicz,R64,83,5,55,74,71,9,28,0,,,,,,,73,21,9,54,90,64,25,,50,,,,,,,78,26,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2012&r=2&p=J397
US Open Slam,Philipp Kohlschreiber,Rafael Nadal,Rafael Nadal,Round of 16,192,12,63,66,50,24,30,0,49,47,22,34,181,143,60,26,3,66,76,70,34,50,24,48,29,23,31,172,136,74,40,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634408
