tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
Wimbledon Slam,Feliciano Lopez,Tommy Haas,Tommy Haas,Round of 32,142,14,54,72,52,25,33,20,42,25,,,193,165,62,27,18,76,75,67,28,48,50,43,22,,,185,162,73,38,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604302
French Open Slam,Feliciano Lopez,Donald Young,Donald Young,Round of 64,115,2,62,69,45,27,38,33,26,48,13,18,186,150,60,31,3,62,73,62,31,55,80,17,32,11,22,172,138,69,40,http://www.tennisinsight.com/match_stats_popup.php?matchID=185934210
US Open Slam,Feliciano Lopez,Andy Murray,Andy Murray,Round of 32,,18,50,86,53,26,50,31,68,55,,,194,160,70,35,16,61,74,50,14,47,25,53,48,,,173,135,65,30,http://www.tennisinsight.com/match_stats_popup.php?matchID=176114305
Memphis,Feliciano Lopez,Jack Sock,Feliciano Lopez,Q,82,7,60,73,59,42,40,40,,,,,,,67,46,3,59,57,48,26,,20,,,,,,,53,32,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=402&y=2013&r=5&p=L397
Australian Open Slam,Feliciano Lopez,Radek Stepanek,Radek Stepanek,Round of 64,115,14,59,71,35,21,50,0,30,35,,,193,155,57,29,13,72,79,50,29,65,56,31,14,,,180,149,71,43,http://www.tennisinsight.com/match_stats_popup.php?matchID=177954202
Memphis,Feliciano Lopez,Tommy Haas,Feliciano Lopez,R16,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,,0,,,,,,,0,0,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=402&y=2013&r=4&p=L397
ATP World Tour Masters 1000 Rome,Feliciano Lopez,Marcel Granollers,Marcel Granollers,R64,82,1,69,63,35,16,64,100,,,,,,,54,29,2,57,83,52,36,,44,,,,,,,70,45,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=2&p=G710
Memphis,Feliciano Lopez,Benjamin Becker,Feliciano Lopez,R32,110,15,59,76,53,19,46,22,,,,,,,67,30,13,50,80,58,23,,14,,,,,,,69,33,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=402&y=2013&r=3&p=L397
Gstaad,Feliciano Lopez,Jan Hernych,Feliciano Lopez,R32,72,7,74,88,66,28,33,50,,,,,,,83,35,10,63,71,53,11,,0,,,,,,,64,16,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=314&y=2013&r=3&p=L397
US Open Slam,Feliciano Lopez,Robin Haase,Feliciano Lopez,Round of 128,,17,54,85,69,31,31,33,17,3,,,,,78,37,8,54,69,56,15,,0,8,4,,,,,63,22,http://www.tennisinsight.com/match_stats_popup.php?matchID=176114120
Gstaad,Feliciano Lopez,Robin Haase,Robin Haase,S,108,8,53,76,45,14,54,33,,,,,,,62,30,10,52,85,52,23,,42,,,,,,,70,37,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=314&y=2013&r=6&p=H756
Australian Open Slam,Feliciano Lopez,Arnau Brugues-Davi,Feliciano Lopez,Round of 128,84,26,64,90,59,34,41,40,26,3,,,,,79,40,3,51,66,55,10,,0,3,2,,,,,60,21,http://www.tennisinsight.com/match_stats_popup.php?matchID=177954103
Gstaad,Feliciano Lopez,Stan Wawrinka,Feliciano Lopez,Q,124,8,55,76,45,28,54,15,,,,,,,62,40,15,54,71,45,23,,14,,,,,,,59,37,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=314&y=2013&r=5&p=L397
ATP World Tour Masters 1000 Canada,Feliciano Lopez,Ernests Gulbis,Ernests Gulbis,R64,100,6,54,69,50,17,50,50,,,,,,,60,24,6,52,82,67,30,,40,,,,,,,75,39,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=421&y=2013&r=2&p=G858
French Open Slam,Feliciano Lopez,Marcel Granollers,Feliciano Lopez,Round of 128,221,12,58,65,57,32,43,67,60,74,,,185,154,61,36,7,69,68,53,35,,40,33,48,,,176,141,64,39,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224145
Wimbledon Slam,Feliciano Lopez,Gilles Simon,Feliciano Lopez,Round of 128,122,21,71,92,68,31,32,30,42,12,,,197,165,85,36,5,60,69,56,8,,0,40,26,,,170,133,64,15,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604105
