tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
French Open Slam,Gael Monfils,Tommy Robredo,Tommy Robredo,Round of 32,226,2,68,65,51,33,51,33,61,68,,,174,138,60,34,4,70,67,64,35,49,35,50,52,,,173,143,66,40,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224309
Halle,Gael Monfils,Milos Raonic,Gael Monfils,R32,62,7,66,78,64,28,64,33,,,,,,,74,40,8,63,71,36,21,,0,,,,,,,59,26,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=500&y=2013&r=3&p=MC65
Houston,Gael Monfils,Nicolas Almagro,Nicolas Almagro,R16,86,3,65,60,42,25,42,28,,,,,,,54,32,3,43,74,62,40,,57,,,,,,,67,45,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=717&y=2013&r=4&p=A479
Australian Open Slam,Gael Monfils,Alexandr Dolgopolov,Gael Monfils,Round of 128,165,26,61,83,44,33,44,44,56,57,,,193,156,68,39,7,56,67,53,17,,57,46,55,,,187,146,61,32,http://www.tennisinsight.com/match_stats_popup.php?matchID=177954144
Bucharest,Gael Monfils,Grigor Dimitrov,Grigor Dimitrov,S,16,0,73,45,25,0,25,0,,,,,,,40,20,2,73,100,25,54,,100,,,,,,,80,60,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=773&y=2014&r=6&p=D875
Australian Open Slam,Gael Monfils,Gilles Simon,Gilles Simon,Round of 32,283,9,66,67,43,44,43,36,49,94,,,170,152,59,45,0,69,56,54,33,57,32,45,84,,,145,128,55,41,http://www.tennisinsight.com/match_stats_popup.php?matchID=177954311
Bucharest,Gael Monfils,Daniel Brands,Daniel Brands,R16,59,1,78,64,20,31,20,12,,,,,,,55,33,5,66,68,61,35,,66,,,,,,,66,44,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=773&y=2013&r=4&p=BC72
Bucharest,Gael Monfils,Filippo Volandri,Gael Monfils,R32,66,4,67,69,50,48,50,62,,,,,,,63,50,0,60,51,46,30,,50,,,,,,,49,36,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=773&y=2013&r=3&p=MC65
Munich,Gael Monfils,Jurgen Melzer,Gael Monfils,R32,58,15,71,86,60,36,60,75,,,,,,,78,41,1,68,63,46,13,,0,,,,,,,58,21,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=308&y=2013&r=3&p=MC65
Munich,Gael Monfils,Daniel Brands,Daniel Brands,R16,70,5,65,68,45,28,45,25,,,,,,,60,27,6,69,71,75,31,,50,,,,,,,72,39,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=308&y=2013&r=4&p=BC72
ATP World Tour Masters 1000 Monte Carlo,Gael Monfils,Albert Montanes,Albert Montanes,R64,108,9,61,70,44,30,44,50,,,,,,,60,38,2,60,69,50,29,,33,,,,,,,61,39,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2013&r=2&p=M824
Bordeaux,Gael Monfils,Josselin Ouanna,Gael Monfils,R32,76,11,58,96,59,32,59,25,,,,,,,81,44,5,66,68,32,3,,0,,,,,,,56,18,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=3824&y=2013&r=3&p=MC65
Australian Open Slam,Gael Monfils,Yen-Hsun Lu,Gael Monfils,Round of 64,217,29,57,77,42,25,42,50,59,72,,,187,157,62,35,10,65,75,46,23,,50,45,49,,,188,152,65,38,http://www.tennisinsight.com/match_stats_popup.php?matchID=177954222
Bordeaux,Gael Monfils,Edouard Roger-Vasselin,Gael Monfils,R16,91,9,63,72,41,33,41,62,,,,,,,60,34,4,85,66,60,28,,42,,,,,,,65,39,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=3824&y=2013&r=4&p=MC65
Doha,Gael Monfils,Daniel Brands,Gael Monfils,Q,49,6,76,84,50,48,50,57,,,,,,,76,54,2,69,51,30,15,,0,,,,,,,45,23,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=451&y=2014&r=5&p=MC65
Doha,Gael Monfils,Florian Mayer,Gael Monfils,S,55,9,76,76,41,45,41,40,,,,,,,68,50,1,67,54,41,23,,50,,,,,,,50,32,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=451&y=2014&r=6&p=MC65
French Open Slam,Gael Monfils,Victor Hanescu,Gael Monfils,Round of 128,151,10,61,68,53,41,53,47,58,47,23,28,189,151,62,47,1,75,59,34,32,,33,28,28,13,26,176,143,53,38,http://www.tennisinsight.com/match_stats_popup.php?matchID=185934121
Stuttgart,Gael Monfils,Philipp Kohlschreiber,Philipp Kohlschreiber,Q,71,0,54,70,38,30,38,40,,,,,,,56,33,3,58,69,60,29,,66,,,,,,,66,43,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=321&y=2013&r=5&p=K435
Doha,Gael Monfils,Rafael Nadal,Rafael Nadal,F,120,13,72,66,45,26,45,20,,,,,,,60,24,2,76,73,84,33,,45,,,,,,,75,39,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=451&y=2014&r=7&p=N409
Umag,Gael Monfils,Mate Pavic,Gael Monfils,R32,81,0,70,73,26,56,26,60,,,,,,,59,55,3,50,43,45,26,,30,,,,,,,44,40,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=439&y=2013&r=3&p=MC65
Hamburg,Gael Monfils,Andrey Golubev,Gael Monfils,R64,83,2,68,68,45,43,45,45,,,,,,,60,50,3,58,56,41,31,,25,,,,,,,50,39,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=414&y=2013&r=2&p=MC65
Stuttgart,Gael Monfils,Paul-Henri Mathieu,Gael Monfils,R32,101,16,64,72,73,38,73,14,,,,,,,72,38,0,46,61,60,27,,0,,,,,,,61,27,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=321&y=2013&r=3&p=MC65
Halle,Gael Monfils,Jan Hernych,Gael Monfils,R16,75,7,64,73,52,46,52,50,,,,,,,65,50,0,53,53,46,26,,14,,,,,,,50,34,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=500&y=2013&r=4&p=MC65
French Open Slam,Gael Monfils,Tomas Berdych,Gael Monfils,Round of 128,243,26,72,79,54,24,54,38,66,44,,,190,149,72,32,11,66,76,53,21,,20,72,57,,,195,156,68,28,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224133
Stuttgart,Gael Monfils,Florian Mayer,Gael Monfils,R16,55,4,51,70,57,53,57,75,,,,,,,64,58,0,69,46,29,30,,50,,,,,,,41,35,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=321&y=2013&r=4&p=MC65
Umag,Gael Monfils,Blaz Kavcic,Gael Monfils,R16,70,0,85,65,75,36,75,80,,,,,,,67,47,1,69,63,29,34,,0,,,,,,,52,32,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=439&y=2013&r=4&p=MC65
Umag,Gael Monfils,Fabio Fognini,Fabio Fognini,S,115,2,68,57,42,37,42,31,,,,,,,52,45,1,58,62,45,42,,37,,,,,,,55,47,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=439&y=2013&r=6&p=F510
Winston-Salem,Gael Monfils,Guido Pella,Gael Monfils,R32,53,6,58,87,64,43,64,44,,,,,,,78,48,0,51,56,46,12,,0,,,,,,,51,21,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6242&y=2013&r=3&p=MC65
Umag,Gael Monfils,Albert Montanes,Gael Monfils,Q,136,4,77,62,39,43,39,38,,,,,,,57,46,1,52,56,50,37,,33,,,,,,,53,42,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=439&y=2013&r=5&p=MC65
Winston-Salem,Gael Monfils,Tommy Robredo,Gael Monfils,R16,138,5,76,78,40,36,40,27,,,,,,,69,37,1,58,63,61,21,,50,,,,,,,62,30,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6242&y=2013&r=4&p=MC65
Tokyo,Gael Monfils,Jo-Wilfried Tsonga,Jo-Wilfried Tsonga,R32,91,11,53,66,58,21,58,0,,,,,,,63,30,8,54,78,58,33,,25,,,,,,,69,36,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=329&y=2013&r=3&p=T786
Winston-Salem,Gael Monfils,Fernando Verdasco,Gael Monfils,Q,133,7,70,75,68,28,68,30,,,,,,,73,38,11,52,71,51,24,,10,,,,,,,61,26,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6242&y=2013&r=5&p=MC65
Winston-Salem,Gael Monfils,Alexandr Dolgopolov,Gael Monfils,S,98,6,65,67,50,23,50,30,,,,,,,61,43,9,44,76,39,32,,40,,,,,,,56,38,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6242&y=2013&r=6&p=MC65
Winston-Salem,Gael Monfils,Jurgen Melzer,Jurgen Melzer,F,54,1,73,58,53,28,53,0,,,,,,,57,28,2,71,72,70,41,,50,,,,,,,71,42,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6242&y=2013&r=7&p=M762
ATP World Tour Masters 1000 Shanghai,Gael Monfils,Vasek Pospisil,Gael Monfils,R32,111,7,65,74,59,16,59,28,,,,,,,69,35,2,55,83,40,25,,16,,,,,,,64,30,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=3&p=MC65
ATP World Tour Masters 1000 Shanghai,Gael Monfils,Tatsuma Ito,Gael Monfils,R64,54,15,66,83,55,37,55,50,,,,,,,74,42,3,68,62,46,16,,0,,,,,,,57,25,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=2&p=MC65
Valencia,Gael Monfils,David Ferrer,David Ferrer,R32,62,2,53,62,33,17,33,33,,,,,,,48,25,4,61,82,61,37,,80,,,,,,,74,51,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=573&y=2013&r=3&p=F401
ATP World Tour Masters 1000 Shanghai,Gael Monfils,Novak Djokovic,Novak Djokovic,Q,143,9,65,65,47,20,47,50,,,,,,,59,30,4,62,79,53,34,,62,,,,,,,69,40,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=5&p=D643
Doha,Gael Monfils,Santiago Giraldo,Gael Monfils,R32,78,9,67,86,66,35,66,22,,,,,,,80,41,2,61,64,50,13,,0,,,,,,,58,20,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=451&y=2014&r=3&p=MC65
Montpellier,Gael Monfils,Lukasz Kubot,Gael Monfils,R32,118,11,72,83,36,25,36,25,,,,,,,70,34,9,57,74,54,16,,14,,,,,,,65,29,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=375&y=2014&r=3&p=MC65
Doha,Gael Monfils,Richard Gasquet,Gael Monfils,R16,63,9,69,86,50,45,50,57,,,,,,,75,42,0,86,54,75,13,,100,,,,,,,57,24,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=451&y=2014&r=4&p=MC65
Montpellier,Gael Monfils,Joao Sousa,Gael Monfils,R16,65,9,67,77,58,38,58,37,,,,,,,71,45,2,62,61,43,22,,0,,,,,,,54,28,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=375&y=2014&r=4&p=MC65
Montpellier,Gael Monfils,Denis Istomin,Gael Monfils,Q,69,7,69,73,58,40,58,66,,,,,,,69,40,3,73,60,56,26,,33,,,,,,,59,30,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=375&y=2014&r=5&p=MC65
Montpellier,Gael Monfils,Richard Gasquet,Gael Monfils,F,85,9,56,92,63,38,63,40,,,,,,,80,38,0,75,61,61,7,,0,,,,,,,61,20,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=375&y=2014&r=7&p=MC65
Vienna,Gael Monfils,Jaroslav Pospisil,Jaroslav Pospisil,R32,115,16,64,62,32,38,32,33,,,,,,,51,34,2,50,61,69,37,,36,,,,,,,65,48,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=337&y=2013&r=3&p=P605
ATP World Tour Masters 1000 Shanghai,Gael Monfils,Roger Federer,Gael Monfils,R16,129,15,58,80,55,28,55,30,,,,,,,70,34,3,71,71,51,19,,20,,,,,,,65,29,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=4&p=MC65
Montpellier,Gael Monfils,Jarkko Nieminen,Gael Monfils,S,79,15,76,80,43,41,43,36,,,,,,,71,42,0,69,58,56,19,,100,,,,,,,57,28,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=375&y=2014&r=6&p=MC65
ATP World Tour Masters 1000 Monte Carlo,Gael Monfils,Kevin Anderson,Gael Monfils,R64,92,7,59,86,72,35,72,14,,,,,,,80,35,6,65,64,64,13,,0,,,,,,,64,19,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=2&p=MC65
Rotterdam,Gael Monfils,Juan Martin Del Potro,Juan Martin Del Potro,R32,101,7,59,77,44,26,44,40,,,,,,,63,33,2,67,73,52,22,,75,,,,,,,66,36,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=407&y=2014&r=3&p=D683
ATP World Tour Masters 1000 Indian Wells,Gael Monfils,Sergiy Stakhovsky,Gael Monfils,R64,61,8,71,68,46,46,46,62,,,,,,,62,52,3,64,53,38,31,,50,,,,,,,48,37,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=2&p=MC65
Halle,Gael Monfils,Tommy Haas,Tommy Haas,Q,114,14,74,72,48,13,48,0,,,,,,,66,24,4,64,86,56,27,,37,,,,,,,75,33,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=500&y=2013&r=5&p=H355
ATP World Tour Masters 1000 Indian Wells,Gael Monfils,Fabio Fognini,Fabio Fognini,R32,110,8,51,62,36,33,36,45,,,,,,,50,41,1,48,66,50,37,,53,,,,,,,58,50,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=3&p=F510
ATP World Tour Masters 1000 Madrid,Gael Monfils,Philipp Kohlschreiber,Gael Monfils,R64,130,11,63,75,48,25,48,50,,,,,,,65,37,3,62,74,42,24,,33,,,,,,,62,34,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2012&r=2&p=MC65
ATP World Tour Masters 1000 Miami,Gael Monfils,Juan Monaco,Juan Monaco,R32,139,8,51,75,34,30,34,33,,,,,,,55,36,2,65,69,51,24,,41,,,,,,,63,44,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2012&r=3&p=MA21
Hamburg,Gael Monfils,Juan Monaco,Juan Monaco,R32,73,0,69,60,26,35,26,42,,,,,,,50,41,0,75,64,40,39,,71,,,,,,,58,50,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=414&y=2013&r=3&p=MA21
ATP World Tour Masters 1000 Monte Carlo,Gael Monfils,Pablo Carreno Busta,Pablo Carreno Busta,R32,98,5,63,59,52,32,52,22,,,,,,,56,38,2,63,67,51,40,,57,,,,,,,61,43,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=3&p=CD85
ATP World Tour Masters 1000 Rome,Gael Monfils,Alex Bogomolov Jr.,Gael Monfils,R64,80,4,80,70,55,41,55,35,,,,,,,67,48,0,66,58,37,29,,50,,,,,,,51,32,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2012&r=2&p=MC65
ATP World Tour Masters 1000 Madrid,Gael Monfils,Igor Andreev,Gael Monfils,R32,39,3,59,68,69,46,69,100,,,,,,,68,38,0,57,53,72,31,,0,,,,,,,61,31,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2012&r=3&p=MC65
ATP World Tour Masters 1000 Madrid,Gael Monfils,Tomas Berdych,Tomas Berdych,R16,50,2,51,45,31,8,31,0,,,,,,,38,12,4,71,91,77,55,,83,,,,,,,87,61,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2012&r=4&p=BA47
ATP World Tour Masters 1000 Miami,Gael Monfils,Guillermo Garcia-Lopez,Guillermo Garcia-Lopez,R64,73,2,59,57,29,18,29,100,,,,,,,45,35,2,43,81,51,42,,60,,,,,,,64,54,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=2&p=G476
Bucharest,Gael Monfils,Ricardas Berankis,Gael Monfils,R16,59,7,70,74,50,52,50,80,,,,,,,67,52,0,54,47,47,25,,0,,,,,,,47,32,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=773&y=2014&r=4&p=MC65
Bucharest,Gael Monfils,Paul-Henri Mathieu,Gael Monfils,Q,141,5,66,72,47,33,47,23,,,,,,,64,39,1,72,66,44,27,,28,,,,,,,60,36,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=773&y=2014&r=5&p=MC65
