tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
French Open Slam,Kei Nishikori,Martin Klizan,Martin Klizan,Round of 128,117,1,50,67,38,26,38,40,23,40,3,5,177,141,52,34,3,53,74,58,33,62,60,24,27,4,6,176,135,66,48,http://www.tennisinsight.com/match_stats_popup.php?matchID=185934156
US Open Slam,Kei Nishikori,Daniel Evans,Daniel Evans,Round of 128,117,3,54,64,38,24,38,22,24,38,10,18,168,138,52,37,8,48,76,51,36,63,67,27,32,16,24,185,152,63,48,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634156
Davis Cup,Kei Nishikori,Alejandro Falla,Kei Nishikori,Singles,110,3,67,68,66,29,66,45,,,,,,,67,43,7,55,71,41,32,,67,,,,,,,57,33,http://www.tennisinsight.com/match_stats_popup.php?matchID=182053101
ATP World Tour Masters 1000 Indian Wells,Kei Nishikori,Tommy Haas,Tommy Haas,R32,91,2,49,70,35,36,35,66,,,,,,,52,39,1,56,63,57,30,,80,,,,,,,60,47,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=3&p=H355
ATP World Tour Masters 1000 Miami,Kei Nishikori,Grigor Dimitrov,Kei Nishikori,R32,102,9,59,86,53,26,53,50,,,,,,,72,34,11,60,73,53,13,,0,,,,,,,65,27,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=3&p=N552
Delray Beach,Kei Nishikori,Teymuraz Gabashvili,Teymuraz Gabashvili,R16,19,1,66,66,33,22,33,0,,,,,,,55,18,2,56,77,85,33,,33,,,,,,,81,44,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=499&y=2014&r=4&p=G681
ATP World Tour Masters 1000 Miami,Kei Nishikori,David Ferrer,Kei Nishikori,R16,185,4,56,67,40,37,40,38,,,,,,,55,42,2,58,62,50,32,,50,,,,,,,57,44,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=4&p=N552
ATP World Tour Masters 1000 Miami,Kei Nishikori,Roger Federer,Kei Nishikori,Q,129,6,65,64,48,29,48,41,,,,,,,59,39,7,53,70,48,35,,44,,,,,,,60,40,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=5&p=N552
Australian Open Slam,Kei Nishikori,Marinko Matosevic,Kei Nishikori,Round of 128,221,6,66,72,52,34,52,47,44,50,11,16,173,137,65,43,14,61,66,43,28,,33,46,63,16,30,176,143,57,35,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704108
ATP World Tour Masters 1000 Indian Wells,Kei Nishikori,Santiago Giraldo,Kei Nishikori,R64,58,1,62,77,75,35,75,50,,,,,,,76,50,1,57,64,30,22,,0,,,,,,,50,23,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=2&p=N552
ATP World Tour Masters 1000 Madrid,Kei Nishikori,Rafael Nadal,Rafael Nadal,F,103,2,58,65,48,27,48,50,,,,,,,58,30,4,78,72,58,34,,33,,,,,,,69,41,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=7&p=N409
ATP World Tour Masters 1000 Miami,Kei Nishikori,Marinko Matosevic,Kei Nishikori,R64,79,6,62,67,45,37,45,54,,,,,,,59,57,5,54,62,18,32,,40,,,,,,,42,40,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=2&p=N552
Australian Open Slam,Kei Nishikori,Dusan Lajovic,Kei Nishikori,Round of 64,109,5,64,83,52,42,52,50,30,27,10,14,174,142,72,51,7,70,58,30,17,,20,17,49,4,7,167,140,49,28,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704204
Australian Open Slam,Kei Nishikori,Donald Young,Kei Nishikori,Round of 32,107,3,54,71,60,51,60,67,30,27,3,7,176,146,66,59,1,64,49,27,29,,25,17,32,15,30,162,140,41,34,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704302
Australian Open Slam,Kei Nishikori,Rafael Nadal,Rafael Nadal,Round of 16,197,2,66,67,41,24,41,40,36,51,20,25,178,148,58,35,12,71,76,39,33,59,63,36,28,10,19,185,148,65,42,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704401
Davis Cup,Kei Nishikori,Santiago Giraldo,Kei Nishikori,Reverse Singles,103,6,63,89,62,30,62,56,,,,,,,79,45,7,49,70,41,11,,0,,,,,,,55,21,http://www.tennisinsight.com/match_stats_popup.php?matchID=182053103
ATP World Tour Masters 1000 Paris,Kei Nishikori,Benoit Paire,Kei Nishikori,R32,95,4,65,76,50,38,50,40,,,,,,,67,49,6,39,61,43,23,,40,,,,,,,50,32,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2012&r=3&p=N552
Tokyo,Kei Nishikori,Milos Raonic,Kei Nishikori,F,128,0,64,66,75,29,75,40,,,,,,,69,41,14,62,70,38,34,,40,,,,,,,58,30,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=329&y=2012&r=7&p=N552
Tokyo,Kei Nishikori,Marcos Baghdatis,Kei Nishikori,S,61,2,65,75,80,33,80,66,,,,,,,76,45,0,50,66,41,25,,0,,,,,,,54,23,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=329&y=2012&r=6&p=N552
ATP World Tour Masters 1000 Miami,Kei Nishikori,Novak Djokovic,Novak Djokovic,S,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,,0,,,,,,,0,0,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=6&p=D643
ATP World Tour Masters 1000 Cincinnati,Kei Nishikori,Feliciano Lopez,Feliciano Lopez,R64,92,5,67,69,54,20,54,25,,,,,,,64,30,12,48,79,61,30,,40,,,,,,,70,35,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=422&y=2013&r=2&p=L397
Tokyo,Kei Nishikori,Tomas Berdych,Kei Nishikori,Q,118,1,59,72,52,35,52,30,,,,,,,64,43,6,56,64,45,27,,66,,,,,,,56,35,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=329&y=2012&r=5&p=N552
ATP World Tour Masters 1000 Shanghai,Kei Nishikori,Sam Querrey,Sam Querrey,R32,101,3,58,60,48,11,48,42,,,,,,,55,31,20,57,88,42,40,,36,,,,,,,68,44,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2012&r=3&p=Q927
ATP World Tour Masters 1000 Shanghai,Kei Nishikori,Di Wu,Kei Nishikori,R64,72,1,65,81,58,45,58,44,,,,,,,73,51,0,60,54,39,18,,33,,,,,,,48,26,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2012&r=2&p=N552
