tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
French Open Slam,Gilles Simon,Pablo Cuevas,Gilles Simon,Round of 64,160,4,57,72,60,42,40,59,54,41,,,169,127,67,51,2,56,58,37,28,,40,23,39,,,161,139,49,33,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224229
ATP World Tour Masters 1000 Monte Carlo,Gilles Simon,Roberto Bautista Agut,Roberto Bautista Agut,R64,116,2,50,52,29,50,70,40,,,,,,,41,50,0,78,49,50,47,,70,,,,,,,49,58,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2013&r=2&p=BD06
Australian Open Slam,Gilles Simon,Filippo Volandri,Gilles Simon,Round of 128,124,8,58,67,67,44,33,50,29,35,,,163,128,67,46,1,65,56,50,33,,60,21,53,,,165,134,54,33,http://www.tennisinsight.com/match_stats_popup.php?matchID=177954141
French Open Slam,Gilles Simon,Lleyton Hewitt,Gilles Simon,Round of 128,199,7,59,60,52,40,48,71,41,49,,,176,131,57,50,4,49,60,41,40,,90,44,72,,,170,137,50,43,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224157
Nice,Gilles Simon,Pablo Andujar,Pablo Andujar,Q,103,7,57,68,50,30,50,14,,,,,,,60,31,1,62,69,68,31,,37,,,,,,,68,39,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6120&y=2013&r=5&p=A596
ATP World Tour Masters 1000 Miami,Gilles Simon,Lleyton Hewitt,Gilles Simon,R64,77,2,47,80,50,42,50,45,,,,,,,64,51,2,43,57,41,20,,66,,,,,,,48,35,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2013&r=2&p=SD32
ATP World Tour Masters 1000 Indian Wells,Gilles Simon,Kevin Anderson,Kevin Anderson,R16,108,1,55,65,52,30,47,75,,,,,,,60,31,4,54,69,66,34,,42,,,,,,,68,40,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2013&r=4&p=A678
ATP World Tour Masters 1000 Miami,Gilles Simon,Grega Zemlja,Gilles Simon,R32,96,0,56,70,50,33,50,33,,,,,,,61,46,0,57,66,35,29,,33,,,,,,,53,38,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2013&r=3&p=SD32
ATP World Tour Masters 1000 Miami,Gilles Simon,Tommy Haas,Tommy Haas,Q,64,0,46,60,44,17,55,0,,,,,,,52,21,2,68,82,69,39,,50,,,,,,,78,48,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2013&r=5&p=H355
Australian Open Slam,Gilles Simon,Gael Monfils,Gilles Simon,Round of 32,283,0,69,56,54,33,46,32,45,84,,,145,128,55,41,9,66,67,43,44,,36,49,94,,,170,152,59,45,http://www.tennisinsight.com/match_stats_popup.php?matchID=177954311
