tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
French Open Slam,Fernando Verdasco,Michael Llodra,Fernando Verdasco,Round of 128,152,3,76,73,73,34,73,23,42,18,11,21,171,147,73,39,6,68,66,51,27,,17,38,36,33,61,182,141,61,27,http://www.tennisinsight.com/match_stats_popup.php?matchID=185934128
Wimbledon Slam,Fernando Verdasco,Kenny De Schepper,Fernando Verdasco,Round of 16,109,9,64,86,64,33,64,29,42,13,,,191,162,78,40,9,67,67,47,14,,50,26,12,,,201,168,60,22,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604407
Wimbledon Slam,Fernando Verdasco,Andy Murray,Andy Murray,Quarter Final,207,11,59,72,48,23,48,43,45,45,,,191,168,62,30,14,69,77,55,28,52,45,36,27,,,183,136,70,38,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604504
Australian Open Slam,Fernando Verdasco,Ze Zhang,Fernando Verdasco,Round of 128,146,20,61,84,53,31,53,36,44,40,7,11,188,160,72,38,7,58,69,53,16,,20,20,48,10,17,188,155,62,28,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704129
Australian Open Slam,Fernando Verdasco,Xavier Malisse,Fernando Verdasco,Round of 64,117,2,72,68,62,40,62,53,31,30,,,177,155,66,55,3,49,60,30,32,,33,14,45,,,182,141,45,34,http://www.tennisinsight.com/match_stats_popup.php?matchID=177954206
ATP World Tour Masters 1000 Rome,Fernando Verdasco,Andrey Golubev,Andrey Golubev,R64,94,0,69,54,36,34,36,80,,,,,,,49,41,2,67,65,45,45,,75,,,,,,,58,50,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=2&p=G806
Australian Open Slam,Fernando Verdasco,Kevin Anderson,Kevin Anderson,Round of 32,226,5,67,68,55,24,55,44,52,42,,,178,155,64,31,9,76,76,46,32,45,36,55,46,,,196,171,69,36,http://www.tennisinsight.com/match_stats_popup.php?matchID=177954303
Umag,Fernando Verdasco,Andrey Kuznetsov,Fernando Verdasco,Q,85,2,73,80,37,40,37,57,,,,,,,68,50,2,64,60,31,20,,0,,,,,,,50,31,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=439&y=2012&r=5&p=V306
Umag,Fernando Verdasco,Ernests Gulbis,Fernando Verdasco,R16,126,4,64,83,40,34,40,27,,,,,,,68,45,8,51,65,43,16,,33,,,,,,,54,32,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=439&y=2012&r=4&p=V306
Davis Cup,Fernando Verdasco,Alexandr Dolgopolov,Fernando Verdasco,Singles,153,3,80,70,52,28,52,63,,,,,,,66,42,5,48,72,46,30,,75,,,,,,,58,34,http://www.tennisinsight.com/match_stats_popup.php?matchID=181983101
US Open Slam,Fernando Verdasco,Ivan Dodig,Ivan Dodig,Round of 128,198,5,59,74,43,33,43,35,64,63,15,22,186,157,61,40,10,57,67,51,26,57,67,27,27,22,41,185,148,60,39,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634161
French Open Slam,Fernando Verdasco,Marc Gicquel,Fernando Verdasco,Round of 128,91,4,64,82,44,44,44,54,25,22,,,186,151,69,53,1,53,56,36,18,,33,11,25,,,192,156,47,31,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224115
Hamburg,Fernando Verdasco,Julian Reister,Julian Reister,R32,65,2,68,61,37,14,37,0,,,,,,,54,22,5,57,85,66,38,,50,,,,,,,77,46,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=414&y=2012&r=3&p=R782
US Open Slam,Fernando Verdasco,Roger Federer,Roger Federer,Round of 32,,6,61,74,41,13,41,0,27,35,,,183,148,61,21,7,67,87,63,26,59,38,30,19,,,180,152,79,39,http://www.tennisinsight.com/match_stats_popup.php?matchID=176114301
Umag,Fernando Verdasco,Marcel Granollers,Marcel Granollers,S,172,3,71,53,58,36,58,100,,,,,,,55,36,5,61,63,63,46,,40,,,,,,,63,45,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=439&y=2012&r=6&p=G710
Bangkok,Fernando Verdasco,Donald Young,Fernando Verdasco,R16,99,3,87,71,50,33,50,22,,,,,,,69,36,2,72,66,57,28,,0,,,,,,,63,30,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1720&y=2012&r=4&p=V306
Bangkok,Fernando Verdasco,Janko Tipsarevic,Janko Tipsarevic,Q,111,2,77,68,50,25,50,22,,,,,,,64,32,7,65,74,55,31,,60,,,,,,,67,35,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1720&y=2012&r=5&p=T742
ATP World Tour Masters 1000 Shanghai,Fernando Verdasco,Go Soeda,Fernando Verdasco,R64,88,6,66,71,47,40,47,66,,,,,,,63,49,1,49,60,41,28,,16,,,,,,,50,36,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2012&r=2&p=V306
ATP World Tour Masters 1000 Shanghai,Fernando Verdasco,Marin Cilic,Marin Cilic,R16,128,3,70,65,46,23,46,25,,,,,,,59,31,6,59,76,55,34,,25,,,,,,,68,40,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2012&r=4&p=C977
Australian Open Slam,Fernando Verdasco,Teymuraz Gabashvili,Teymuraz Gabashvili,Round of 64,211,12,60,70,54,36,54,60,56,71,15,26,181,154,64,38,2,68,64,57,30,46,29,24,51,6,10,172,141,62,36,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704215
French Open Slam,Fernando Verdasco,Janko Tipsarevic,Janko Tipsarevic,Round of 64,274,10,58,70,49,32,49,29,74,89,,,,,61,37,9,64,68,55,30,51,25,49,52,,,,,63,39,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224208
Bangkok,Fernando Verdasco,Tatsuma Ito,Fernando Verdasco,R32,124,4,62,67,36,48,36,87,,,,,,,56,53,1,50,51,41,32,,23,,,,,,,46,43,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1720&y=2012&r=3&p=V306
Wimbledon Slam,Fernando Verdasco,Xavier Malisse,Fernando Verdasco,Round of 128,139,20,63,79,49,38,49,55,64,29,,,,,68,42,7,63,62,52,21,,50,23,34,,,,,58,32,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604151
Wimbledon Slam,Fernando Verdasco,Julien Benneteau,Fernando Verdasco,Round of 64,153,15,55,91,61,29,61,22,53,16,,,193,160,77,37,7,62,71,50,9,,50,25,16,,,181,159,63,23,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604226
Beijing,Fernando Verdasco,Sam Querrey,Sam Querrey,R32,117,3,64,80,57,15,57,14,,,,,,,72,29,10,53,84,54,19,,100,,,,,,,70,27,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=747&y=2012&r=3&p=Q927
Valencia,Fernando Verdasco,Tommy Robredo,Fernando Verdasco,R32,90,0,67,68,52,40,52,41,,,,,,,63,48,1,54,60,41,31,,66,,,,,,,51,36,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=573&y=2012&r=3&p=V306
Valencia,Fernando Verdasco,Marin Cilic,Marin Cilic,R16,77,3,61,53,47,15,47,50,,,,,,,51,24,3,52,84,66,46,,57,,,,,,,76,48,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=573&y=2012&r=4&p=C977
Australian Open Slam,Fernando Verdasco,David Goffin,Fernando Verdasco,Round of 128,202,5,59,72,53,29,53,67,45,58,,,182,154,65,40,6,61,71,44,28,,38,28,54,,,175,149,60,35,http://www.tennisinsight.com/match_stats_popup.php?matchID=177954112
Wimbledon Slam,Fernando Verdasco,Ernests Gulbis,Fernando Verdasco,Round of 32,105,7,69,81,70,27,70,57,29,7,,,188,167,77,40,9,63,73,37,19,,0,25,19,,,196,172,60,23,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604313
Sydney,Fernando Verdasco,Denis Istomin,Denis Istomin,R16,70,7,64,64,45,22,45,0,,,,,,,57,25,1,68,77,68,35,,60,,,,,,,74,42,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=338&y=2013&r=4&p=I165
San Jose,Fernando Verdasco,Tim Smyczek,Tim Smyczek,R32,62,2,48,68,51,26,51,0,,,,,,,59,27,6,75,73,69,32,,60,,,,,,,72,40,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=424&y=2013&r=3&p=SF62
ATP World Tour Masters 1000 Indian Wells,Fernando Verdasco,Jarkko Nieminen,Jarkko Nieminen,R64,57,2,60,46,23,29,23,0,,,,,,,37,31,0,65,70,62,53,,50,,,,,,,68,62,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2013&r=2&p=N289
ATP World Tour Masters 1000 Miami,Fernando Verdasco,Alejandro Falla,Alejandro Falla,R64,104,4,49,73,38,39,38,33,,,,,,,55,39,6,63,60,59,26,,44,,,,,,,60,44,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2013&r=2&p=F444
ATP World Tour Masters 1000 Shanghai,Fernando Verdasco,Juan Monaco,Fernando Verdasco,R32,85,1,72,75,60,36,60,42,,,,,,,70,39,2,58,63,57,25,,0,,,,,,,60,29,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2012&r=3&p=V306
ATP World Tour Masters 1000 Paris,Fernando Verdasco,Sam Querrey,Sam Querrey,R64,30,0,43,46,35,13,35,0,,,,,,,40,16,6,62,86,77,53,,40,,,,,,,83,60,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2012&r=2&p=Q927
Houston,Fernando Verdasco,Steve Johnson,Fernando Verdasco,R32,104,3,61,74,59,31,59,33,,,,,,,68,40,4,55,68,48,25,,20,,,,,,,59,31,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=717&y=2013&r=3&p=V306
